time,Fy_lower,Fy_upper,external_work,kinetic_energy,potenial_energy,strain_energy
53,-2993.7605678901,2993.7605678901,2428.9193556141,1091.1114047,-1107.5901510144,1321.3292045997
54,-2993.7673632856,2993.7673632856,2491.2344859579,1116.5436783737,-1132.8997226652,1358.3347632927
55,-2993.7903536011,2993.7903536011,2553.2998296363,1141.7317736533,-1157.9679913019,1395.3318383344
56,-2993.8087728676,2993.8087728676,2615.111533637,1166.6818780571,-1182.8004327926,1432.3111008444
57,-2993.8262951264,2993.8262951263,2676.6660115852,1191.3986589699,-1207.4009034667,1469.2651081185
58,-2993.8498750377,2993.8498750377,2737.9594911499,1215.8847786693,-1231.7710458336,1506.1884453163
59,-2993.8728078124,2993.8728078124,2798.9876179249,1240.1401208516,-1255.9091979186,1543.0784200063
60,-2993.8916012222,2993.8916012222,2859.7463164177,1264.1611070009,-1279.8100238349,1579.9362925828
61,-2993.9104218249,2993.9104218249,2920.2320387296,1287.9406228222,-1303.4649838721,1616.7670548575
62,-2993.9304997819,2993.9304997819,2980.4412299599,1311.4687586791,-1326.8633442369,1653.577885723
63,-2993.9491432585,2993.9491432585,3040.3702331621,1334.7340959248,-1349.9934443592,1690.3767888029
64,-2993.9676631722,2993.9676631722,3100.0155042647,1357.7248230781,-1372.8435832182,1727.1719210465
65,-2993.9876769572,2993.9876769572,3159.3734496333,1380.4290936506,-1395.4020167549,1763.9714328784
66,-2994.0067766729,2994.0067766729,3218.4403751161,1402.8348889424,-1417.6567261622,1800.7836489539
67,-2994.0243869504,2994.0243869504,3277.2127488343,1424.9300881604,-1439.5957315269,1837.6170173074
68,-2994.0417953921,2994.0417953921,3335.6872283186,1446.7028505593,-1461.207546258,1874.4796820606
69,-2994.0583710192,2994.0583710192,3393.8605773415,1468.1419258665,-1482.4813690426,1911.3792082989
70,-2994.0739548391,2994.0739548391,3451.7297188664,1489.2369549355,-1503.4075390133,1948.3221798531
71,-2994.0893430812,2994.0893430812,3509.2916917912,1509.9793367658,-1523.9788547583,1985.3128370329
72,-2994.1039777682,2994.1039777682,3566.5435876022,1530.3642433729,-1544.1933162385,2022.3502713637
73,-2994.1171486523,2994.1171486523,3623.4826461228,1550.394802324,-1564.0599221414,2059.4227239814
74,-2994.1289235912,2994.1289235912,3680.1063456677,1570.0907315628,-1583.6104307576,2096.4959149101
75,-2994.1389035395,2994.1389035395,3736.4124509069,1589.5041747984,-1602.9193264565,2133.4931244504
76,-2994.1463010447,2994.1463010447,3792.3991307928,1608.7427521902,-1622.1293172699,2170.2698135229
77,-2994.1505382485,2994.1505382484,3848.0650863206,1627.9923661718,-1641.4698468865,2206.5952394341
78,-2994.150967516,2994.150967516,3903.4096452819,1647.5228551716,-1661.2481544209,2242.161490861
79,-2994.1469490256,2994.1469490256,3958.4328827876,1667.6595701243,-1681.8017521797,2276.6311306079
80,-2994.1383044342,2994.1383044342,4013.1357330112,1688.7253122027,-1703.4336168118,2309.7021161994
81,-2994.1254275137,2994.1254275137,4067.5199997895,1710.9894410323,-1726.3795270693,2341.1404727201
82,-2994.1091616622,2994.1091616622,4121.5882494612,1734.6660885043,-1750.8365376467,2370.7517118144
83,-2994.090515022,2994.090515022,4175.3436373585,1759.9584391587,-1777.0170080217,2398.3266293368
84,-2994.0701834637,2994.0701834637,4228.789739411,1787.0946048792,-1805.1623360505,2423.6274033605
85,-2994.0481000505,2994.0481000505,4281.9304633513,1816.3140485501,-1835.5055337728,2446.4249295785
86,-2994.0232768005,2994.0232768006,4334.7701059196,1847.8278023779,-1868.2335989357,2466.536506984
87,-2993.9940638982,2993.9940638982,4387.3135718399,1881.7925947304,-1903.4711360344,2483.8424358055
88,-2993.9587698076,2993.9587698076,4439.5666862592,1918.287924812,-1941.2472372665,2498.3194489927
89,-2993.9164321586,2993.9164321585,4491.5364773794,1957.2686552971,-1981.4374498798,2510.0990274997
90,-2993.8673750834,2993.8673750834,4543.2312994281,1998.5221173152,-2023.7425002359,2519.4887991921
91,-2993.8132851048,2993.8132851049,4594.6607131903,2041.6894068146,-2067.7526019329,2526.9081112574
92,-2993.7569591861,2993.7569591861,4645.8351274173,2086.3625389335,-2113.0719062673,2532.76322115
93,-2993.7020120186,2993.7020120186,4696.7652535594,2132.2035642578,-2159.424463619,2537.3407899404
94,-2993.6525380658,2993.6525380657,4747.461426623,2179.0023934181,-2206.6594396925,2540.8019869304
95,-2993.61255077,2993.61255077,4797.9328590402,2226.6271681436,-2254.6535419215,2543.2793171186
96,-2993.5851298462,2993.5851298461,4848.1869344599,2274.9269392532,-2303.2266590421,2544.9602754178
97,-2993.5714585523,2993.5714585523,4898.2286896399,2323.7017884994,-2352.1668322475,2546.0618573923
98,-2993.5701996701,2993.5701996701,4948.060644681,2372.757560592,-2401.3028421417,2546.7578025393
99,-2993.5776793513,2993.5776793513,4997.6830800388,2421.9506482008,-2450.517376942,2547.1657030968
100,-2993.5890071332,2993.5890071332,5047.0947178673,2471.178807945,-2499.723925857,2547.3707920104
