time,Load,avg_p,avg_s1,max_d
4.26e-06,-25916.994384049,-206.151521303,-73.254305017835,0
4.28e-06,-26591.53320279,-211.51655971668,-76.65430049246,0
4.3e-06,-26745.770852837,-212.74297286233,-77.18919590828,0
4.32e-06,-26339.639646398,-209.51208284788,-74.638426756801,0
4.34e-06,-25462.278112396,-202.53294543464,-69.492932951242,0
4.36e-06,-24310.900279862,-193.37426178672,-62.838777625767,0
4.38e-06,-23144.882660412,-184.09917121762,-56.104302834811,0
4.4e-06,-22225.761564526,-176.78797686119,-50.729705953078,0
4.42e-06,-21757.021608247,-173.0592145209,-47.835475133202,0
4.44e-06,-21837.530825356,-173.69927241737,-47.965980745171,0
4.46e-06,-22439.267545547,-178.48523472456,-50.966840655661,0
4.48e-06,-23414.347486492,-186.24078572226,-56.023636014672,0
4.5e-06,-24529.602052691,-195.11126001393,-61.852341391396,0
4.52e-06,-25520.632986985,-202.99360643429,-66.996998079451,0
4.54e-06,-26152.821724411,-208.02166355079,-70.165673805492,0
4.56e-06,-26275.219469806,-208.99480001663,-70.527207385418,0
4.58e-06,-25854.937310166,-205.65144516181,-67.900565286266,0
4.6e-06,-24984.197615132,-198.72516452923,-62.793650672039,0
4.62e-06,-23858.54191881,-189.77131557164,-56.28328455116,0
4.64e-06,-22731.34507797,-180.80524771672,-49.764721302294,0
4.66e-06,-21855.220161921,-173.83623606163,-44.628984958635,0
4.68e-06,-21423.864869444,-170.40493090987,-41.942645107328,0
4.7e-06,-21527.730649154,-171.23075605861,-42.203716018702,0
4.72e-06,-22133.650548035,-176.04987692771,-45.229491892973,0
4.74e-06,-23093.005817546,-183.68016667895,-50.201535236694,0
4.76e-06,-24176.430566474,-192.29725409453,-55.856796674962,0
4.78e-06,-25126.959910534,-199.8572659338,-60.780288012442,0
4.8e-06,-25719.314923415,-204.56837414408,-63.73153750279,0
4.82e-06,-25811.649628825,-205.30237953509,-63.929526320999,0
4.84e-06,-25377.870801395,-201.85176880257,-61.230641078486,0
4.86e-06,-24513.162802959,-194.97364707962,-56.15907717449,0
4.88e-06,-23411.555654662,-186.21130951921,-49.783301176058,0
4.9e-06,-22320.82382002,-177.53550998478,-43.467691569677,0
4.92e-06,-21485.20301184,-170.88884129151,-38.557107687071,0
