time,Load,avg_p,avg_psie_active,max_d
83.15625,-12738.090740831,-101.3716518646,282.38126170905,1
83.1875,-12725.032804715,-101.26773483489,287.63556054172,1
83.21875,-12753.427712884,-101.49370580685,293.38904332807,1
83.234375,-12778.009435153,-101.68933086894,296.60175720385,1
83.265625,-12947.317537494,-103.03671034342,303.01600261385,1
83.296875,-12853.880366346,-102.29312320957,309.31654118302,1
83.328125,-12891.388970356,-102.59162235084,315.24251712917,1
83.390625,-12921.229185622,-102.82909529519,326.46732517846,1
83.421875,-12972.216378348,-103.23485908316,331.92815861625,1
83.453125,-12984.694182216,-103.33415933274,337.47436995599,1
83.484375,-12978.894474848,-103.2880043847,343.05177961811,1
83.546875,-12958.826783975,-103.12830266689,351.44975950004,1
83.609375,-12901.189438441,-102.66961595751,352.65565499144,1
83.734375,-12865.493582338,-102.38554293812,339.76067243285,1
83.765625,-12897.673937505,-102.64163906958,335.57488464631,1
83.828125,-12884.456647668,-102.53645387887,329.79104864008,1
83.859375,-12847.652678556,-102.24356232863,328.809935744,1
83.890625,-12802.341385927,-101.88296821171,328.58569513368,1
