time,Load,avg_p,avg_p_over_p0,avg_s1,int_p,max_d,p_base
37,20510.585459733,276.27970986744,0.99994924826059,764.78779788001,34718.331681988,0,276.29373225494
38,21657.411470499,273.53068082253,0.99994924826059,792.06549233984,34372.878509801,0,273.54456368494
39,22793.141625149,270.80900507364,0.99994924826059,815.84823256173,34030.862654109,0,270.82274979927
40,23858.293292684,268.11441045094,0.99994924826059,836.10050153961,33692.249913041,0,268.12801841426
41,24763.516433638,265.44662749271,0.99994924826059,853.91875339387,33357.006425042,0,265.46010005453
42,25506.725525659,262.80538941843,0.99994924826059,870.09503050789,33025.098665483,0,262.81872792602
43,26170.52238817,260.1904321021,0.99994924826059,884.52157440127,32696.493443311,0,260.20363788933
44,26805.304871248,257.59997935472,0.99994336858111,896.75769345208,32370.967556038,0.00017641210827674,257.61456843326
45,27372.326509427,254.9892914168,0.99975703224616,906.64889173151,32042.89883977,0.0014023288718031,255.05126064871
46,27748.058218491,251.51487461901,0.9960454243078,911.65533513088,31606.29075572,0.010747462137745,252.51345820277
47,27999.756681796,247.97729647927,0.99190558604143,914.46277331677,31161.745583491,0.021513826573319,250.00090731308
48,28128.108428895,243.61047873718,0.98423164698278,912.66564679877,30612.995091327,0.046874012414702,247.51335672246
49,28074.339239176,238.18681276546,0.97199049464135,904.70794322811,29931.437136062,0.098476316840001,245.05055767377
50,27518.829028209,230.58566151066,0.95042871212772,882.31068583042,28976.24831472,0.23106043506253,242.61226388505
51,25183.553316748,219.57486990803,0.91414024372309,813.65886968299,27592.591457962,0.61497087049065,240.19823152491
52,18814.051729284,214.92793430994,0.90378682050495,659.93449164928,27008.640318455,0.97660541569169,237.80821918808
53,9373.8144466828,214.43499117179,0.91077633650022,437.83893632346,26946.695257855,1,235.44198787134
54,-1327.6268046332,210.91641245715,0.90483502780968,235.59544988328,26504.537623757,1,233.0993009496
55,-11121.663381857,209.07085336035,0.90593171883734,104.8610223363,26272.617831702,1,230.7799241522
56,-19039.440133705,207.34759451624,0.90749432930531,35.2661073735,26056.066742401,1,228.48362553953
57,-24471.619298804,205.67367351081,0.90921495054127,0.97999821589733,25845.715628655,1,226.21017547982
58,-25725.572653333,203.5765641461,0.9089889179125,1.3314092830263,25582.185098193,1,223.95934662616
59,-22379.154817868,201.28547515019,0.907791663397,6.9935994594312,25294.278368773,1,221.7309138938
60,-16637.472347688,199.20187762086,0.90742371571513,69.229466076219,25032.445785592,1,219.52465443761
61,-10423.633221834,197.15609019618,0.90713064714519,167.46470499328,24775.36456021,1,217.3403476298
62,-5073.6209964426,194.67210070763,0.90470356742636,238.67776831175,24463.217240382,1,215.17777503787
63,-2407.7395860481,192.57655922151,0.90395946228159,239.18357729147,24199.88373535,1,213.03672040276
64,-3181.1242913908,191.12176936438,0.90614695304621,191.50623207789,24017.069453362,1,210.91696961722
65,-6046.567963614,189.51745257728,0.90757104555621,166.71520529408,23815.465063505,1,208.81831070441
66,-8960.2307153755,187.59748577655,0.90740544358389,155.93399235315,23574.194923768,1,206.74053379668
67,-10600.855614839,185.64671379898,0.90699434139845,158.27866072177,23329.053691408,1,204.68343111462
68,-10301.226822271,183.87939365201,0.90738860136432,139.03465402573,23106.965695585,1,202.64679694624
69,-7916.081060188,182.09862523414,0.90763214427877,147.19612370003,22883.18774023,1,200.63042762642
69.125,-7498.9633854247,181.87548902403,0.90765382743358,154.00427364533,22855.147617571,1,200.37979626912
69.375,-6578.1296409156,181.40675966683,0.90758074077778,166.75402885208,22796.245350372,1,199.87947244382
69.5,-6086.4930478954,181.15969549151,0.90747831422189,172.44231585404,22765.198350975,1,199.62977919406
69.5625,-5845.2910656714,181.03599122237,0.90742560961686,175.0430623881,22749.653214315,1,199.50504956413
69.6875,-5355.0245986572,180.79002775027,0.90732619039725,179.79765213543,22718.744533362,1,199.25582405057
69.75,-5107.2028065691,180.66296061308,0.90725533930025,181.93031437932,22702.776806246,1,199.13132806959
69.875,-4622.5040381179,180.39555138739,0.9070455591813,185.59462892802,22669.173172462,1,198.88256941605
69.9375,-4383.752041705,180.26658435666,0.90696377624828,187.13630035846,22652.966697687,1,198.75830664632
70.0625,-3910.2706720024,180.00530349432,0.90678197984528,189.61668810086,22620.133176741,1,198.51001397826
70.3125,-3035.2980681248,179.49272454171,0.90646317598494,191.85885390375,22555.720606963,1,198.01435877048
70.8125,-1603.6003616097,178.52894006975,0.90611519901862,188.93636653178,22434.607880359,1,197.02675803596
71.8125,-82.442940671706,176.79080927846,0.9063113468987,228.47568604859,22216.187927089,1,195.06630903764
72.8125,-244.73280921891,175.01400655035,0.90621967181495,254.57433051657,21992.908314997,1,193.12536683278
73.8125,-1978.336948026,173.14555274168,0.90555527398965,241.92960637134,21758.111488647,1,191.20373732554
74.8125,-5166.8613227092,171.48835240988,0.90590195268868,221.82403030444,21549.861556682,1,189.30122835138
75.0625,-6182.7457091005,171.11160261914,0.90617434598426,206.51108935483,21502.517782497,1,188.82856635417
75.1875,-6704.2200684884,170.92248329637,0.90630497966259,197.35912308908,21478.7523479,1,188.5926781071
75.4375,-7752.6200301489,170.54598931138,0.90657224554702,176.41748246039,21431.440719212,1,188.12178527313
75.5625,-8290.4065328584,170.35674799852,0.90669896010477,164.66738024551,21407.659954888,1,187.88677995046
75.8125,-9348.5603454443,169.99562988452,0.90704173376901,139.28550609037,21362.280515101,1,187.41764965779
75.9375,-9866.4080735089,169.80645078323,0.90716558378432,125.77163323509,21338.507568515,1,187.18352395477
76,-10123.274822112,169.7056301394,0.90719378352875,118.84201924253,21325.838072971,1,187.06657080396
76.125,-10616.718842334,169.49633372206,0.90720825150132,104.74643094868,21299.537109934,1,186.83288367534
76.375,-11539.659427246,169.07939229991,0.90724189585858,81.717139844929,21247.142706475,1,186.36638483268
76.5,-11971.45889688,168.86614239411,0.90723097518668,74.093161745051,21220.344933435,1,186.13357238973
76.75,-12734.933242941,168.42030994287,0.90710066594833,63.147908700788,21164.319976249,1,185.66881964175
77.25,-13894.047268366,167.57064348292,0.90704834098561,48.363989386076,21057.547741727,1,184.74279254051
78.25,-14601.393944483,165.9148229311,0.90711140780523,24.503303265097,20849.471198026,1,182.90457104109
78.5,-14461.505105922,165.52106233164,0.90722381473354,20.075481208097,20799.989782608,1,182.44788071426
78.625,-14334.571100256,165.32381421763,0.9072760809851,20.82109592338,20775.202853996,1,182.2199633414
78.875,-13957.330073778,164.92290243944,0.90734144864031,25.209954429732,20724.822794971,1,181.7649823962
