time,DJ,DJ1,DJ1_br,DJ2,DJ2_br,DJ_br,EW,EW_br,FE,FE_br,Fy_top,J,KE,KE_br,PEW,SE,SE_br,max_disp_y,preset_ext_power,preset_ext_work_p
6,0.00023269950179712,7.3661973890487e-05,-6.9739341254996e-12,0.00015903752790664,1.0522583278466e-11,3.5486491529662e-12,0.13030173185552,-0.0002108945889913,5.6613302279614e-07,0,99.864863958323,0.00024334124994273,0.06363106223174,0.0005115776698938,0.1315472327273,0.064924746448043,0.0024378129591765,0.00069095284724442,0.022330043425857,0.13223745475075
6.25,0.00042318132255258,8.8018455339767e-05,-2.5159002702349e-11,0.00033516286721281,3.7434619026334e-11,1.2275616323985e-11,0.13588720139101,-4.1688778123612e-05,1.2656846801996e-05,0,99.961738091545,0.0003979374348998,0.066342726364617,0.00025325142291625,0.13710638931636,0.067794362584354,0.0032071964766853,0.00072002324282253,0.022381768291384,0.1378264312154
6.5,0.00062303140126937,8.1187468955593e-05,-5.6590458393565e-11,0.00054184393231378,9.0080901715333e-11,3.3490443321768e-11,0.14147531256547,4.1648209141672e-05,4.8163520841009e-05,0,100.0712045335,0.0005293802626372,0.06901119296255,5.0268493257498e-05,0.14266209819062,0.070678687784305,0.0036906348110119,0.00074906442475804,0.022302249872875,0.14341193348593
6.75,0.00080575284971282,7.9023194431421e-05,-3.0996048392892e-11,0.0007267296552814,1.0938068189455e-10,7.8384633501661e-11,0.14705099059558,7.6061480965193e-05,9.1629320334637e-05,0,99.945265976915,0.00064497015301735,0.071637950334204,1.6953040599579e-05,0.14821242400493,0.073591082325638,0.0039296641679194,0.00077807903688826,0.022325336876487,0.1489903818296
7,0.00094544604896007,8.48175579757e-05,2.7481124114607e-10,0.00086062849098437,-1.3187848228093e-10,1.4293275886514e-10,0.15263580053468,8.7654474362012e-05,0.00012818578520219,0,99.934368929066,0.00076715047537847,0.074225223349874,2.7890954150355e-05,0.15377246828406,0.076556234357472,0.0039971246691602,0.00080712537070297,0.022387138753285,0.15457944128333
7.25,0.0010262222112592,8.1413758796099e-05,9.9753082102036e-10,0.00094480845246308,-9.7595094305064e-10,2.1579877969724e-11,0.15822903188946,8.0755975679393e-05,0.0001679353460566,0,100.02913733923,0.00088235445304782,0.076778813578015,1.2884531128781e-05,0.15933564005709,0.079555125920569,0.0038337904090357,0.00083617338760201,0.02235605669851,0.1601723407148
7.5,0.0010889015090955,7.6476806852214e-05,1.2406058130496e-09,0.0010124247022433,-2.2650255762507e-09,-1.024419763201e-09,0.16381579852749,8.9043445035396e-05,0.00023001191135421,0,99.986772174114,0.00098864488884041,0.079297016400573,6.8786840222575e-06,0.16489473205,0.082564553294704,0.0035767467431031,0.00086519981121181,0.022346477534997,0.16576015749399
7.75,0.0011807809503486,7.5669063781921e-05,-1.2848280406177e-09,0.0011051118865667,-2.0196710191469e-09,-3.3044990597645e-09,0.16940446805389,0.00010080416008849,0.00032462990383371,0,99.941935732361,0.0010981276131124,0.081782471594977,4.2287642450719e-06,0.17045821948719,0.085575633107414,0.0034623823739845,0.00089423632211172,0.022391411612474,0.17135239363742
8,0.0013075155529143,7.3680041378967e-05,-6.6122973245908e-09,0.0012338355115353,3.6043002269285e-09,-3.0079970976623e-09,0.17500118171661,9.8305765783124e-05,0.00043958251806853,0,99.995680909076,0.0012092094828263,0.084236387895688,1.5120890430545e-06,0.17602674034209,0.088605852899647,0.0035135077730342,0.0009232810246061,0.022392329934064,0.17695036133074
8.25,0.0014405764850119,7.2405364094967e-05,-6.7609974618095e-09,0.001368171120917,1.3645333828105e-08,6.8843363662954e-09,0.18059674652682,0.00010063747891402,0.00056231208362612,0,99.998990375338,0.0013213924488605,0.086656853358549,1.7896552996916e-06,0.18159394127346,0.091659657052351,0.0036169777471072,0.00095231389749271,0.022377776108925,0.18254662458611
