time,DJ,DJ1,DJ1_br,DJ2,DJ2_br,DJ_br,EW,EW_br,FE,FE_br,Fy_top,J,KE,KE_br,PEW,SE,SE_br,max_disp_y
7,0.0010258065699682,9.5697238615046e-05,9.6044102156762e-09,0.0009301093313532,-5.0147487867221e-09,4.5896614289541e-09,0.1487161668193,3.4883476767889e-06,0.00014880145095537,0,99.965132348655,0.00082378104075558,0.072209042041152,1.4955395056001e-05,0.14937374502329,0.074245282295393,0.0013893429990294,0.00079576314949412
7.25,0.0010875227011295,9.3772466748818e-05,9.6897806550452e-09,0.00099375023438069,-8.8380296038662e-09,8.5175105117895e-10,0.15416472602197,6.3258352049661e-06,0.00018183165110457,0,100.01307476334,0.00093503019285215,0.074595853855042,3.0353767359242e-06,0.15479419541399,0.07729743217838,0.0012414926906576,0.00082438773894722
7.5,0.0011583228408949,9.0595446098202e-05,4.3617667749114e-09,0.0010677273947967,-7.2954100046273e-09,-2.9336432297159e-09,0.15960892880915,5.6581355396864e-06,0.00023541646401565,0,99.977973868702,0.0010383370988601,0.07703123044852,1.4148900987893e-06,0.16021335181152,0.080177721749317,0.0012881704277997,0.00085301214344904
7.75,0.0011983205478369,9.0860717434765e-05,1.2086879672048e-08,0.0011074598304022,-9.5840070946241e-09,2.5028725774243e-09,0.16505850082336,6.0539077532063e-06,0.00032825889635705,0,99.962396941719,0.0011447611801363,0.07949575383216,5.0255627063122e-06,0.16563933137151,0.083078757985257,0.0014345305911608,0.0008816359271512
8,0.0013095162949745,9.0402266004342e-05,1.7201800003218e-08,0.0012191140289702,-1.3720982254447e-08,3.480817748771e-09,0.17051634478316,6.9765272497399e-06,0.00045386969849225,0,99.995312986487,0.0012546645346783,0.081843864214182,1.2140072233042e-06,0.17107090555007,0.086066928664858,0.0015314377614883,0.00091025774265834
8.25,0.0014474121735338,9.0045785562835e-05,6.8550272554722e-10,0.001357366387971,-8.1299602870732e-09,-7.4444575615259e-09,0.17597442269519,6.8322417619796e-06,0.00059023942234278,0,99.986405216543,0.0013652216692619,0.084208725665415,6.3274465382602e-07,0.17650318708057,0.088990718053686,0.0015120638742789,0.00093887369048172
8.5,0.0015633139996633,9.3008300704147e-05,-2.7034384284961e-09,0.0014703056989591,-5.5645930136999e-09,-8.268031442196e-09,0.18143484765606,6.9787351823019e-06,0.00073076663341435,0,99.959522021675,0.0014768199438667,0.086547875424325,1.5659708516847e-06,0.1819389083327,0.091998890741199,0.0014408240184826,0.00096747322091139
8.75,0.001755489389406,9.9427695617194e-05,1.0329268291501e-08,0.0016560616937888,-1.5971830853053e-08,-5.6425625615523e-09,0.18690000295599,7.159258689668e-06,0.00086747563340391,0,99.955412762577,0.0015887646922445,0.088828611123108,2.5314545748889e-07,0.18737693542218,0.095159006077145,0.0013955118922984,0.00099612142408663
9,0.0018538395644396,0.00010912442681637,-1.2096265918169e-08,0.0017447151376232,-1.126877035625e-08,-2.336503627442e-08,0.19236038864636,7.1517539294251e-06,0.0010080315837038,0,99.906606048779,0.0017013519409763,0.091091651419089,4.1817202666285e-07,0.19280896248065,0.098203753394097,0.0014032640996231,0.001024822453844
9.25,0.0019343153295538,0.00011991659442928,-6.0898028212742e-08,0.0018143987351245,1.9703069510279e-08,-4.1194958702463e-08,0.19780577284542,7.1838630797003e-06,0.0011646333223613,0,99.756258581322,0.0018146042548898,0.093315551069423,4.4046148761475e-07,0.19822916071986,0.10127369584203,0.0014347716403078,0.0010536649466663
