time,DJ,DJint_1,DJint_2,Fy_top,J,external_work,fracture_energy,kinetic_energy,max_disp_y,preset_ext_power,preset_ext_work,preset_ext_work_p,strain_energy
40.5,0.0024020569187277,-0.023913361089024,0.026315418007751,98.910474792482,0.039546572593333,1.7194656350766,0.10071142570244,1.5437764909987,0.020096275670766,0.091422190282883,1.7434628648685,1.9477031202211,0.079198003490279
41,0.001435424385395,-0.02498945264294,0.026424877028335,97.596025208906,0.040116250076397,1.7610560892788,0.10234834805752,1.5871271803389,0.020633013066562,0.092462718720821,1.7855112272152,1.993674347472,0.076292898593254
41.5,0.00049444018622022,-0.025877712876512,0.026372153062732,96.06653872366,0.040652720806142,1.802589031555,0.10415029288754,1.6307868369273,0.021163985336639,0.095112008931635,1.8287429326739,2.0405680293852,0.074009931983687
42,-3.8858722433532e-05,-0.0261411172191,0.026102258496666,94.921874085997,0.041584364884802,1.8448184903803,0.10609474526174,1.6750091672683,0.021699659140796,0.098911804256939,1.8744117857716,2.0890739826823,0.072544357076437
42.5,8.709017192917e-05,-0.025569808911141,0.02565689908307,94.562025266623,0.043105950792944,1.8887207030686,0.10811214363657,1.7202133659127,0.022252849671675,0.10291384145398,1.9239970485172,2.13953039411,0.071985165732751
43,0.00063665268140577,-0.024378959453643,0.025015612135049,94.873885380992,0.045048567917064,1.9349830770328,0.1101137230832,1.7667022218561,0.022834048187085,0.10638788396694,1.9758392185101,2.1918558254653,0.072171108935647
43.5,0.0010204354695593,-0.023060467018052,0.024080902487612,95.32037080567,0.047052532132519,1.9836583895247,0.11201437409795,1.8148209813716,0.023448147026079,0.10927658249356,2.0293443328605,2.2457719420804,0.072649172137968
44,0.0008966018542018,-0.021947964548452,0.022844566402654,95.474726627062,0.048913992354246,2.0343716054086,0.11377151304092,1.8648232128699,0.024093671740624,0.11203306813439,2.0842320647569,2.3010993547374,0.073285032137001
44.5,0.00062071824071264,-0.020898182247432,0.021518900488145,95.479668893056,0.050776466145786,2.0868836525188,0.11536723820094,1.9164177940038,0.02476382577556,0.1149975476733,2.1404099540325,2.3578570086893,0.074767798808991
45,0.00053074205502763,-0.019427150510656,0.019957892565684,95.909806715673,0.052974461978529,2.1413885271684,0.11683738555542,1.9690511302165,0.02544796970947,0.11791828421346,2.1979643254919,2.416085966661,0.077192022047571
45.5,0.0010566706700663,-0.017209381050291,0.018266051720357,97.14030809434,0.055667545450443,2.198234069003,0.11828186167313,2.0223688930992,0.026133027653052,0.12017022423512,2.2568055384228,2.4756080937731,0.080517562504715
46,0.0019686405135864,-0.014469138982004,0.01643777949559,98.865346845188,0.058596051856448,2.2573326055572,0.1197833008813,2.0764127411019,0.0268054168488,0.12114599894686,2.3163879118145,2.5359371495686,0.083825209756952
46.5,0.0028305227923184,-0.01185018704355,0.014680709835868,100.27131769064,0.061202075647447,2.3178561306542,0.12140465270438,2.1313021233538,0.02745400339476,0.12088124614944,2.3763016268281,2.5964439608427,0.086607557496429
47,0.0030326192327836,-0.009884416908023,0.012917036140807,100.68783488995,0.063037791251797,2.3785968405656,0.12315197485695,2.1870519107089,0.028073362466147,0.12003590182465,2.4359155470309,2.6566732478362,0.088183519822321
47.5,0.0026138737078773,-0.008632356176698,0.011246229884575,100.05711235371,0.06407693222435,2.4386778573441,0.12500644318301,2.243829317584,0.028665624438369,0.11944770820541,2.4950687706387,2.7165441503437,0.088291111184867
48,0.0018099347284392,-0.0078205416292232,0.0096304763576624,98.836734594146,0.064647059794453,2.4979695225852,0.12693924368033,2.301865713627,0.029239566604754,0.11974693032976,2.5541440092933,2.7763428099775,0.087040119674994
48.5,0.00094449545910372,-0.0071716206810346,0.0081161161401383,97.602123933339,0.065139625627925,2.5569834888733,0.12893030568857,2.3615302025902,0.029807174363964,0.12124231211473,2.6134517836203,2.8365901205887,0.084593002929427
49,0.00037784513184636,-0.006525197255287,0.0069030423871333,96.789042283227,0.065824978574698,2.6164977239333,0.13097337930341,2.4231437466485,0.030379364367216,0.12375174413066,2.6732921013596,2.89783863465,0.081080289509108
49.5,0.00028365453059036,-0.0057852980357399,0.0060689525663303,96.631162420064,0.066834501594048,2.6772140122408,0.13305790813814,2.486854237542,0.030962806396196,0.12651100624866,2.7341246767275,2.9604043222448,0.076851107841388
50,0.00066472224509424,-0.0049193202705994,0.0055840425156936,97.114924830592,0.068169603092009,2.7395473578468,0.13517036752591,2.5521474158458,0.031558841275461,0.12897175529994,2.7959623412479,3.024275012632,0.072772693501155
50.5,0.0013646725182109,-0.0040245752796605,0.0053892477978714,97.950315944841,0.069690768888799,2.8035153722742,0.13730678333002,2.6181003035244,0.032164372339364,0.13078834619544,2.8586249001914,3.0892150380058,0.069401417148033
51,0.0020146284077278,-0.0033427083571768,0.0053573367649047,98.668740764354,0.071141889385631,2.8687297371179,0.13946132361905,2.6842782867091,0.032774108825189,0.13197739087668,2.9224093336304,3.1549064722739,0.066504414382257
51.5,0.0022011884800699,-0.0031791690422771,0.0053803575223469,98.817640239726,0.072228986018037,2.9345439565274,0.14160975589535,2.7509643333915,0.03338349769594,0.13293562729668,2.9868742152355,3.2211347268172,0.063427696302683
52,0.0017420402991545,-0.0037401456826635,0.005482185981818,98.151441211666,0.07275235788956,3.0003480125415,0.14372837907326,2.8184402807676,0.033991488687745,0.13430048880377,3.0523164447301,3.2879437558423,0.06020007487045
52.5,0.0007410460895251,-0.0049234886899597,0.0056645347794848,96.785508174616,0.072776684806603,3.0658951124074,0.14580664938275,2.8866399467758,0.034601921864677,0.13667971059915,3.1190154180428,3.355688805693,0.057308027138778
