time,DJint,DJint_over_Jint,Jint,dt,external_work,kinetic_energy,preset_ext_work,strain_energy,tip,tip_adv,tip_cum,tip_vel
8.8,4.7113259629084e-05,0.058270245521372,0.00080853030920908,0.2,0.093726997360215,0.044737609301865,0.13025454754584,0.048640318058975,50,0,0,0
9,5.1673334517474e-05,0.060512136658658,0.00085393339866608,0.2,0.095911786897112,0.045600038898123,0.13442688706895,0.049967332047311,50,0,0,0
9.2,5.6218555969526e-05,0.062503566010638,0.00089944557659251,0.2,0.098102941554732,0.046448653243314,0.13859519990666,0.051310873942467,50,0,0,0
9.4,6.0312630415637e-05,0.06383266175591,0.00094485532573067,0.2,0.10029381017386,0.047283527698273,0.14275062602244,0.052669498726387,50,0,0,0
9.6,6.3541760594501e-05,0.064199335474635,0.00098975729460014,0.2,0.10248345040671,0.048104748984556,0.14690237112392,0.054044035051495,50,0,0,0
9.8,6.525237932062e-05,0.063140886413408,0.0010334409766342,0.2,0.10467757134299,0.048913348782248,0.15105831327725,0.055434802460658,50,0,0,0
10,6.4350433095721e-05,0.059862289399006,0.0010749744746112,0.2,0.10687304378571,0.049714431526171,0.15521156608208,0.056831060743701,50,0,0,0
10.2,5.9761600983673e-05,0.053667621212099,0.0011135503984328,0.2,0.10904652943948,0.050528853352321,0.15935339096645,0.058193560290436,50,0,0,0
10.4,5.1539888239538e-05,0.044849452828665,0.0011491754077008,0.2,0.11114296141361,0.051421178643182,0.16348241839698,0.059419031397059,50,0,0,0
10.6,4.178503088646e-05,0.035302235027297,0.0011836369808923,0.2,0.11305994276767,0.05253732036285,0.16759586053586,0.060307636827824,50,0,0,0
10.8,3.4671853619149e-05,0.028396973597917,0.00122097002695,0.2,0.11468031499044,0.054096191485727,0.17168670556465,0.060624178648499,50,0,0,0
11,3.5423571151053e-05,0.027967165022124,0.001266612869879,0.2,0.11600770582644,0.056250961995876,0.17575538491447,0.060319670454465,50,0,0,0
11.2,4.7861493359503e-05,0.036128983498984,0.0013247395504733,0.2,0.11730848780214,0.05886684715105,0.17981350287445,0.05972684864693,50,0,0,0
11.4,7.0694021660771e-05,0.050707747642619,0.0013941463572591,0.2,0.11901267925192,0.061514257952414,0.18387127036429,0.059346219015967,50,0,0,0
11.6,9.5245808788594e-05,0.064983479486307,0.0014656926582188,0.2,0.12133318842101,0.063866185521847,0.18792707469715,0.05930196544732,50,0,0,0
11.8,0.00010843896266466,0.071082521352273,0.0015255362443779,0.2,0.12402741873651,0.06604622808117,0.19197007457148,0.059250499411817,50,0.0070940797962779,0.0070940797962779,0.035470398981389
12,0.00010102076173027,0.064592848697187,0.0015639620138733,0.2,0.12664992527516,0.068353119270553,0.19598775409611,0.058968339704461,50.007094079796,0.017332352076737,0.024426431873015,0.086661760383687
12.2,7.6040045481627e-05,0.048007279359814,0.0015839274063358,0.2,0.12894366675455,0.070796097592272,0.19997181577169,0.058614677926934,50.024426431873,0.022455881214797,0.046882313087812,0.11227940607398
12.4,4.9669066578054e-05,0.031011925432901,0.0016016118278602,0.2,0.13090637866842,0.073221941807969,0.20392239235457,0.058283117801883,50.046882313088,0.026887385260536,0.073769698348348,0.13443692630268
12.6,3.950423491561e-05,0.024162350847563,0.0016349499750599,0.2,0.13268957485573,0.075650079282713,0.20784741132526,0.057877714718038,50.073769698348,0.034980814166644,0.10875051251499,0.17490407083322
12.8,4.8617211639601e-05,0.028806533813751,0.0016877147370085,0.2,0.13452132645104,0.078134765099036,0.21175549989758,0.057416948972697,50.108750512515,0.047136887300617,0.15588739981561,0.23568443650309
13,6.2923558966651e-05,0.036037556954548,0.0017460550682171,0.2,0.13653127633318,0.08062646006724,0.21564994155417,0.056972619121802,50.155887399816,0.059722221245796,0.21560962106141,0.29861110622898
13.2,6.6775475323108e-05,0.037228334639574,0.0017936734471095,0.2,0.13860579058898,0.083119212727722,0.21956455372607,0.056302591242346,50.215609621061,0.069387761265653,0.28499738232706,0.34693880632826
13.4,5.9662809011971e-05,0.032614954423621,0.0018293083668626,0.2,0.1406585160611,0.085609389518646,0.22345178989746,0.055824698176977,50.284997382327,0.076291722085348,0.36128910441241,0.38145861042674
13.6,5.4988562150179e-05,0.029464016407556,0.001866295531117,0.2,0.14255723902883,0.088100647357418,0.22734462334966,0.05512669235201,50.361289104412,0.083178824350599,0.444467928763,0.41589412175299
13.8,6.3504141365102e-05,0.033146473803798,0.0019158641652502,0.2,0.1444628913788,0.090564753203399,0.23120507706317,0.054646810722744,50.444467928763,0.091991639368001,0.53645956813101,0.45995819684001
14,8.1582531103256e-05,0.041308267283302,0.001974968607222,0.2,0.14635591867525,0.093026118205371,0.23506482806275,0.053931088454299,50.536459568131,0.10192161180376,0.63838117993476,0.50960805901879
14.2,9.7006647362904e-05,0.047739987054834,0.0020319789205532,0.2,0.14835681081327,0.095495352959178,0.2389328572372,0.053221224201846,50.638381179935,0.11095242513791,0.74933360507268,0.55476212568957
14.4,0.00010303874710969,0.049518691883969,0.0020808051099397,0.2,0.1503431996812,0.097953963815443,0.2427966816753,0.052511333561474,50.749333605073,0.11829342236502,0.8676270274377,0.59146711182511
14.6,0.0001029549910638,0.04844229933758,0.0021253118136762,0.2,0.15230346796431,0.10034580841848,0.2466197043196,0.052037486464445,50.867627027438,0.12469112722737,0.99231815466507,0.62345563613687
14.8,0.00010219536095338,0.047069798340043,0.0021711450772553,0.2,0.15418920236685,0.10273772005858,0.25045866631222,0.051331406908304,50.992318154665,0.13100538219658,1.1233235368617,0.65502691098292
15,0.00010134451075209,0.04567970749611,0.0022185893103785,0.2,0.15612013471984,0.10514946582906,0.25432520735545,0.050607162052313,51.123323536862,0.13726676856689,1.2605903054285,0.68633384283443
15.2,9.8451119635881e-05,0.043462356170415,0.0022652043816919,0.2,0.15802037213419,0.10755745016745,0.2582225191241,0.04988834364319,51.260590305429,0.1431632763554,1.4037535817839,0.71581638177699
15.4,9.4334997459011e-05,0.040809243192657,0.0023116085984164,0.2,0.15984848165283,0.1099960675106,0.26222393822787,0.048909799239412,51.403753581784,0.14879690978634,1.5525504915703,0.74398454893172
15.6,9.195988123104e-05,0.038943946096218,0.0023613395777572,0.2,0.16171532367048,0.11243305869075,0.26635191601947,0.048173596964327,51.55255049157,0.15458862364162,1.7071391152119,0.77294311820811
15.8,9.2204216384805e-05,0.038146845377809,0.0024170862746738,0.2,0.16352663005769,0.11481763805749,0.27066819908193,0.047433198764876,51.707139115212,0.16079761955556,1.8679367347675,0.8039880977778
16,9.4139979983165e-05,0.037943132666612,0.0024810808535586,0.2,0.16530686388266,0.11717145149413,0.27525173151446,0.046659642314144,51.867936734767,0.1675812619981,2.0355179967656,0.83790630999051
16.2,9.8989421672306e-05,0.038695355345557,0.0025581732171293,0.2,0.16704722825531,0.11952139343838,0.28015927435825,0.045876295520202,52.035517996766,0.17530261359065,2.2108206103562,0.87651306795324
16.4,0.00010935167650868,0.041222931968749,0.0026526904149268,0.2,0.16871137847048,0.12193344283501,0.28545208198849,0.044843737052938,52.210820610356,0.1841567692796,2.3949773796358,0.92078384639798
16.6,0.00012294483230643,0.044553498820856,0.0027594877071445,0.2,0.17045799531106,0.12437130657164,0.29105043444276,0.044042099423521,52.394977379636,0.19343143023323,2.588408809869,0.96715715116614
