time,DJint,DJint_over_Jint,Jint,dt,tip,tip_adv,tip_cum
7.8,3.874021429159e-05,0.066113824748585,0.00058596238288906,0.2,50,0,0
8,3.7933051738718e-05,0.060236473690658,0.0006297355972981,0.2,50,0,0
8.2,3.836988209898e-05,0.056933302368171,0.00067394443151837,0.2,50,0,0
8.4,4.0139054052675e-05,0.055865148528828,0.00071849901252767,0.2,50,0,0
8.6,4.313144680763e-05,0.056500124656066,0.00076338675481132,0.2,50,0,0
8.8,4.7113259629085e-05,0.058270245521374,0.00080853030920908,0.2,50,0,0
9,5.1673334517469e-05,0.060512136658652,0.00085393339866608,0.2,50,0,0
9.2,5.6218555969515e-05,0.062503566010625,0.00089944557659251,0.2,50,0,0
9.4,6.0312630415627e-05,0.0638326617559,0.00094485532573067,0.2,50,0,0
9.6,6.3541760594498e-05,0.064199335474631,0.00098975729460014,0.2,50,0,0
9.8,6.525237932062e-05,0.063140886413409,0.0010334409766342,0.2,50,0,0
10,6.4350433095716e-05,0.059862289399002,0.0010749744746112,0.2,50,0,0
10.2,5.9761600983661e-05,0.053667621212088,0.0011135503984328,0.2,50,0,0
10.4,5.1539888239524e-05,0.044849452828653,0.0011491754077008,0.2,50,0,0
10.6,4.1785030886448e-05,0.035302235027287,0.0011836369808923,0.2,50,0,0
10.8,3.4671853619139e-05,0.028396973597909,0.00122097002695,0.2,50,0,0
11,3.5423571151047e-05,0.02796716502212,0.001266612869879,0.2,50,0,0
11.2,4.7861493359506e-05,0.036128983498987,0.0013247395504733,0.2,50,0,0
11.4,7.0694021660787e-05,0.05070774764263,0.0013941463572591,0.2,50,0,0
11.6,9.5245808788621e-05,0.064983479486325,0.0014656926582188,0.2,50,0,0
11.8,0.00010843896266468,0.071082521352288,0.0015255362443778,0.2,50,0,0
12,0.00010102076173027,0.064592848697193,0.0015639620138733,0.2,50,0,0
12.2,7.6040045481616e-05,0.048007279359807,0.0015839274063358,0.2,50,0,0
12.4,4.9669066578036e-05,0.03101192543289,0.0016016118278602,0.2,50,0,0
12.6,3.9504234915597e-05,0.024162350847555,0.0016349499750599,0.2,50,0,0
12.8,4.8617211639625e-05,0.028806533813765,0.0016877147370085,0.2,50,0,0
13,6.2923558966593e-05,0.036037556954516,0.001746055068217,0.2,50,0,0
13.2,6.6775475313846e-05,0.037228334634349,0.0017936734471124,0.2,50,0,0
13.4,5.9662809012154e-05,0.032614954423701,0.0018293083668637,0.2,50,0,0
13.6,5.4988562170796e-05,0.029464016418696,0.0018662955311111,0.2,50,0,0
13.8,6.3504141374214e-05,0.03314647380834,0.0019158641652626,0.2,50,0,0
14,8.1582531088004e-05,0.041308267274962,0.0019749686072515,0.2,50,0,0
14.2,9.7006647180852e-05,0.047739986968696,0.0020319789204061,0.2,50,0,0
14.4,0.00010303874690722,0.049518691791501,0.0020808051097364,0.2,50,0,0
14.6,0.00010295499347651,0.048442300418745,0.002125311816048,0.2,50,0,0
14.8,0.00010219540755678,0.047069818795618,0.0021711451238111,0.2,50,0,0
