time,Fy,Jint,ce_int,external_work,fracture_energy,kinetic_energy,max_disp_y,nucleation_energy,preset_ext_work,strain_energy
3.25e-05,97.578718536345,0.022152733211109,-1.1650479893229,1.1046031217382,0.15870398433049,0.92934377041639,0.012145665789779,0.39239158435778,1.1220190329925,0.11486419313283
3.3e-05,96.346813328619,0.02274971240105,-1.1621620187028,1.1371264178146,0.1665878431598,0.96262771544251,0.012578014487721,0.39131046334886,1.15730548744,0.11289380757331
3.35e-05,96.318625461227,0.02377363519077,-1.1620936063744,1.1710375884427,0.1745469542559,0.99805555529061,0.013024290763719,0.39104387408668,1.1940468116478,0.11044805765502
3.375e-05,96.971417618728,0.024450416624556,-1.1664307901739,1.1886926905048,0.17854763509955,1.0261400746554,0.013253710351206,0.39270061290567,1.2129574764383,0.10934230951161
3.425e-05,98.218304415659,0.025899110657868,-1.1766605049014,1.2256287956769,0.18639273540791,1.0536737212173,0.01372565491605,0.39719161552863,1.2514982902929,0.10780133751892
3.475e-05,99.218192254141,0.027318145237453,-1.1911444813009,1.2642751897885,0.19417265036908,1.090986311856,0.014212995482628,0.40355271519054,1.290637338237,0.10715167258778
3.525e-05,99.667501732246,0.028660407412599,-1.2074366462552,1.3041495182959,0.20184999745447,1.1281569334373,0.014711083722102,0.412063352636,1.3300555661053,0.10692762063491
3.575e-05,100.03446270982,0.029940251770574,-1.2106064615673,1.3447753785936,0.20888789879275,1.1656789178517,0.015213698090037,0.41866241036438,1.3695688707481,0.10601649647498
3.625e-05,100.49849095738,0.031040088177026,-1.1979288468372,1.3855785292573,0.21522911090798,1.2042017891419,0.015714907119182,0.42151742378842,1.4090097007555,0.10399522791879
3.675e-05,100.62271695554,0.031761052383057,-1.1728948376392,1.4258816130348,0.22087582249268,1.2435883388668,0.016211920938368,0.41917614166781,1.4482441178412,0.10140388061738
3.725e-05,100.02814919027,0.032119694172085,-1.1375150944087,1.4652290759399,0.22610023033596,1.2830852030898,0.016707379822867,0.41298005621524,1.4873194814417,0.099066046454441
3.775e-05,99.059977602277,0.032495265534789,-1.0890162072337,1.5037523973418,0.23112276692423,1.3224496946342,0.017208780076941,0.40223555688238,1.5265047631042,0.096896999026139
3.825e-05,98.514062433963,0.033365041439291,-1.0315624421039,1.5421624279592,0.23564285475477,1.3623376559605,0.017724469909956,0.38961948278552,1.5661062987632,0.094217323568257
3.875e-05,98.794820436244,0.03488505555074,-0.96757777532505,1.5813130428963,0.2394428481517,1.4033178277031,0.018258512933258,0.375641907611,1.6062266814821,0.090929318183859
3.925e-05,99.535221579121,0.036751114303559,-0.88968226138391,1.6216310700292,0.2439945882293,1.4450765983208,0.01880781754189,0.35880092822963,1.6467106844619,0.087180562599551
3.975e-05,100.00435600196,0.038446411214453,-0.7978721852255,1.6628495543587,0.25018535603112,1.4870531873235,0.019363316548653,0.33771150553119,1.6873232922014,0.083193612738231
4.025e-05,99.715367869815,0.039621422899788,-0.68567946370172,1.7042778276689,0.2567425954698,1.5291961903658,0.019914384233743,0.31482348096731,1.7279937019849,0.078918193265386
4.075e-05,98.651993080774,0.040289382317903,-0.58146438800163,1.7453573482036,0.2632385291211,1.571696714228,0.020454103452709,0.29569134404406,1.7689466528059,0.074533535274586
4.125e-05,97.132152587728,0.040743559769697,-0.47207067205245,1.7860571230114,0.26954326066792,1.6145828993262,0.02098286714156,0.28093294206706,1.8106707873818,0.070641085147792
4.175e-05,95.599292583251,0.041338325557158,-0.36194981808222,1.8269444132011,0.27562692341543,1.6579693045665,0.021508632457511,0.26883041540118,1.8540969391496,0.067607691936599
4.225e-05,94.438025924777,0.042292286533761,-0.26205765807665,1.8689975114612,0.28154812490224,1.7021962715083,0.022043691085383,0.2619350445503,1.9008012098364,0.065601119204794
4.275e-05,93.800229702216,0.043594610792883,-0.17496892286847,1.9132076945833,0.28751950402541,1.7475158689439,0.022599669514396,0.2633189755264,1.950567338572,0.064759005558858
4.325e-05,93.572098856176,0.045074224743591,-0.093307799905639,1.9601396687365,0.29349467099937,1.794233757259,0.023183436380441,0.27215965941366,2.0026846609363,0.064900562657779
4.375e-05,93.592629396962,0.046605363137817,-0.011657169019838,2.0098179467877,0.29956582021466,1.8427648093043,0.023795679756424,0.28361420217628,2.0567740142848,0.065677295331227
4.425e-05,93.92200562375,0.048254950946304,0.082764604746989,2.0620496570654,0.30566653952419,1.8932200184234,0.02443182763117,0.29616242571107,2.1126045665973,0.067228002722547
4.475e-05,94.831495661208,0.050202848096017,0.18568122025925,2.1167939433498,0.31163556067389,1.9450845777207,0.025083678925919,0.31206141021864,2.1702000634874,0.070166661492413
4.525e-05,96.491282978329,0.052531262906677,0.28309841475728,2.1741528082425,0.31751479476249,1.9977263945701,0.025740660991815,0.33435594093458,2.2292729572969,0.074432412688661
4.575e-05,98.667086017246,0.055094602930565,0.38147134638921,2.2339822773007,0.32332001760659,2.0509400086001,0.02639106690923,0.35617979196617,2.289354158405,0.079314717317968
4.625e-05,100.71942045055,0.057533767040883,0.50478506722332,2.2955215130175,0.32916277346832,2.1048196277059,0.027024171185343,0.37571564011738,2.349818691415,0.083719524980784
4.675e-05,101.92280651843,0.059415577378089,0.64574326910804,2.3574817262303,0.33517350187798,2.159679575567,0.027633162972071,0.38865494560507,2.4098352380357,0.086480481194103
4.725e-05,101.86431167426,0.060468676789908,0.82034930041819,2.4186185969111,0.34141252222952,2.2158658300783,0.028217461660493,0.3947168224816,2.4692308102148,0.086981036133194
4.775e-05,100.64208777701,0.06076947504824,1.0092250168213,2.4783376679071,0.34792315384562,2.2735404451759,0.028782754636251,0.39332746503001,2.5279679737555,0.085290810321413
