time,DJ1,DJ2,DJint,EW,FE,Fy_top,J,KE,PEW,SE,max_disp_y
3.5,-7.1157900427816e-06,-1.4426569132671e-05,-2.1542359175452e-05,0.16406374228959,0,149.7487511625,-7.2554791958636e-06,0.078167763894519,0.16611486517339,0.081222203650594,0.00059251449139541
3.75,-6.8361773642552e-06,-1.1056874707583e-05,-1.7893052071839e-05,0.17626634981236,0,150.32011031692,-3.9914386455281e-06,0.084266158944465,0.17823753793568,0.087247466801288,0.00063545109300771
4,-7.3646635211351e-06,-1.2042242387082e-05,-1.9406905908217e-05,0.18842148985719,0,150.18359775008,-3.828084709422e-06,0.090372405843181,0.1903148541727,0.09322107671121,0.00067873196974838
4.25,-8.4872106571024e-06,-1.5021956524954e-05,-2.3509167182056e-05,0.20053940112023,0,149.66693106433,-6.3838004024414e-06,0.096486920120918,0.20238752469004,0.099185114312926,0.00072132360921573
4.5,-6.1641877870098e-06,-1.5171668464323e-05,-2.1335856251333e-05,0.21270170628406,0,149.72672965121,-5.6812292652322e-06,0.10260428478606,0.2145060300696,0.10519739494442,0.00076425981350726
4.75,-9.9500531379969e-07,-1.2769703123103e-05,-1.3764708436903e-05,0.22490885015762,0,150.12387395379,9.6283297296412e-07,0.10871696402424,0.22664585885035,0.11124566004077,0.00080719609754065
5,6.1194223809128e-06,-8.0263945864142e-06,-1.9069722055014e-06,0.23710589962034,0,150.13106554606,1.4609602874977e-05,0.11480775615984,0.23876933890434,0.11731104332244,0.00085023727882109
5.25,2.2941484438958e-05,1.036350881892e-05,3.3304993257878e-05,0.24928246111137,0,149.86962214637,5.5509170241851e-05,0.12087566715765,0.25088653363043,0.12337825898613,0.00089355599149779
5.5,6.2010438881924e-05,7.267226092933e-05,0.00013468269981125,0.26147077654798,0,149.82839857102,0.00016976427739205,0.12698516679631,0.26302237197355,0.1293691633366,0.00093600478060144
5.75,0.0001240695857603,0.00022042190885595,0.00034449149461626,0.27368345220002,4.5635611295578e-06,149.97167720908,0.0004001855718477,0.1332253576448,0.27517574977207,0.13523368801406,0.00097894099496666
6,0.00018024496704538,0.00045324079989873,0.00063348576694412,0.28590512068401,6.9215322579464e-05,150.01883649797,0.00072580154394362,0.13948332016733,0.28733164419393,0.14119209570395,0.0010219065352504
6.25,0.00013171451055587,0.00073470040411072,0.0008664149146666,0.29812372656751,0.0019299056553819,149.97429237859,0.00098590883263221,0.14557159161213,0.29948703759935,0.14575188947267,0.001065623253017
6.5,4.4984196456284e-05,0.001032602590931,0.0010775867873873,0.31034545038717,0.0044235893655334,149.96575897943,0.0011767540030304,0.1513912232255,0.31165041591194,0.14981116239992,0.0011082606094623
6.75,-1.2662049642566e-05,0.0013222226565252,0.0013095606068826,0.32257945392212,0.0061557628032749,149.97928706853,0.0013754847247223,0.15696927026236,0.323825800249,0.15474535253765,0.0011506857689763
7,-5.6682725615808e-05,0.0015607266890834,0.0015040439634676,0.33482379483477,0.0068601327425934,149.96551534832,0.0016001706753544,0.16272049371677,0.33600827902379,0.16027159749045,0.0011936218689272
