time,Fy,Jint,external_moose,external_work,fracture_energy,kinetic_energy,max_disp_y,strain_energy
1.6e-05,100.19590029701,0.0048450634221499,0.33637133801171,0.34247074660624,0.013480612657306,0.23584913150536,0.0029791565624371,0.088522846760717
1.65e-05,100.0253543224,0.0051495860695644,0.3461627150922,0.35272545503419,0.014843170314928,0.24888512004684,0.0031480243157911,0.084555357325567
1.7e-05,99.928239153711,0.0055300524551914,0.35674214045762,0.3638011568229,0.016061097914291,0.26165964542983,0.0033190261165413,0.080975923737702
1.75e-05,99.933573315927,0.0059659052835413,0.36772108763338,0.37484931960123,0.017111870808106,0.27449098216124,0.0034859947595237,0.077303451479456
1.8e-05,99.872209023623,0.0064093802760534,0.37839926289474,0.385289767016,0.018005292130842,0.28752871765923,0.0036496076181468,0.073713487478701
1.85e-05,99.647046255788,0.0068398113414083,0.38863443081966,0.3953816972905,0.018787508736062,0.30071129858592,0.0038146988669844,0.070106871431393
1.9e-05,99.363160518532,0.0072694877762143,0.39891580212789,0.4058220934107,0.019520152200961,0.31414172397441,0.0039836172436839,0.066509715815112
1.95e-05,99.077615754217,0.0076968781006731,0.40976043688614,0.41693067840316,0.020267803037021,0.32763425420198,0.0041547096684049,0.063286444622397
2e-05,98.605167499299,0.0080951385942704,0.42120731294347,0.4284469713353,0.021089677005435,0.34093276436,0.0043269147497233,0.060722397841414
2.05e-05,97.730520349515,0.0084545663947857,0.43312886366247,0.44027062970612,0.021988602482154,0.35389636125945,0.0045031262172964,0.059111327934758
2.1e-05,96.456955679432,0.0088008859936515,0.44578446945444,0.45287496709786,0.022911981968609,0.3667451499568,0.0046880361696476,0.058411038721356
2.15e-05,94.920769463729,0.0091619519952805,0.45981730371303,0.46696404082561,0.023799671293423,0.38016224183333,0.0048848197880067,0.058398321525129
2.2e-05,93.264572159983,0.0095330304798242,0.47585163541873,0.48302888262467,0.024630790463634,0.39497508280847,0.0050958161239894,0.058926837973177
2.25e-05,91.782261009364,0.0099048914875593,0.49430294648495,0.50142483044553,0.025452260271656,0.41187876581202,0.0053251988258517,0.060042458608364
2.3e-05,91.049916829077,0.010328665719631,0.51553124874303,0.52265146460413,0.026373439297154,0.43117960527788,0.0055911301380559,0.062097732082433
2.35e-05,91.707049331513,0.010886500255772,0.53989586231547,0.54724479805582,0.027466913394549,0.45254988085109,0.0058794699402669,0.065833902201861
2.4e-05,94.049417618804,0.011596779837322,0.56750226118832,0.57537221971911,0.028721175933968,0.47496260786005,0.006182932869407,0.072065512394088
2.45e-05,97.733210350902,0.012409984292349,0.59789003795067,0.60652037047188,0.030079219316155,0.49724829391941,0.0064939998068506,0.080677244898659
2.5e-05,101.69861754928,0.013236024209581,0.62993678891641,0.63941312720733,0.031480660323331,0.51903498615102,0.0068078169078439,0.089990477029331
2.55e-05,104.43299051788,0.013930622058512,0.66208646902607,0.67224073915894,0.032936795121338,0.54102684793328,0.0071232067947532,0.097520805007888
2.6e-05,104.68133172594,0.014365417121067,0.69293246047977,0.70337496275135,0.034510397351472,0.56396979763787,0.0074290598484626,0.10212657415502
2.65e-05,102.31175753446,0.014560736384124,0.72191810749472,0.73225351800136,0.036248814502591,0.58751802333731,0.0077224482281444,0.10488854042026
2.7e-05,98.666462655139,0.014711343143897,0.74960217302002,0.75965093674564,0.038166298476771,0.61088456107718,0.0080112464869458,0.10737985402539
2.75e-05,95.935491488541,0.015077253492903,0.77723722729387,0.78711271880296,0.040269432898302,0.63426691353736,0.0083071160272671,0.11007515566138
2.8e-05,95.794271345253,0.015823339739192,0.80603213930152,0.81608650384362,0.042565351029107,0.65848072830185,0.0086355309063704,0.11309864107069
2.85e-05,98.199397256002,0.016895345338603,0.83651545659271,0.84713985305138,0.045075768419074,0.68350010112994,0.0089737173751254,0.116757145979
2.9e-05,101.31434481135,0.018010057167976,0.86820136960366,0.87952054701369,0.047778204139986,0.70877992538411,0.0093121558836798,0.12040248194053
2.95e-05,102.81830395058,0.018822880781068,0.89988049357488,0.91163066727358,0.050614373304488,0.73440599897628,0.0096602982160678,0.12265068301241
3e-05,101.70641801391,0.019206420621067,0.93054985287812,0.94231520933398,0.05347405635094,0.76060411493023,0.010026455390586,0.12340804781324
3.05e-05,99.078647263557,0.019392415101314,0.9601639112928,0.97171170431623,0.056274326128345,0.78706999133185,0.010399822641742,0.12382043283926
3.1e-05,97.127266287968,0.019790297200326,0.98950534143148,1.0009191708905,0.058948274222497,0.81361132514828,0.010782999620919,0.1248311552798
3.15e-05,97.164297493243,0.020604180738056,1.0194630885867,1.0310283801534,0.061499439646134,0.84037238916174,0.011176809722712,0.12683157074116
3.2e-05,98.531281530189,0.021622631714353,1.0503791491545,1.0623041452768,0.063988501513792,0.86738309038098,0.011578712795685,0.12961555989865
3.25e-05,99.43693469296,0.022439259233742,1.0819166658918,1.0941284395315,0.06652786756631,0.89489879416376,0.01198522940638,0.13207602925944
3.3e-05,98.832496976925,0.02290155988479,1.1135497418428,1.1257984416459,0.069232470821648,0.92366226144115,0.012396103299017,0.13306041407733
3.35e-05,97.372026394364,0.023286278935652,1.145175195883,1.1573170330417,0.072160749660243,0.95445867683028,0.012816266648713,0.132164806669
3.4e-05,96.530656064585,0.023994868534725,1.1772305920913,1.1893862350623,0.075276857130241,0.98766849338359,0.013253813976015,0.1298145602327
3.45e-05,96.985881070495,0.02514346928762,1.2103280544739,1.2227987937338,0.078469350262745,1.0230062258453,0.013715780633094,0.12698708545066
3.5e-05,98.093192783521,0.026529458847446,1.2448488428296,1.2579025485247,0.081644087097359,1.0594316627497,0.014204940117621,0.12464727718269
3.55e-05,98.874719342974,0.027940956862747,1.280852128092,1.2946102876364,0.084793459971471,1.0960977835936,0.014719122193312,0.12309205732708
3.6e-05,99.148527554817,0.029362148528257,1.3182585315127,1.3327559543391,0.087916314044286,1.1324770642076,0.015252200921654,0.12227247612498
3.625e-05,99.270632596273,0.030100684818518,1.3375031115143,1.352286199978,0.089486448663824,1.1601202332891,0.015523601755011,0.12191521137068
3.675e-05,99.764609224358,0.031588548607869,1.3768269450754,1.3922586845208,0.092602950779496,1.1873470521405,0.016068520477167,0.12077529880668
3.725e-05,100.47281714123,0.032851723049996,1.4167516631074,1.4327303911429,0.095749407981586,1.2247779661355,0.016610277117561,0.11892008684788
3.775e-05,100.73529013614,0.033617706666249,1.456606007164,1.4727927353313,0.098852659316717,1.2626416418646,0.017144654946849,0.1167114156061
3.825e-05,100.26520192029,0.033951807691986,1.4957442134966,1.5118146674239,0.10182739158333,1.3005195542297,0.017673354478906,0.11467453385777
3.875e-05,99.500678784813,0.034306366019187,1.5339838336416,1.5498394569057,0.10468083784091,1.3382650974481,0.018203035132333,0.11253449973839
3.925e-05,99.105903432868,0.035169415818521,1.5716622867009,1.5874956378941,0.10744031066594,1.3765671513884,0.018741151240346,0.10972877597246
3.975e-05,99.309367847902,0.036687925810104,1.6094095222295,1.6255829500658,0.1100667630035,1.4160896180378,0.019291288862816,0.10623561101471
4.025e-05,99.804406219816,0.038604031934537,1.6477915948656,1.6646073323277,0.11263543986468,1.4564219616686,0.019850926525865,0.10265591730891
4.075e-05,100.11934075248,0.040460129543891,1.6869922080309,1.7044948699478,0.11522384738335,1.4968429937059,0.020412907130962,0.099157493380167
4.125e-05,99.925491483316,0.041860397352451,1.7267357015422,1.7446769328023,0.1178405478769,1.5372921978191,0.020969769294795,0.095445930500131
4.175e-05,99.102455517369,0.042662584730506,1.7665366596168,1.7845213292322,0.12051786310781,1.5779479407396,0.021518606939827,0.091597944000765
4.225e-05,97.757280783415,0.04305512838564,1.8061000319378,1.8238110901965,0.12331374700834,1.618663096474,0.022063716285875,0.088230539997128
4.275e-05,96.246941647396,0.043463904344156,1.8456067871972,1.8629778242296,0.12622290655258,1.6593721745821,0.022615281178388,0.085788030681084
4.325e-05,95.021880222543,0.044278735077756,1.8857467313992,1.9029903133818,0.12919018272514,1.7003522067069,0.023184682094428,0.084389092737145
4.375e-05,94.307223937761,0.045576767214594,1.9274663271915,1.9449200932658,0.132136141639,1.7421172119919,0.02377933493047,0.08410156951434
4.425e-05,93.961278841644,0.047109301910118,1.971527073326,1.9894059193708,0.1350724355979,1.7852602435976,0.024400271730528,0.084401469586924
4.475e-05,93.725012489005,0.04860050819414,2.0181972538815,2.0364754497707,0.13804381297586,1.8305676980396,0.025043452146624,0.084754303868662
4.525e-05,93.605444493363,0.050067395418217,2.0673543220122,2.0859026160782,0.14113196146679,1.8783243584414,0.025702914711278,0.085287110381706
4.575e-05,93.947972813588,0.051814355953636,2.1188435732528,2.1376714839554,0.14431138694954,1.9279481100186,0.026372870026272,0.086855195886884
4.625e-05,95.102110758449,0.054113462998039,2.1726890356616,2.1920452020268,0.14749333934889,1.978530637931,0.027047439152185,0.090107170289145
4.675e-05,97.029444240561,0.056911821290142,2.2289595710039,2.2491972423596,0.15058911011166,2.0295824563943,0.027719316293456,0.09482595621316
4.725e-05,99.22365292301,0.059805469629103,2.28742859256,2.3087485336991,0.15356247768849,2.081074931783,0.028379784966077,0.10007442475138
4.775e-05,100.97060235553,0.06224328732123,2.3473608111189,2.3696469535823,0.15645863581821,2.1332366667699,0.029021199300316,0.10462672233988
4.825e-05,101.7170244413,0.063823355585642,2.4076884972689,2.4305717348715,0.15944330657791,2.1864296320594,0.029640495406796,0.10743092393651
4.875e-05,101.3248821794,0.064525988857931,2.4674965566921,2.4905788327116,0.16264700146856,2.2409122880936,0.030240982931664,0.10817089759274
4.925e-05,100.09936425368,0.064706597006981,2.5264411675305,2.5494903916315,0.16610107400052,2.2964926874321,0.030830919439249,0.10737539404902
4.975e-05,98.589951810569,0.064819472111315,2.5847973447832,2.6077864538648,0.16976751296352,2.3529375676122,0.031419944701914,0.10558406323379
5.025e-05,97.31055237319,0.065131338794167,2.6431783419933,2.6662059176397,0.17356218153053,2.4105257005921,0.032015772490036,0.1030380796503
5.075e-05,96.593658910795,0.065719988395515,2.7022215051976,2.7254431252954,0.17743535130701,2.4696376900649,0.032622544221481,0.099900912776503
5.125e-05,96.618489713479,0.066673699126974,2.7624363932459,2.7860588982369,0.18138331785668,2.5302899370828,0.033240502251654,0.096745591246181
5.175e-05,97.406466652541,0.068104577860265,2.8241358514504,2.8483934381074,0.18541463101752,2.5918508521094,0.033866246533989,0.094161499427243
5.225e-05,98.649755508978,0.069862170551595,2.8873037929652,2.9123307599756,0.18954387213847,2.6538413839361,0.034493809246448,0.092167634638731
5.275e-05,99.616068835959,0.071360146410557,2.9514719082829,2.9771372136796,0.19378257066109,2.7160883115109,0.035117223072423,0.090158887442848
5.325e-05,99.497334734146,0.071940222716992,3.0158486823406,3.0417384703598,0.19812898369021,2.7787418513848,0.035734050761007,0.087766996598057
5.375e-05,98.088113460902,0.071542499526766,3.0797704613972,3.105413391232,0.20257774631538,2.8418508554768,0.03634774341922,0.085177925040452
5.425e-05,96.11245891449,0.070920698262982,3.1431881707918,3.1683781654758,0.20709095703508,2.9055555471907,0.036966799216792,0.082791824287314
5.475e-05,94.717615631143,0.071041480271217,3.2067958633511,3.2317442812943,0.21162877030738,2.9701816128109,0.037600813303704,0.081029584547225
5.525e-05,94.553861680837,0.072261170771568,3.2716732771761,3.2968574762596,0.21611230672176,3.0362580387588,0.038255756441572,0.079713326552659
5.575e-05,95.356226055814,0.07414831841874,3.3386938351021,3.3645364395028,0.22052703493692,3.1040359723334,0.038931241053947,0.078974022659423
5.625e-05,96.362521765822,0.076037875862964,3.4081340147021,3.4347877088341,0.22485667264061,3.1734751611921,0.039621047925226,0.078311383493924
5.675e-05,97.004496576588,0.077609013810899,3.4797362691511,3.5071130619746,0.22910321071515,3.2443502555622,0.040316239674536,0.077829231897917
5.725e-05,97.212018699527,0.078974742447738,3.5530798165025,3.5810287920259,0.23335448320252,3.3163465886967,0.041009055456387,0.077840456257086
5.775e-05,97.281951502108,0.080472394591822,3.6279124247167,3.656378606424,0.23765927916856,3.3887438023103,0.041695720403078,0.078835676207583
5.825e-05,97.616496446861,0.082462256913704,3.7042418252961,3.7333265327148,0.24198341346062,3.4612442505102,0.042377023148271,0.080587524980631
5.875e-05,98.448535112861,0.085085085148865,3.7821885089459,3.8120854317749,0.24636777415565,3.5342941813394,0.043056708097422,0.082477776560151
5.925e-05,99.582027561204,0.087997507194589,3.8616884249489,3.8924983251875,0.25079731587819,3.6081325996598,0.043738912492513,0.083742468548808
5.975e-05,100.41013000202,0.090478125196644,3.9422505164486,3.9738010951224,0.25521846562912,3.6831850147568,0.044426294330331,0.083816618378746
6.025e-05,100.38854588925,0.092022297513193,4.0230428538452,4.05491472778,0.25965565174447,3.7594438670524,0.045119741958764,0.082556749607582
6.075e-05,99.556883235821,0.092816147393989,4.1033326327467,4.1351178288984,0.26401917682565,3.8368786187832,0.04581921575162,0.079977284916643
6.125e-05,98.504090276007,0.093522066905105,4.1829234250004,4.214487140831,0.26824565049353,3.9157225881526,0.046524516752492,0.076412378949398
6.175e-05,97.809536116296,0.094659578330494,4.2622215846968,4.293741627075,0.27233955638322,3.9958989606395,0.04723519770105,0.072406907352253
6.225e-05,97.600676420636,0.096274463478363,4.3419287981439,4.3737184990907,0.27623717682083,4.0772328583071,0.047949869753016,0.068377991524232
6.275e-05,97.652064016803,0.098123265221557,4.4226526870333,4.4549546521436,0.27992973648675,4.1595672216986,0.048665770732612,0.064676805728204
6.3e-05,97.718975143282,0.099067209000943,4.4635229047518,4.4960795198889,0.2817237685896,4.222411129955,0.049023195885224,0.06299877612873
6.325e-05,97.772549430976,0.10001457763302,4.5047595168138,4.5375523905316,0.28346514999945,4.2641253015448,0.049379490720609,0.061525139455947
6.375e-05,97.832873661033,0.10185310304979,4.5881042124924,4.6213646317058,0.28677194900351,4.3262361610925,0.050086807033408,0.058991335643158
6.425e-05,97.668612150943,0.10334517733988,4.6723269114848,4.7058607710477,0.28992453025715,4.4104048626444,0.050786284636701,0.056832853514855
6.475e-05,96.986801194927,0.10417950877398,4.7570481795754,4.7905422323271,0.29293309231487,4.4955655336728,0.051479195911837,0.054857949638169
6.525e-05,95.799082631391,0.10444757617506,4.8420103971422,4.8752006345751,0.29582913734948,4.58181870864,0.052170247944966,0.053481346850696
6.575e-05,94.494025261595,0.10461117752116,4.9273195387798,4.9601299956637,0.29858321805853,4.6691239174403,0.052867368864416,0.052904645711168
6.625e-05,93.576343303562,0.10517426827379,5.0135070604094,5.046125561627,0.3011335976308,4.7578098658222,0.05358017900407,0.053313526067557
6.675e-05,93.410654647097,0.10647119603505,5.1014236342441,5.1342762198528,0.3035323408919,4.8483369578317,0.0543172909686,0.05454036884306
6.725e-05,94.08649627466,0.10871426400954,5.1919772564997,5.2255899226021,0.3058396384774,4.9408304487571,0.055083365664626,0.056492271493484
6.775e-05,95.354554769118,0.11159811856771,5.2857723928521,5.3205517409153,0.30808520743719,5.0351325918161,0.055877458864201,0.059147231344764
6.825e-05,96.744722711287,0.11445308469822,5.3828172298876,5.4188809381671,0.31026781275981,5.1308151090387,0.056693775590726,0.062413493835494
6.85e-05,97.546866602064,0.11579222630253,5.4324826976234,5.4690178457769,0.31135209602083,5.2035799352072,0.057108121036372,0.064283416528741
6.9e-05,98.211414444273,0.11768830714459,5.5333195356847,5.5707257034879,0.31342723342651,5.2758303790509,0.057943314530539,0.068539670393795
6.95e-05,98.638806483103,0.11908515847943,5.6354510081284,5.673617661115,0.31543880915069,5.3729653038427,0.058783878248904,0.073093010462436
7e-05,98.874505009464,0.12033525236149,5.7384982393441,5.777341679411,0.31748692664851,5.4710186426435,0.059627306066984,0.077335437260591
7.05e-05,99.152691531326,0.12179949390182,5.8422887163716,5.8818593784088,0.31964235509261,5.5696886306289,0.060471720206823,0.081103526648861
7.1e-05,99.4456268833,0.12324582081433,5.9467559701274,5.9870827155644,0.32192463525457,5.6692142955049,0.061314151044569,0.084269942034548
7.15e-05,99.497388699719,0.12406796009828,6.0516812724656,6.0926291402537,0.32427887085597,5.7696446891974,0.062150339304331,0.08669084694474
7.2e-05,99.077169076269,0.12446418883058,6.156672765548,6.1979589600465,0.32670081019088,5.8709982668685,0.062976626954395,0.088116511652752
7.25e-05,98.231383143741,0.12424228186251,6.2614133823922,6.3027768396947,0.32916033487533,5.9739613479738,0.063792642518024,0.088403537970173
7.3e-05,97.354217734137,0.12425757576584,6.36595498617,6.4073528279299,0.33171406563045,6.0784502976609,0.06460274478915,0.087869686189129
7.35e-05,96.915830404027,0.12528200084934,6.4707921404851,6.5124553225842,0.33438252242639,6.1844625573312,0.065414920031356,0.086842113267531
7.4e-05,97.085217783233,0.12704864626919,6.5766185126804,6.6189003676768,0.33706579657992,6.2920283950085,0.066237515245827,0.085382358044426
7.45e-05,97.662157807802,0.12916891644951,6.6839177209034,6.7270590666974,0.33952103869627,6.4012827931788,0.067075675273321,0.083488720716823
7.5e-05,98.175991278236,0.13073064057745,6.792670001588,6.8366379934913,0.34152932576325,6.5122825744317,0.067929613801434,0.081200417388447
7.55e-05,98.02482209691,0.13072451021271,6.9023510987403,6.946811025456,0.34306510082865,6.625027057086,0.068795698381899,0.078438636680086
7.6e-05,96.965497072322,0.12981847512629,7.0122533687656,7.0567451137825,0.34434430336747,6.7393655098079,0.069669554743032,0.07521603379155
7.65e-05,95.503647355544,0.1294854838179,7.1219948245377,7.1662529754298,0.34555616397942,6.8555600793775,0.070549201325882,0.071859444031925
7.7e-05,94.378400941183,0.13089636308197,7.2318306799601,7.2759393566567,0.34679328646879,6.9733873708029,0.071436357235532,0.068752868797699
7.75e-05,93.850328622856,0.13653662694314,7.3424916534459,7.3867585287908,0.34806526561992,7.0929900098656,0.072335313157748,0.06641088965648
7.8e-05,93.87061981489,0.14625050151376,7.4548570522764,7.49970878478,0.34931069412037,7.2139357798215,0.073250204707581,0.065048385313711
7.85e-05,94.489191836501,0.16576468329238,7.5698151497474,7.6157982508964,0.3504977160466,7.3363326892773,0.074182302944443,0.064826803481752
