time,Jint,external_work,fracture_energy,kinetic_energy,max_disp_y,preset_ext_power,preset_ext_work,preset_ext_work_p,strain_energy
8.5e-06,0.00012699754116206,0.016663000982799,0,0.0077082413454427,0.00029284260680716,6724.5790656235,0.055814992083892,0.056107381014608,0.008514997565227
9e-06,0.0001473750362181,0.01767109434976,0,0.0081124299182675,0.00031063417688556,6720.5816398618,0.059158419948009,0.05946867119098,0.0091225313067189
9.5e-06,0.00016797003530338,0.018678288484947,0,0.0085023908240736,0.00032902117834178,6719.6871705341,0.062501220232543,0.062828738393579,0.0097426417272386
1e-05,0.00018870516203717,0.019682417553533,0,0.0088845992024532,0.00034874545418561,6717.7082392217,0.065843100275493,0.066188087246018,0.010364060508538
1.05e-05,0.0002087463084134,0.020674349637449,0,0.0092822407849522,0.00037109579938804,6695.6221255769,0.069178763225093,0.069541419837217,0.010948115650887
1.1e-05,0.00022884107425101,0.02163253811876,0,0.0097552790199267,0.00039798964602458,6660.2330281781,0.072500238428286,0.072880383625656,0.011408210236169
1.15e-05,0.00024861500203893,0.022525195020372,0,0.010409231358562,0.00043170746822207,7267.3739485107,0.075796882169148,0.076362285369828,0.011618821609818
1.2e-05,0.00026882237932014,0.023334398826761,0,0.011343977815032,0.00047411026090508,10110.442012269,0.079054127911176,0.080706739360023,0.01151082446086
1.25e-05,0.00029000164782967,0.024102168899144,0,0.012533552916807,0.00052548468301023,12682.797266486,0.082258260454072,0.086405049179712,0.011202567023412
1.3e-05,0.00031252982543429,0.024932437459492,0,0.013781779615509,0.00058360093016392,14010.646654138,0.085399627738387,0.093078410159868,0.010939328028443
1.35e-05,0.0003357722516456,0.025896315952566,0,0.01491478832785,0.00064391027333403,13589.54546745,0.088475727694642,0.099978458190265,0.010795107684053
1.4e-05,0.00035803201073041,0.026940947416012,0,0.015991305060968,0.00070136289370875,11849.63251849,0.091491727071092,0.10633825268675,0.010602079625222
1.45e-05,0.00037766084820615,0.027948481296299,0,0.017137658753963,0.00075308207377687,10060.403513564,0.094455685668941,0.11181576169476,0.010311755305205
1.5e-05,0.00039538614872961,0.028855140094382,0,0.018289021942131,0.00079998635921162,9469.106342631,0.097372851160127,0.11669813915881,0.01007732618316
1.55e-05,0.00041525740934111,0.029666556207936,0,0.019360775557056,0.00084576520128174,10314.353951748,0.10024249717007,0.12164400423241,0.0098953802937791
1.6e-05,0.00044181813434268,0.030441820473978,0,0.020421260605785,0.00089375597446548,11580.822076181,0.10305975119351,0.12711779823939,0.0096656642633551
1.65e-05,0.00047554263750464,0.031266447228021,0,0.021492650887147,0.00094441606767824,11999.410377942,0.10582081242307,0.13301285635292,0.0094367429129848
1.7e-05,0.00051224306171012,0.032148746937004,0,0.0225331803043,0.00099571713114098,11321.172130099,0.10852610165486,0.13884300197993,0.0092226996872853
1.75e-05,0.00054855716020877,0.033010458216936,0,0.023565406872807,0.001045808615893,10449.501646037,0.11117916163397,0.14428567042396,0.0089845935734587
1.8e-05,0.00058635572570186,0.033800190630973,0,0.024594989207826,0.0010948929905643,10289.544417041,0.11378411237444,0.14947043193973,0.008746972411826
1.85e-05,0.00062892714048035,0.034539354501965,0,0.025610266284184,0.0011444202358719,10746.681718467,0.11634617942354,0.15472948847361,0.0085065208305684
1.9e-05,0.00067417833760265,0.035285535159487,0,0.026617394016281,0.0011950951968585,11037.616190042,0.11887688400004,0.16017556295074,0.0082678514847131
1.95e-05,0.00071556368862261,0.036064364586153,0,0.027599554432331,0.001246421919393,10795.060857235,0.12140166728683,0.16563373221256,0.008065273300569
2e-05,0.00074983647876733,0.036854171644941,0,0.02853638680823,0.0012980810816813,10422.120157288,0.1239683315487,0.17093802746619,0.0079285318668365
2.05e-05,0.00077981635542694,0.037649310471676,0,0.029416625643676,0.0013509390949279,10368.286016225,0.12665712083767,0.17613562900957,0.007886492055419
2.1e-05,0.0008092101421164,0.038494098419892,0,0.030257658606444,0.001406401631788,10525.257080792,0.12959184054802,0.18135901478382,0.0079356090699611
2.15e-05,0.00083841205626362,0.039454420821003,0,0.031118630459421,0.0014654199389638,10550.367869468,0.13294603746428,0.18662792102139,0.0080538592298536
2.2e-05,0.00086550150843872,0.040580910425945,0,0.032077569814386,0.0015286969064834,10484.527625368,0.13693404096008,0.19188664489509,0.0082258666041955
2.25e-05,0.00089127394369544,0.041913823630174,0,0.033204809209569,0.0015996599707885,11000.412623606,0.14177789638889,0.19725787995734,0.0084608191137154
2.3e-05,0.00092375511698232,0.043503695866973,0,0.034533642879519,0.0016802018705239,12919.309814107,0.14764825279166,0.20323781056677,0.0088036600733448
2.35e-05,0.00097269120261424,0.045400149781901,0,0.036035447730262,0.0017678145314461,15048.361685497,0.15458968408221,0.21022972844167,0.009332754508151
2.4e-05,0.0010395634306269,0.047616662593342,0,0.037615125465678,0.0018597556344956,16672.133118225,0.16245751688688,0.2181598521426,0.010125239862727
2.45e-05,0.001118459972671,0.050102672797521,0,0.039158798744034,0.0019540571288512,17405.076912773,0.1709058486673,0.22667915465035,0.011174728572785
2.5e-05,0.0012000909581481,0.052735884954431,0,0.040621058377711,0.0020493195158739,17104.044337643,0.17945992000502,0.23530643496295,0.012326942759591
2.55e-05,0.0012699339565725,0.0553459496479,0,0.042059018627367,0.0021426166287279,16008.41470667,0.18767045028845,0.24358454972403,0.013353476258278
2.6e-05,0.0013141398780178,0.057784164114548,1.5555110591186e-06,0.043538748618586,0.0022322004408669,14706.841835137,0.19529315065524,0.25126336385948,0.014150899115029
2.65e-05,0.0013338544895614,0.060004403445309,7.2111323935209e-05,0.045040306284563,0.0023202108090284,13883.943490632,0.20239661276228,0.25841106019092,0.014592366884305
