time,DJ1,DJ1_br,DJ2,DJ2_br,DJ_br,DJint,EW,EW_br,FE,FE_br,Fy,J,KE,KE_br,PEW,SE,SE_br,max_disp_y
9,0.00011104031435104,-4.7169296030897e-08,0.0017845781476397,-4.6619157792439e-08,-9.3788453823336e-08,0.0018956184619907,0.19193279023302,9.6703775552463e-05,0.0062322381745917,0,99.986196585167,0.0017032163197398,0.090799369285361,1.796730771339e-07,0.19277747237352,0.098811449644352,0.0033334565999518,0.001024822523625
9.25,0.00012135322702309,-9.7660739128622e-08,0.0018869633762781,5.6530287085683e-08,-4.1130452042939e-08,0.0020083166033012,0.19739956470757,9.6279139875958e-05,0.0072157702294644,0,99.957835694235,0.0018158807824087,0.092980797154346,4.2083854201551e-07,0.19821914453662,0.10196807496605,0.0033426183290979,0.0010536650919045
9.5,0.00013023458907539,-5.0263436496604e-08,0.0019814867994889,1.0487577675007e-07,5.4612340253467e-08,0.0021117213885643,0.20287044893813,9.5771414835175e-05,0.0083011691709008,0,99.970993058247,0.0019277237800322,0.095131218888742,7.9630697463965e-07,0.20366549073424,0.10513980544932,0.0033438815364961,0.0010828693550516
9.75,0.00013585595050005,-8.1942802970542e-09,0.0020629162509815,3.1444684557305e-08,2.3250404260251e-08,0.0021987722014815,0.20833837730049,9.4807726297427e-05,0.0094481264405219,0,100.00102317138,0.0020374148212377,0.09725981558699,1.6439572779484e-06,0.20911350002522,0.10830803147564,0.0033183120573862,0.0011128850875909
10,0.00013628312561862,-5.9676402986797e-08,0.0021352813498867,1.1390523577983e-09,-5.8537350628999e-08,0.0022715644755054,0.21378093167956,9.3940014503514e-05,0.01065036715143,0,100.00798895414,0.0021434470887829,0.099398854719173,2.8326844776778e-06,0.21456087687085,0.11141446729619,0.0032822398270508,0.001144598857423
10.25,0.00013006797677272,-1.0061120231245e-07,0.0022032947501504,1.0473923685906e-07,4.1280345466074e-09,0.0023333627269232,0.21914196255627,9.3130689473483e-05,0.011906648012554,0,100.0385802672,0.0022448209904746,0.10164758612595,4.3480685949863e-06,0.22000704253324,0.11430152462848,0.0032532575870198,0.0011795474257018
10.5,0.00011784864495195,-1.0682959312736e-07,0.0022594832215973,2.3535308688592e-07,1.2852349375856e-07,0.0023773318665493,0.22428781713751,9.2337992317261e-05,0.013236950473074,0,100.10301777532,0.0023421006045475,0.10424748951413,6.0186865208098e-06,0.22544738543202,0.11661874664652,0.0032292605638154,0.0012200333155577
10.75,0.00010356981894096,-2.0289921445581e-07,0.0022904033749351,3.5601644578658e-07,1.5311723133077e-07,0.0023939731938761,0.22900150242457,9.1537694383526e-05,0.01466512325384,0,100.16549772123,0.0024387718751822,0.1076364849466,7.6267177778438e-06,0.23087505164715,0.11782100340828,0.0032012059793128,0.0012689917124958
10.875,6.9618410498809e-05,-2.8199581291984e-07,0.0022436112071372,3.5157035785565e-07,6.9574544935809e-08,0.0023132296176361,0.23113582221232,9.1110823794206e-05,0.015424942600242,0,100.2058265761,0.0024886709160829,0.11107245263822,8.8537706033383e-06,0.23358258655147,0.11784336821206,0.0031849969335225,0.001297502634598
11.125,9.4580264516459e-05,-4.9558500875746e-07,0.0022782800537624,5.7874035409206e-07,8.3155345334595e-08,0.0023728603182789,0.23495089580011,9.017969739977e-05,0.017050239830693,0,100.27971708228,0.002598943822223,0.11523608010816,1.0022193062689e-05,0.23897950062524,0.11668083717258,0.0031546368823109,0.0013645182630766
11.375,0.0001098993430353,-8.7114421818319e-07,0.0022645848917462,8.3913955558418e-07,-3.2004662599015e-08,0.0023744842347815,0.23857425139375,8.8813715108249e-05,0.018839979003633,0,100.35934920802,0.0027289111942403,0.12191407321635,1.2307676071319e-05,0.24434512593784,0.11456100399629,0.0031286872649232,0.0014449957791319
11.625,0.0001444506826387,-1.6261689417044e-06,0.0022452080072144,1.4343640797688e-06,-1.9180486193558e-07,0.0023896586898531,0.24283224222534,8.6850865713664e-05,0.020788183209434,0,100.40273948388,0.0028788230151845,0.12884902926176,1.5800628897655e-05,0.24967247705462,0.11271194859707,0.0031041571880025,0.001536689068365
11.875,0.00018588069908158,-2.8902564290711e-06,0.002224527858997,2.5876883153352e-06,-3.0256811373584e-07,0.0024104085580786,0.24831397535014,8.4326486866293e-05,0.022846248680274,0,100.41154365895,0.0030356218823238,0.13513374069141,2.0664538876113e-05,0.25495843646379,0.11162703084943,0.0030796295842377,0.001634420496845
12.125,0.00020975994506682,-4.6151370304718e-06,0.0021977028871559,4.2646461327671e-06,-3.5049089770479e-07,0.0024074628322227,0.25471357967001,8.1300694835766e-05,0.024977514344732,0,100.38243683432,0.0031741285093037,0.14095732656951,2.6720949635268e-05,0.260203096608,0.11051521434761,0.0030582993178487,0.0017316417906858
12.375,0.00019424524519696,-6.5103080617537e-06,0.0021662201573847,6.1904651872841e-06,-3.1984287446966e-07,0.0023604654025817,0.26110428626451,7.7789837441136e-05,0.0271927369277,0,100.31207025788,0.0032715164708763,0.1471666357066,3.3680375289155e-05,0.26541070022923,0.10864478976993,0.0030420981355846,0.0018232767843363
12.625,0.00014059270788648,-8.1221661098464e-06,0.0021299937766021,7.9270029848246e-06,-1.9516312502182e-07,0.0022705864844886,0.26682044135995,7.3881211322482e-05,0.029513970575724,0,100.23011036093,0.0033283471229048,0.15390017475388,4.1323079714836e-05,0.27058916657,0.10644447600931,0.0030291991535808,0.0019081471142889
12.875,7.9326474621491e-05,-9.080278211457e-06,0.0020848378822348,9.0229181954872e-06,-5.7360015969828e-08,0.0021641643568562,0.27176772019909,6.9677240348268e-05,0.031928472690989,0,100.17191063044,0.0033756384969759,0.16062907534946,4.9527230770109e-05,0.27574627653766,0.10441974845193,0.0030179670388197,0.0019891261062657
13.125,5.0908069376585e-05,-9.3024896492814e-06,0.0020324481297253,9.3000150180092e-06,-2.4746312722791e-09,0.0020833561991019,0.2762152770084,6.5143000946172e-05,0.034416038073267,0,100.15135458939,0.0034550270025257,0.16726252248511,5.8274585420869e-05,0.28088679346924,0.10230511601598,0.0030083460745876,0.0020705914091562
13.375,7.2776299701994e-05,-9.0088248187158e-06,0.0019659590230749,8.9763883873947e-06,-3.2436431321133e-08,0.0020387353227769,0.28070325715494,6.0131527342888e-05,0.036954211117978,0,100.16886693188,0.0035842458433045,0.17403582330179,6.7659860537888e-05,0.28601172603966,0.099990891104516,0.0029992266127146,0.0021549531953778
13.625,0.0001220377637448,-8.5334470651692e-06,0.0018832950363992,8.4454169899779e-06,-8.803007519132e-08,0.002005332800144,0.28569563692666,5.4525016867292e-05,0.039560387433054,0,100.20273513394,0.003739774836624,0.18083569823835,7.781763894997e-05,0.29111869053591,0.097738109234649,0.0029879607407755,0.0022410375339908
