time,DJ,DJ1,DJ1_br,DJ2,DJ2_br,DJ_br,EW,EW_br,FE,FE_br,Fy_top,J,KE,KE_br,PEW,SE,SE_br,max_disp_y
7,0.0010251450113943,9.635646991639e-05,9.9184219026901e-09,0.00092878854147791,-5.1833029976451e-09,4.735118905045e-09,0.1487161383734,3.6967616808058e-06,0.00014826651396942,0,99.965132050867,0.00082445670726255,0.072207615245284,1.4687918007769e-05,0.14937364607914,0.074248130961156,0.0013872200376031,0.000795763151474
7.25,0.0010869928682826,9.3988909758514e-05,9.3131759915343e-09,0.00099300395852404,-8.670051689668e-09,6.431243018663e-10,0.15416462071089,6.3456559651333e-06,0.00018172945876382,0,100.01307376603,0.00093522067439626,0.074595340646538,2.7260234385977e-06,0.15479391576606,0.077296382471567,0.0012454984935324,0.00082438774608365
7.5,0.0011588430607247,9.0578223664345e-05,4.3723021840721e-09,0.0010682648370603,-7.0969766511283e-09,-2.7246744670562e-09,0.15960859942481,5.7172386958264e-06,0.00023569339428835,0,99.977970769251,0.0010381972755917,0.077031282024634,1.5349652850639e-06,0.16021264600531,0.080179017297763,0.0012915724693492,0.00085301216747653
7.75,0.0011992402942254,9.0639827767346e-05,1.3401200592294e-08,0.0011086004664581,-1.0228464135165e-08,3.1727364571294e-09,0.16505761771643,6.1183686536862e-06,0.00032842732518261,0,99.962388015829,0.0011445493178254,0.07949199829504,4.7336928107043e-06,0.16563775222411,0.083081073879908,0.001431955233614,0.00088163600270666
8,0.0013101615264587,8.9920893881904e-05,1.7542566727599e-08,0.0012202406325768,-1.4529406078593e-08,3.0131606490062e-09,0.17051430700409,6.9321688561807e-06,0.00045352621433343,0,99.99528922153,0.0012542591766808,0.081842929534288,1.0338857179293e-06,0.17106780798397,0.086061788874088,0.0015242594807169,0.00091025796445631
8.25,0.0014473009927942,8.9641802161529e-05,-8.6470739826838e-10,0.0013576591906326,-7.7695977635921e-09,-8.6343051618605e-09,0.17597040786128,6.8234479249203e-06,0.00058981793705577,0,99.986346911611,0.0013648533755321,0.084209678988529,7.1898250102027e-07,0.1764979547239,0.088986763817244,0.0015087454708855,0.00093887429781217
8.5,0.0015626503457954,9.2835702612501e-05,-4.6856775111706e-09,0.0014698146431829,-3.8623168412845e-09,-8.5479943524551e-09,0.18142821852276,6.9551385709093e-06,0.00073096665309049,0,99.9593908432,0.0014767228964578,0.0865450345397,1.3773186487451e-06,0.18193154212088,0.091994755459853,0.0014451546529822,0.00096747477014165
8.75,0.0016540125808606,9.9505037795264e-05,7.9117113301855e-09,0.0015545075430653,-1.3231399471624e-08,-5.3196881414388e-09,0.18689120869602,7.0921334662438e-06,0.00088496539291629,0,99.955142924281,0.0015888964258803,0.088834884344267,2.104544132885e-07,0.18736890586194,0.094999156203365,0.0014028052634311,0.0009961214241888
9,0.0017396506403912,0.00010934111529886,-1.2073798333464e-08,0.0016303095250923,-9.8311840981915e-09,-2.1904982431656e-08,0.19235205820651,7.1020751135837e-06,0.0010612315373454,0,99.906105283234,0.0017015805499343,0.091116228474508,4.830720855272e-07,0.19280373355701,0.098005873477441,0.0014080163913049,0.0010248224571808
9.25,0.001830745635277,0.00011994780244014,-5.7044862750535e-08,0.0017107978328368,1.7405696008887e-08,-3.9639166741648e-08,0.19780293061668,7.1180622077567e-06,0.0012620779207797,0,99.755433321398,0.0018146277211828,0.09336114433618,4.0780681710258e-07,0.19823140718436,0.10101664037531,0.001434559685167,0.0010536649649911
9.5,0.0019236998253846,0.00012893320979315,-8.4025956796304e-08,0.0017947666155914,3.8910449690381e-08,-4.5115507105923e-08,0.20323436993291,7.095321790806e-06,0.0014843653421328,0,99.456307916463,0.0019265053238689,0.09558649644116,3.8902140085962e-07,0.20364626248376,0.10400205611123,0.0014416850052977,0.001082869114903
9.75,0.0020101398279402,0.00013554977857271,-7.8442487253688e-08,0.0018745900493675,2.7839624383304e-08,-5.0602862870384e-08,0.20862364861564,7.0415204102765e-06,0.001726006279399,0,98.861867869591,0.0020370050493819,0.097800744198613,7.8871519404709e-07,0.20903934297074,0.10695355945811,0.0014215152057991,0.0011128846222912
10,0.0020876585813919,0.00013792578915435,-7.0499563720839e-08,0.0019497327922375,2.1853437436883e-09,-6.8314219977151e-08,0.21393629627872,6.9620193054367e-06,0.0019888126623975,0,97.79039367446,0.0021449147730922,0.10003812705956,1.2331976495959e-06,0.21440956402068,0.10980129387278,0.0013933359421003,0.001144597943785
10.25,0.0021568919059918,0.00013471000837757,-9.3856712600954e-08,0.0020221818976142,1.2785702313715e-08,-8.1071010287239e-08,0.21912470965559,6.9007736785804e-06,0.0022774076072585,0,96.1535383964,0.0022489183981506,0.1024048756945,1.8748791859068e-06,0.21977317021203,0.11240747793258,0.0013779779755826,0.0011795456829981
10.5,0.0022210049800044,0.00012607729720059,-9.4600043354159e-08,0.0020949276828038,6.3694980501551e-08,-3.0905062852608e-08,0.22411291320368,6.8104831657962e-06,0.0025931096445731,0,94.045772771293,0.0023490822226798,0.10513236248194,2.5924005146129e-06,0.22516463797371,0.114486255879,0.0013742282869465,0.0012200302132552
10.75,0.0022813302686319,0.00011455442496317,-3.4516097519206e-08,0.0021667758436688,1.0636430260997e-07,7.1848205090768e-08,0.22880063677985,6.7334915432343e-06,0.0029344376233336,0,91.906823860753,0.0024481230927006,0.10862391060502,3.3267229164902e-06,0.23063077156849,0.11560850207226,0.0013673786683814,0.0012689866657187
11,0.0023440107393698,0.00010571723314982,-1.185694705494e-08,0.00223829350622,1.3618575909249e-07,1.2432881203755e-07,0.23313442602864,6.6482842880079e-06,0.0033010441229271,0,90.609387063413,0.0025526577807354,0.11333782510961,4.0415344038498e-06,0.2362070797265,0.11540438123904,0.0013512266270888,0.0013293744385933
11.25,0.0024165905774531,0.00010844834089327,-7.9196017138851e-08,0.0023081422365599,1.8401115961107e-07,1.0481514247222e-07,0.2372541977768,6.5512250992637e-06,0.0036954405458332,0,91.178303085665,0.0026717812516191,0.11943746444597,4.8282721414749e-06,0.24187713475916,0.11397503929667,0.0013331608532179,0.0014030390438303
11.5,0.0025094339186319,0.00013236033908645,-1.7944236354846e-07,0.0023770735795455,2.671770346902e-07,8.773467114174e-08,0.24158135063382,6.3944815258917e-06,0.0041195777195636,0,94.158879317498,0.002812295146315,0.12641857242265,5.8987866900852e-06,0.24754462900235,0.11209304344672,0.0013212016734434,0.0014894117685192
11.75,0.0026240952245133,0.00017934348702904,-4.1161829384363e-07,0.0024447517374843,4.9923097363443e-07,8.7612679790792e-08,0.2466018199284,6.1343194839547e-06,0.0045726589332812,0,98.961180335848,0.002972328781739,0.13328958959348,7.5760527823375e-06,0.25305234862788,0.11061660934909,0.0013139045312655,0.0015848102100123
12,0.0027404030418882,0.00023012932608962,-1.0204696105707e-06,0.0025102737157986,1.0925496703397e-06,7.2080059769019e-08,0.25238745138199,5.7726463511752e-06,0.0050547007589028,0,103.70001635215,0.0031336281813953,0.13945856832932,9.9600982868314e-06,0.25826135353241,0.10951027057243,0.0013054772664992,0.0016831470568718
12.25,0.0028161644748317,0.00024282403557194,-2.0344437053727e-06,0.0025733404392597,2.0599112604353e-06,2.5467555062585e-08,0.25842657605819,5.3449238264027e-06,0.0055659273956981,0,106.01970798909,0.0032596822029205,0.14533675081594,1.3005285558139e-05,0.26316186854814,0.10792345523941,0.0012947986237606,0.0017782256737532
12.5,0.0028251503170863,0.00018553823888837,-3.1519603919118e-06,0.0026396120781979,3.0916484692421e-06,-6.0311922669703e-08,0.26411563768023,4.9067585327378e-06,0.0061076490612481,0,104.69764501253,0.0033188218021329,0.15165484724311,1.6538775007018e-05,0.26793394869879,0.10553019560098,0.0012856610984449,0.0018666012780311
12.75,0.0027788429795701,8.2693881230634e-05,-4.0236849356772e-06,0.0026961490983395,3.8877148592265e-06,-1.3597007645061e-07,0.26930565875261,4.4715511908369e-06,0.0066794728965774,0,100.82474214242,0.0033282511092662,0.15842441073289,2.0366272849181e-05,0.27287207210599,0.1030616872095,0.0012804302285416,0.0019491172183051
13,0.0027606895089051,1.0881641339165e-05,-4.5225809033344e-06,0.0027498078675659,4.4057138579763e-06,-1.1686704535815e-07,0.2742472810932,4.007255554134e-06,0.0072799533800845,0,97.280494898035,0.0033624576359693,0.16516366305691,2.4341808171509e-05,0.27818379613667,0.10115269785509,0.0012773836248071,0.0020297536826601
13.25,0.0028261470143824,2.8812089789643e-05,-4.6974011133369e-06,0.0027973349245927,4.6747974957589e-06,-2.2603617577992e-08,0.27924448650626,3.4693834841202e-06,0.0079076778147197,0,96.553951327503,0.0034865554513797,0.17175951795669,2.8519719697942e-05,0.28380832535963,0.099576806985204,0.0012738973984098,0.00211236694866
13.5,0.002957526929767,0.00011685473837072,-4.6481723629054e-06,0.0028406721913963,4.6568359055567e-06,8.6635426513562e-09,0.28445712299489,2.8488775413852e-06,0.0085616513276009,0,98.669875900951,0.0036824079280044,0.17840193291357,3.3116091733042e-05,0.28943512528153,0.097872542634948,0.0012694544238591,0.0021977719874381
13.75,0.0030688231836099,0.00019188504020288,-4.5109129247025e-06,0.002876938143407,4.4314545095142e-06,-7.9458415188349e-08,0.28980331170028,2.1581956720882e-06,0.0092407407435596,0,101.26156017329,0.0038626167413306,0.1850815441303,3.8281344818342e-05,0.29475285015518,0.095870006297252,0.001264443044695,0.0022835417260527
14,0.0030898967426579,0.00018395576363663,-4.4313458923035e-06,0.0029059409790213,4.2674169248656e-06,-1.6392896743795e-07,0.29505698626682,1.3861399969647e-06,0.0099434041914899,0,101.91475802851,0.0039586519153581,0.1916751846734,4.4028958516115e-05,0.29972555686695,0.093611559816778,0.0012576530425278,0.0023665552678528
