time,DJ1,DJ1_br,DJ2,DJ2_br,DJ_br,DJint,EW,EW_br,FE,FE_br,Fy,J,KE,KE_br,PEW,SE,SE_br,max_disp_y
14.375,0.00013647002417471,-6.7997721839897e-06,0.0015840444739846,7.2469737511657e-06,4.4720156717596e-07,0.0017205144981593,0.30150590419952,3.2339732304673e-05,0.047668572104293,0,100.09519942131,0.0040709876457048,0.20090859571917,0.00011394371037098,0.30632490432568,0.091008229667359,0.0028973382774972,0.0024843551987147
14.625,0.00013966196154647,-5.436138182633e-06,0.0014633851001936,6.0521634928142e-06,6.1602531018121e-07,0.0016030470617401,0.30641309666736,2.036319411001e-05,0.050421048782519,0,100.05907573943,0.0041822881438948,0.20748379912568,0.00012918295128462,0.31137032706109,0.088844081559589,0.0028073980361455,0.0025615578818198
14.875,0.00016466948363066,-3.2517076975537e-06,0.0013840299842222,3.6257326954081e-06,3.7402499785439e-07,0.0015486994678528,0.31142370398493,1.9743386496111e-07,0.053066436031409,0,100.06772036703,0.0043195412846242,0.21400917347841,0.00014882770096737,0.31640965941536,0.086731876099786,0.0026471926844371,0.0026400630575135
15.125,0.00017769825367949,-3.4658149744381e-07,0.0011602625786562,1.6060899533056e-07,-1.8597250211325e-07,0.0013379608323357,0.31662485995898,-3.7335099617781e-05,0.055638080962773,0,100.0822847113,0.0044517832562016,0.2205239715948,0.0001781499690986,0.32144088615042,0.084617087145067,0.0023876564294629,0.0027201694063448
15.375,0.00015262310776681,2.6714151062369e-06,0.0008327794127128,-3.2767703374577e-06,-6.053552312208e-07,0.00098540252047961,0.32185653724001,-0.00010221545104314,0.058214672294547,0,100.04982278677,0.0045538319461049,0.2269460046182,0.00022627553552886,0.32646346339969,0.082628798485275,0.0020133205557356,0.0028011874636707
15.625,0.00010471266685022,4.7174393744713e-06,-0.00015032576730576,-5.0724791529529e-06,-3.5503977848162e-07,-4.561310045554e-05,0.32696748349747,-0.00019462297025526,0.060440116207792,0,99.959703671529,0.0046405592337524,0.23325361237769,0.00030305086340299,0.33148282519345,0.080718156440491,0.0015406264007653,0.0028825785882901
15.875,7.0910082731819e-05,4.6176489068272e-06,0.00023871005752391,-3.9700014648712e-06,6.4764744195606e-07,0.00030962014025573,0.33198858183041,-0.0002920115371112,0.062438662762127,0,99.84882855291,0.0047511100274407,0.23959928018939,0.00040857245483382,0.33650951768665,0.078811941703165,0.0010294253907242,0.0029642343748001
16.125,6.5249174842217e-05,2.0555352391102e-06,0.0020415041020882,-4.8679505962595e-07,1.5687401794843e-06,0.0021067532769304,0.33704572755761,-0.00034923403558179,0.064306110572112,0,99.748638727391,0.0049069015720773,0.2459097866341,0.00051946944028865,0.34155481719141,0.077021400029123,0.00057342246485229,0.0030460500734694
16.375,6.9069819542553e-05,-1.9716674780987e-06,0.0019745320892095,3.223713350651e-06,1.2520458725522e-06,0.0020436019087521,0.34219175528754,-0.00032765904766963,0.06615525288348,0,99.652358741677,0.0050989717155613,0.25221660647233,0.00058960765282735,0.34662869439124,0.075245045871087,0.0002614257798415,0.0031277247182683
16.625,6.1815396603652e-05,-6.8730513111505e-06,0.00016209946020857,6.345251936269e-06,-5.277993748815e-07,0.00022391485681223,0.34738120058294,-0.00023956292508965,0.067938000902759,0,99.545946061744,0.0053107186443809,0.25856038558276,0.00058341896589107,0.35174133293974,0.07352211178116,0.00012474365691929,0.0032090263076538
