time,DJ_over_J,DJint,Fy,Jint,ce_int,external_work,fracture_energy,kinetic_energy,max_disp_y,nucleation_energy,preset_ext_work,strain_energy
4.3650000000001e-05,-0.38537891468378,-0.018826998635255,98.064076874853,0.04885321411708,-0.45411546458683,2.0182752603605,0.29894664213601,1.8683138575407,0.023918856814463,0.33766034657793,2.0659076201201,0.084328767115923
4.3700000000001e-05,-0.36510083782173,-0.018109445399948,98.993933625611,0.04960121567508,-0.45535240914839,2.023740350573,0.29943448266653,1.87325068733,0.02398341956344,0.3395863219923,2.071542596458,0.084710971476405
4.3750000000001e-05,-0.34352015681066,-0.017316265401745,100.02037899928,0.050408294996469,-0.45497504633153,2.0293150613737,0.29991428285653,1.8781924902068,0.024047729960715,0.34144097743574,2.0771859027389,0.085096709213954
4.3800000000001e-05,-0.32312293534123,-0.016538383362488,100.97207450021,0.051182944797845,-0.45336301578254,2.0349927758743,0.30038009685804,1.8831375875024,0.024111660530363,0.34309942393437,2.0828297851523,0.085486604748509
4.3850000000001e-05,-0.30619341438827,-0.015870688501139,101.68201720963,0.051832233338024,-0.45241797340139,2.0407526768049,0.30083880499136,1.8880802341724,0.024175083264039,0.34494704730204,2.0884666697003,0.0858773881612
4.3900000000001e-05,-0.29439050003303,-0.015391409378732,102.02754095159,0.052282289601753,-0.45173990509946,2.0465627987473,0.30129886654484,1.8930188150101,0.024237893183192,0.34640962902713,2.0940904857227,0.086251627192969
4.3950000000001e-05,-0.28855481476803,-0.015147073953262,101.95638686082,0.052492882385064,-0.45072563117635,2.0523851287586,0.30176520708467,1.8979607592618,0.02430002564909,0.34784808519475,2.0996976561101,0.086602627111267
4.4000000000001e-05,-0.28870112771568,-0.015146136874347,101.49290164068,0.052463033290482,-0.44720393976718,2.0581813844858,0.30223449498821,1.9029223823974,0.024361464379202,0.34936930040743,2.1052875648121,0.08691569009072
4.4050000000001e-05,-0.29412806164145,-0.015361559827332,100.72487065931,0.052227454060665,-0.44698684074257,2.0639181459327,0.30271285333994,1.9079223312922,0.024422240182663,0.35058325043797,2.1108624669738,0.087178255952264
4.4100000000001e-05,-0.30359451534709,-0.015740185375488,99.777000908729,0.051846079490245,-0.44433346063507,2.0695704510379,0.30319629893865,1.9129728939122,0.024482422920499,0.35171128957785,2.1164269433563,0.087386995192288
