time,DJ,DJ1,DJ1_br,DJ2,DJ2_br,DJ_br,EW,EW_br,FE,FE_br,Fy,J,KE,KE_br,PEW,SE,SE_br,max_disp_y
2.5,-3.3881317890172e-21,5.4210108624275e-19,3.9171874324881e-29,-5.4548921803177e-19,3.0853638753167e-30,4.2257238200198e-29,0.050855118607584,-9.6312539784749e-15,0,0,100.11515375513,2.9815559743351e-19,0.023942191274552,5.5938308057879e-16,0.052337281174114,0.025435749214944,1.1376863626053e-15,0.00028015916032243
2.75,8.7549325428204e-18,7.6978354246471e-18,2.6726607468888e-27,1.0570971181734e-18,5.1359231060318e-28,3.186253057492e-27,0.056145725496535,-5.1777274426817e-13,0,0,98.442385879855,1.1546753136971e-17,0.026636424145239,3.4035063694987e-14,0.057683896721395,0.02807601233542,6.8760896918269e-14,0.00030877627769863
3,5.5606696547708e-16,4.9201094587392e-16,1.101628476923e-25,6.4056019603159e-17,5.7283342617598e-26,1.674461903099e-25,0.061668809299492,-1.9507526976735e-11,0,0,100.68662342059,7.4978001238235e-16,0.029336072738392,1.468197504413e-12,0.063141325864888,0.030830797382267,2.9417893620401e-12,0.00033779805605148
3.25,2.6456091549269e-14,2.3029646765982e-14,1.9483980834745e-24,3.4264447832874e-15,4.6629303757963e-24,6.6113284592709e-24,0.067056672389943,-5.1878533869003e-10,0,0,100.62480365444,3.5613005600066e-14,0.03203913453806,4.5310965270106e-11,0.068468273199493,0.03344823791093,8.9865230654337e-11,0.00036626437023745
3.5,9.3484624880645e-13,7.9632914845584e-13,-6.2762328977461e-23,1.3851710035061e-13,2.7937404313465e-22,2.1661171415719e-22,0.07236520902304,-9.7764969424656e-09,0,0,99.126617706392,1.2542537538088e-12,0.034745631670109,1.0066020276966e-09,0.073796033362351,0.036067238179944,1.9714586390228e-09,0.00039474867092766
3.75,2.4640217004355e-11,2.0447094213095e-11,-5.990441996109e-21,4.1931227912594e-12,1.2598484880925e-20,6.6080428848158e-21,0.077815105848989,-1.3070303131524e-07,0,0,99.9676951219,3.2920816734564e-11,0.037456357631711,1.6161137430587e-08,0.07921985579088,0.038779783069929,3.1174051009566e-08,0.00042356637842185
4,4.8585337457456e-10,3.9049820397662e-10,-2.4206613445752e-19,9.5355170597934e-11,4.3125325976374e-19,1.8918712530622e-19,0.083251665853985,-1.2380633590731e-06,0,0,100.55290833002,6.4560671159163e-10,0.040170239774126,1.8794816078978e-07,0.084598922921905,0.041444627281137,3.5614518922448e-07,0.00045219121515702
4.25,7.1767179569607e-09,5.5434925391382e-09,-6.6083392962412e-18,1.6332254178226e-09,1.1285163184457e-17,4.6768238882157e-18,0.088604150818396,-8.2795234167631e-06,0,0,99.657209280714,9.4667064189872e-09,0.042887958915763,1.5847522594989e-06,0.089942287175297,0.044072280766905,2.9454563871486e-06,0.00048070920822142
4.5,7.9425543364947e-08,5.8326391686944e-08,-1.3434323708279e-16,2.1099151678003e-08,2.2678343035926e-16,9.2440193276462e-17,0.094017732049929,-3.8858046244036e-05,0,0,99.728450721271,1.0369334801881e-07,0.045609196867771,9.6849835913484e-06,0.095342867583685,0.046754028461933,1.7689988181056e-05,0.00050941424936968
4.75,6.5811754261202e-07,4.5240435433947e-07,-2.0994050410877e-15,2.0571318827255e-07,3.5080552623142e-15,1.4086502212265e-15,0.099464543771693,-0.00012688024523327,0,0,100.31613170197,8.4633260834352e-07,0.048333857681082,4.2816984287958e-05,0.10074483752278,0.049435174225046,7.7684066882991e-05,0.00053807842898402
5,4.0792275358421e-06,2.5655040822574e-06,-2.5459364163313e-14,1.5137234535846e-06,4.1793997108828e-14,1.6334632945515e-14,0.10485767144756,-0.00028480748973354,0,0,99.951625066533,5.127415536176e-06,0.051061564405574,0.00013629916534744,0.10611301205358,0.052080907457014,0.0002531916247773,0.000566632693069
5.25,1.8916708406953e-05,1.0512116898631e-05,-2.3946233993107e-13,8.4045915083223e-06,3.8278055512689e-13,1.4331821519583e-13,0.11026322968235,-0.00043239209929575,0,0,99.733759608006,2.2949289650219e-05,0.053789628213406,0.00030926160786144,0.11150533154333,0.054753375573815,0.00063004543645797,0.0005952797651209
5.5,6.5854606116966e-05,3.0640276829415e-05,-1.7336368343494e-12,3.5214329287551e-05,2.6804059041611e-12,9.467690698117e-13,0.11570700387443,-0.00043299198646424,0,0,100.10735727946,7.5568790339648e-05,0.056511279612021,0.00048936787829484,0.116915566111,0.05745646850808,0.0012483776053702,0.00062395503190441
