time,DJ,DJ1,DJ1_br,DJ2,DJ2_br,DJ_br,EW,EW_br,FE,FE_br,Fy,J,KE,KE_br,PEW,SE,SE_br,ce_int,max_disp_y
39,-0.002654246352268,-0.021218636147805,-0.00012761039378097,0.018564389795537,0.0058029405638939,0.0056753301701129,1.632373889229,0.00022616551874735,0.39214808710702,0.079417969687432,99.679579495215,0.036319747751825,1.4627404805649,0.0023888175733327,1.6533405937577,0.091050167476275,0.00060949648018288,0,0.018563360712083
39.25,-0.0020789918547629,-0.021487811241581,-0.00027327085642114,0.019408819386818,0.0055632230715896,0.0052899522151685,1.6526385715328,0.00020879444728738,0.39659599224888,0.079654633291508,99.565556974007,0.036947127828937,1.4838993887243,0.0025203113722033,1.6735584890783,0.088578523778565,0.00059716696952026,0,0.018824283342342
39.5,-0.0010524237729151,-0.021590252974693,-0.00061628562446339,0.020537829201778,0.0048354257832628,0.0042191401587994,1.6730148860698,0.00018694734069822,0.40075973258046,0.079866871261044,99.760025110961,0.037685673432955,1.5054396964002,0.0026702589768419,1.6938762607778,0.08601284800477,0.00057449580843478,0,0.019082138853972
39.75,-0.0018120582446718,-0.021680586562258,-0.00086671836813666,0.019868528317586,0.0039071410779679,0.0030404227098312,1.6934424859344,0.00017485910695185,0.40465291208308,0.079995645553255,99.905895965792,0.038371583968605,1.5269895253273,0.0028105719500191,1.7142456862427,0.083527270302772,0.0005640739629503,0,0.019336882879074
40,-0.0016641651704432,-0.021852146486488,-0.00089244486665016,0.020187981316044,0.002481105256277,0.0015886603896269,1.7138110753458,0.00018597520535133,0.40866656604498,0.080115314914097,99.723993855648,0.03889965938508,1.5485901348487,0.0029328729301254,1.7346419213348,0.081012312300485,0.00055971317668756,0,0.019588617152556
40.25,-0.0019786844338867,-0.022055527524372,-0.00077865756229883,0.020076843090485,0.00095940287836306,0.00018074531606423,1.7340772304128,0.00020779657585325,0.413053498089,0.080209618992076,99.220713264758,0.039311205271836,1.5703368214697,0.0030303035014385,1.7550979573716,0.078545484703266,0.00057873297049875,0,0.019837978127012
40.5,-0.0023334694939444,-0.022155956260682,-0.00068836336023116,0.019822486766738,0.00063924770635547,-4.9115653875685e-05,1.7543166134932,0.00021999781994084,0.41772353154188,0.080367346138241,98.631062299399,0.039743691924461,1.5920276508578,0.0030889482051978,1.7756936782712,0.076148046103867,0.0005910850724577,0,0.020086244670929
40.75,-0.0010702778033018,-0.022081538808492,-0.00075668102048758,0.021011261005191,0.0019224242547578,0.0011657432342702,1.7746699907302,0.00022188153359924,0.42224680997553,0.080488184322417,98.180537402782,0.040283571938719,1.6138638871437,0.0031250615806264,1.7965137023728,0.073568733923431,0.00052131610503875,0,0.020335143402728
41,0.00015770127928401,-0.021920357110442,-0.00087350842112455,0.022078058389726,0.0029702351161698,0.0020967266950453,1.7952362974973,0.00022333227498852,0.42666146538965,0.080580633256349,97.890813056164,0.040862079973833,1.6359296969882,0.0031036765389256,1.8176226476619,0.071233781385829,0.00049018151179664,0,0.02058653227157
41.25,0.00097588944585435,-0.021860766756695,-0.0008481223643693,0.022836656202549,0.0024950742341024,0.0016469518697331,1.816013740256,0.00023009165360661,0.43130773248089,0.080549467562904,97.587665957527,0.041306582574061,1.657937116779,0.0030174810218153,1.8393051261585,0.069383458772691,0.0004907801847279,0,0.020842153210367
