time,DJint,DJint_2,Fy,Jint,external_work,fracture_energy,kinetic_energy,max_disp_y,preset_ext_power,preset_ext_work,preset_ext_work_p,strain_energy
67.375,-0.0015560833546472,0.0033067905730616,99.704113255602,0.10864176907979,5.5994687803093,0.25967467052936,5.3907723409958,0.055353790081019,0.20867070081254,5.7180244219447,5.985068719041,0.070524962705105
67.625,-0.0006981325116034,0.0032650591867121,100.84544269968,0.11027119251631,5.6522555723492,0.26068315987275,5.4403548280167,0.055770102247034,0.20836376742888,5.7698901067684,6.0371980275712,0.071926430349396
67.875,-0.00055254284786635,0.002666339334758,101.36853066695,0.1111902779632,5.7052991895405,0.26165472817636,5.4903199978936,0.056185996597584,0.20780071969523,5.8216479095287,6.0892185884617,0.072880183225435
68.125,-0.001056696559739,0.002124198461224,101.30394216181,0.11144753824813,5.758165155527,0.2625874546366,5.5406481237098,0.056599092836766,0.20722238176574,5.8732653021909,6.1410964761443,0.073411323573786
68.375,-0.0022118794032817,0.0023602781167068,100.66371272141,0.11101792222927,5.8104735213657,0.2634818854661,5.5912281755299,0.057007992756719,0.20684917293786,5.9247663520263,6.1928554204823,0.073691135472004
68.625,-0.0039977451545529,0.0026214274984012,99.428296892108,0.10990184698545,5.8619334572999,0.26433540068784,5.6418898028707,0.057412560114503,0.2069353203493,5.9762335716219,6.2445784821432,0.073930950251455
68.875,-0.0060545816520604,0.0025024978444264,97.78413822092,0.10844994378366,5.9124525537309,0.26514446225738,5.6925861271292,0.057813882286359,0.20769836714316,6.0278068540384,6.2964076930797,0.074326356369483
69.125,-0.0077300407208929,0.0025233306964455,96.220267972792,0.10731880090297,5.9622466302363,0.26591094750994,5.7433296710924,0.058213917389116,0.20916175302072,6.0796549716545,6.3485152081002,0.074971481768516
69.375,-0.0084180738490284,0.0022563200670291,95.294811176498,0.10712352393145,6.0118291918392,0.2666364261453,5.7941932805157,0.058614941531362,0.21109006910964,6.1319208837755,6.4010466858665,0.075871605024848
69.625,-0.007915713533818,0.0020040670035214,95.309351076253,0.10808494288818,6.0618544066753,0.26732113433177,5.8453083135897,0.059018960715168,0.21308696366088,6.184670908214,6.4540688149628,0.077013067142555
69.875,-0.0064544110336423,0.002110107502828,96.176256766955,0.1099970344121,6.112894183146,0.26796446459752,5.8967135912449,0.059427237103669,0.21476828279021,6.2378758455999,6.5075507207692,0.078371005244019
70.125,-0.0046005524843176,0.0024158865089733,97.515546844469,0.11232673454206,6.1652537277452,0.26856833403015,5.9484175319838,0.059840029047385,0.21589939845009,6.2914295337446,6.5613841809243,0.079837768083975
70.375,-0.0029648945879557,0.002679022120331,98.851654755955,0.11450876682755,6.2188836271381,0.26913613979,6.000429163633,0.060256583474811,0.21644817968635,6.3451916051979,6.6154276281913,0.081206849929232
70.625,-0.0020409877275308,0.003204532150142,99.786939761039,0.11609693621393,6.2734118365956,0.26967309931137,6.0528320647537,0.060675357033184,0.21656029544611,6.3990351341143,6.6695536875829,0.08222991260366
70.875,-0.0020700439115257,0.0031389421113107,100.10211020311,0.1168418078402,6.3282910562887,0.27018420598357,6.1057341113973,0.061094389065408,0.21648878888488,6.4528831084899,6.7236848231242,0.08276160075927
71,-0.0026233916261096,0.0032879531680843,100.00154831228,0.11689781107282,6.3557124424536,0.27043172596591,6.1458558428352,0.061303451017404,0.21645988269854,6.4798006423927,6.7507441150982,0.082823430417781
71.0625,-0.0029634215101518,0.0034864327802525,99.838019341726,0.11685993579035,6.3693959268184,0.27055360570757,6.1660222587501,0.061407755349948,0.21646283387224,6.4932585156707,6.764272949991,0.082803812648798
71.1875,-0.0034268770517071,0.0037217002241397,99.52885864952,0.11667646199973,6.3966596709276,0.27079368405664,6.1861987882286,0.06161574174725,0.21653245991078,6.5201789616387,6.7913351558525,0.082682844674666
