time,DJint,DJint_over_Jint,Jint,dt,external_work,kinetic_energy,preset_ext_work,strain_energy,tip,tip_adv,tip_cum,tip_vel
14.6,0.00010295499362917,0.048442300486478,0.0021253118162278,0.2,0.15227633855529,0.10030958462291,0.24659270224225,0.052041315738487,50.84320059551,0.12469112758648,0.96789172309674,0.6234556379324
14.8,0.00010219540785332,0.047069818925371,0.0021711451241263,0.2,0.15421458247894,0.10273159060016,0.2504482944949,0.051327496992403,50.967891723097,0.13100538851748,1.0988971116142,0.6550269425874
15,0.00010134550451032,0.045680134957919,0.0022185903041592,0.2,0.15611927780832,0.10515176752896,0.25431467682109,0.050609682459886,51.098897111614,0.13726689691496,1.2361640085292,0.68633448457481
15.2,9.8464894185028e-05,0.043468172772419,0.0022652181562944,0.2,0.15802313191898,0.10754508551445,0.25821231684313,0.049880757321141,51.236164008529,0.14316498288757,1.3793289914167,0.71582491443786
15.4,9.4435018313681e-05,0.040850744564087,0.0023117086193014,0.2,0.15990080343644,0.10992832795129,0.26217899583924,0.049143264002553,51.379328991417,0.14880880839367,1.5281377998104,0.74404404196835
15.6,9.2387492785206e-05,0.039117950830737,0.0023617671893133,0.2,0.16168889075832,0.11235865513844,0.26630921796692,0.048140492890341,51.52813779981,0.15463736602206,1.6827751658325,0.77318683011028
15.8,9.3343067563383e-05,0.038599825370158,0.002418225125846,0.2,0.16351709342152,0.11478761524658,0.27064082460624,0.047400558148402,51.682775165832,0.1609214795124,1.8436966453449,0.80460739756202
16,9.5915919345371e-05,0.038631273305214,0.0024828567929296,0.2,0.16529685210044,0.1171682193846,0.27522834400481,0.046653412423314,51.843696645345,0.1677645307321,2.011461176077,0.83882265366052
16.2,9.9785763469246e-05,0.038994509770589,0.0025589695589533,0.2,0.16704181831986,0.11951848691104,0.28013903456431,0.045875099159577,52.011461176077,0.17537994524318,2.1868411213202,0.87689972621589
16.4,0.00010618235474275,0.040076055637273,0.0026495210931885,0.2,0.16870511250495,0.12192600313702,0.28543330677566,0.044832608314442,52.18684112132,0.18387011052303,2.3707112318432,0.91935055261513
16.6,0.00011485235392424,0.041743313618726,0.002751395228785,0.2,0.17044969949061,0.12435835147495,0.29103019582445,0.044031616718968,52.370711231843,0.19275386215706,2.5634650940002,0.9637693107853
16.8,0.00012346302290174,0.043243383409556,0.0028550731503228,0.2,0.17220931415855,0.12675739168202,0.29678997236757,0.043203665872309,52.563465094,0.20114399612165,2.7646090901219,1.0057199806082
17,0.00012991180847037,0.044007982785205,0.0029520055282798,0.2,0.17396094605392,0.12920225404302,0.30259023821281,0.042096590286817,52.764609090122,0.20845517304351,2.9730642631654,1.0422758652175
17.2,0.00013192776155104,0.043401469244156,0.0030397072690991,0.2,0.17575625319629,0.1316972216489,0.30827598698925,0.041022694206448,52.973064263165,0.21466832704201,3.1877325902074,1.07334163521
