time,DJ_over_J,DJint,Fy,Jint,ce_int,external_work,fracture_energy,kinetic_energy,max_disp_y,nucleation_energy,preset_ext_work,strain_energy
4.3950000000001e-05,-0.25813810856389,-0.013721254486449,102.08446111929,0.053154702971928,-0.72425055406782,2.0665597297613,0.24820506418526,1.9375906836124,0.024302103658857,0.3459416986582,2.1161782144053,0.079920979062502
4.4000000000001e-05,-0.25490464890551,-0.013586098201533,102.04804044344,0.053298746256171,-0.72383047221354,2.0724532419557,0.24856333906127,1.942952798557,0.024363695555674,0.34681277392252,2.1219129491448,0.0800544559227
4.4050000000001e-05,-0.25639165283855,-0.013652197697313,101.65933485534,0.053247434330128,-0.72333384056472,2.0782950475849,0.24893307209062,1.9483427417882,0.02442455909018,0.34751991698683,2.1276335083898,0.080137173487249
4.4100000000001e-05,-0.26214087850944,-0.013899112249764,100.95796496566,0.053021536849939,-0.72192485941878,2.0840561441556,0.24929614282645,1.9537678708847,0.024484786700999,0.34814485701245,2.1333472917122,0.080179381148269
4.4150000000001e-05,-0.27117284545881,-0.014281244410935,100.02501092172,0.052664728973036,-0.72049262178619,2.0897175256463,0.24966249178426,1.9592263756676,0.024544505679644,0.34861643225847,2.1390579869218,0.080178557016643
4.4200000000001e-05,-0.28202991880424,-0.014732850656076,98.968593625242,0.052238609004821,-0.71865036862376,2.095271618586,0.25002856818547,1.9647075722654,0.024603865550315,0.3491968956325,2.1447667128738,0.080160943685929
4.4250000000001e-05,-0.29289997664178,-0.015176553296244,97.906530592605,0.051814798588413,-0.71762845879124,2.1007221028608,0.25039527245809,1.9701974292297,0.024663024592531,0.34959344569256,2.1504805506448,0.080143022360717
4.4300000000001e-05,-0.30184773936993,-0.015534521644387,96.948890268627,0.051464760600206,-0.71564847518903,2.1060826678497,0.25075773719379,1.9756832874184,0.024722136594536,0.34999596851946,2.1562070325856,0.080149021706658
4.4350000000001e-05,-0.30714279348532,-0.015740656892284,96.182830405672,0.051248660968621,-0.71356538168423,2.1113751687712,0.251121103733,1.9811569176446,0.024781338706396,0.35035248575804,2.1619531495467,0.080193541973877
4.4400000000001e-05,-0.30761517997938,-0.015751535290355,95.661747932673,0.051205325079897,-0.71258879713292,2.1166272051428,0.25148273042823,1.9866175715273,0.024840741155529,0.35093383463026,2.1677244093058,0.080266793393528
