time,DJint,DJint_over_Jint,Jint,dt,tip,tip_adv,tip_cum,tip_vel
22.2,-0.00019076106623608,-0.036473774868998,0.0052300883832625,0.2,59.365378902634,0.3022537292878,9.6676326319222,1.511268646439
22.4,0.00010984750707091,0.019360120409564,0.0056739061920631,0.2,59.667632631922,0.31176123025664,9.9793938621788,1.5588061512832
22.6,0.0001579910836353,0.026907632869951,0.0058716084167973,0.2,59.979393862179,0.31553369468674,10.294927556866,1.5776684734337
22.8,-6.1485967954512e-05,-0.010588444957138,0.0058068930993555,0.2,60.294927556866,0.31432710668296,10.609254663548,1.5716355334148
23,-0.00046154797818794,-0.082932213334979,0.0055653642852104,0.2,60.609254663548,0.309576114082,10.91883077763,1.54788057041
23.2,-0.00089534154565409,-0.16915919255263,0.005292893233547,0.2,60.91883077763,0.3036959902736,11.222526767904,1.518479951368
23.4,-0.0012010419427854,-0.23315441915754,0.005151272479094,0.2,61.222526767904,0.30039402820447,11.522920796109,1.5019701410224
23.6,-0.0012747088514364,-0.24302204052622,0.0052452396855704,0.2,61.522920796109,0.30260482734784,11.825525623456,1.5130241367392
23.8,-0.0011452786164274,-0.20648216918977,0.0055466223593127,0.2,61.825525623456,0.30919015180983,12.134715775266,1.5459507590491
24,-0.00097290579259334,-0.16503455041364,0.0058951643165316,0.2,62.134715775266,0.31596630765176,12.450682082918,1.5798315382588
24.2,-0.00093490166526482,-0.15294328306898,0.0061127343843087,0.2,62.450682082918,0.31980444524921,12.770486528167,1.5990222262461
24.4,-0.0010811602612907,-0.17583519969653,0.0061487134723686,0.2,62.770486528167,0.32041297694496,13.090899505112,1.6020648847248
24.6,-0.001302687236183,-0.21314169252229,0.0061118367822231,0.2,63.090899505112,0.31978917207122,13.410688677183,1.5989458603561
24.8,-0.0014533778739333,-0.23639129696244,0.0061481868943942,0.2,63.410688677183,0.32040412203385,13.731092799217,1.6020206101693
25,-0.0014890947865971,-0.23629129856153,0.0063019450807634,0.2,63.731092799217,0.32292684409706,14.054019643314,1.6146342204853
25.2,-0.001473000748184,-0.22626753708774,0.006509995941719,0.2,64.054019643314,0.32615063613321,14.380170279447,1.630753180666
25.4,-0.0014757105562335,-0.22020412765789,0.0067015571957225,0.2,64.380170279447,0.32894192033635,14.709112199784,1.6447096016817
25.6,-0.0015159932330976,-0.22106736918398,0.0068576074284212,0.2,64.709112199784,0.33110050409478,15.040212703879,1.6555025204739
25.8,-0.0015882968722075,-0.22740866614881,0.0069843286938245,0.2,65.040212703879,0.33278242296892,15.372995126848,1.6639121148446
26,-0.0016938793966038,-0.23914635943631,0.0070830239715815,0.2,65.372995126848,0.33405067575473,15.707045802602,1.6702533787736
26.2,-0.0018280590204899,-0.25521249159544,0.0071628900649098,0.2,65.707045802602,0.33505138584011,16.042097188442,1.6752569292005
26.4,-0.0019709009315278,-0.27186959967348,0.007249434780111,0.2,66.042097188442,0.33611088582062,16.378208074263,1.6805544291031
26.6,-0.002108623961205,-0.28641176724785,0.0073622113416183,0.2,66.378208074263,0.3374541432599,16.715662217523,1.6872707162995
26.8,-0.0022465379997093,-0.29947934909951,0.0075014788380714,0.2,66.715662217523,0.33905719460398,17.054719412127,1.6952859730199
27,-0.0023968099243078,-0.31289072663704,0.0076602139988895,0.2,67.054719412127,0.34081324986358,17.39553266199,1.7040662493179
