time,Fy,Jint,ce_integral,external_work,fracture_energy,kinetic_energy,max_disp_y,strain_energy
2e-05,98.538703703093,0.0080670482271147,0.020500590492047,0.42316113468887,0.027599613751464,0.33704955221346,0.0043269779896759,0.060498634287254
2.05e-05,97.52132970361,0.0083782836166062,0.02220323237059,0.43439455039422,0.029096119179513,0.34970322759981,0.0045031926510614,0.058369895801515
2.1e-05,96.244222961613,0.0087281573024561,0.024863207008142,0.44649460770202,0.03053558765278,0.36227635873427,0.0046881023395787,0.057342679202597
2.15e-05,94.764019580689,0.0091092885119393,0.026073142479123,0.46016963843398,0.031822102374259,0.37540975465382,0.0048848759577031,0.057077194893545
2.2e-05,93.113032152371,0.0094757804430817,0.027563575705563,0.47589213831071,0.032923124389549,0.39009972444998,0.0050958436943298,0.057317750689951
2.25e-05,91.567403827206,0.0098183222388131,0.02878237562544,0.49401251089902,0.03390333205437,0.40696714390032,0.0053286091723268,0.058108301356226
2.3e-05,90.7509078586,0.010213638186262,0.029290530273758,0.51504680922942,0.035091087770279,0.42635971128649,0.0055954536466515,0.059840825195818
2.35e-05,91.385488985018,0.010774189304723,0.030296195748975,0.53955631825468,0.036483310715143,0.4478686559979,0.0058857747401983,0.063424080566949
2.4e-05,93.835364140279,0.011530583705815,0.030796007670638,0.56772179897178,0.038023014450969,0.47042315987615,0.0061902910701502,0.069638383507366
2.45e-05,97.715210227086,0.012405058832272,0.03090967219605,0.5990047724696,0.039417986319923,0.49283982076255,0.0065034185014748,0.078444806377217
2.5e-05,101.82324686031,0.013263585676525,0.031481273794997,0.63206364898624,0.0409826849465,0.51471150133753,0.0068187795505111,0.088008073485749
2.55e-05,104.55292374734,0.013953254801759,0.033027049680277,0.66502761780981,0.042719021797126,0.53676658149634,0.0071274644388491,0.095800011158881
2.6e-05,104.6865368412,0.014371806703888,0.034441257991035,0.69625405108497,0.044540968214758,0.55975216653,0.0074311927972938,0.10065821659738
2.65e-05,102.18880626306,0.014559570003001,0.036177329351273,0.72520327024541,0.046580295507003,0.58340097902998,0.0077258520288619,0.10362229000847
2.7e-05,98.482582460306,0.014717498827711,0.038420538136934,0.75267465399179,0.048795723255599,0.60693137488486,0.0080160305248364,0.10633484515998
2.75e-05,95.82643766406,0.01511765325043,0.040908118618817,0.78022416991083,0.051244071147511,0.63052533969399,0.008316120305135,0.10922511706633
2.8e-05,95.914664061234,0.01592769032384,0.043238767910667,0.80929263806887,0.054005228673395,0.65506345776367,0.0086480521359157,0.11233920141936
2.85e-05,98.56686565741,0.017052525390792,0.045923487426009,0.84041572817455,0.056885231432346,0.68046289459233,0.0089880875900164,0.11608423684851
2.9e-05,101.70387741852,0.01815208772548,0.048887522836376,0.87279056108272,0.059862863188433,0.70609071946899,0.0093297644706694,0.11979647684339
2.95e-05,102.94803224895,0.01888889846528,0.052892275329447,0.90479527368223,0.062943596185448,0.73201889342146,0.0096750245647031,0.12216297213064
3e-05,101.57863982178,0.019216974681693,0.057241709207022,0.93531193227582,0.065993524793156,0.75842869897075,0.010044703023991,0.12308622879639
3.05e-05,99.001497961793,0.019424442681478,0.061467985821488,0.96453534155465,0.068903129863193,0.78507394912712,0.010422502541133,0.12362100778143
3.1e-05,97.307660311727,0.019879073335057,0.065129471916868,0.99357724791774,0.071524807527586,0.81180318177994,0.010811344735982,0.12464532166563
3.15e-05,97.414247199746,0.020710058717256,0.06886587940335,1.0235046824131,0.074023322158063,0.83873928275693,0.011212339524124,0.12653791841454
3.2e-05,98.527768464429,0.021705133234264,0.073143959368829,1.0545786923063,0.076526625252998,0.86585534856811,0.011622974859113,0.1291462793093
3.25e-05,99.170702270808,0.022517932290376,0.077869631518505,1.0862126065827,0.079209945650618,0.89338541386305,0.012039378897197,0.13138428907888
3.3e-05,98.593121366911,0.023009736148925,0.083436172393554,1.1177358005577,0.082150671498152,0.92213542519141,0.012460493325887,0.132088047194
3.35e-05,97.32026013099,0.023400833791874,0.09045590842967,1.1491448600532,0.085481717621575,0.95299745147776,0.012890233220765,0.13079987927876
3.375e-05,96.577456544198,0.023671645197791,0.094869051304398,1.1649911485364,0.087336379690402,0.97839402865627,0.013110240355371,0.12946811346263
3.4e-05,96.386070604364,0.024065675348862,0.099416301341387,1.1810905961299,0.08924209410625,0.99583539959375,0.013335252803061,0.12793609825648
3.425e-05,96.585900488118,0.024595195504175,0.10401680445462,1.1975570639348,0.091176481439437,1.0137983856069,0.013566146089794,0.12628063665037
3.4375e-05,96.876677144981,0.024906014396963,0.10664950079101,1.2059423083262,0.092155902479748,1.0277772672864,0.013683963841147,0.12545293278813
3.4625e-05,97.405084477269,0.025579510197412,0.11265619347609,1.2230624792949,0.09416741947117,1.0414412243011,0.01392455270785,0.12389824775467
3.5125e-05,98.254689144618,0.026973537615193,0.12298466872713,1.2586197118863,0.098297293672437,1.0686646396157,0.014424870332648,0.12121171422608
3.5375e-05,98.671940745012,0.027666212982646,0.1305640073575,1.2769347494937,0.10054569537871,1.0972942957001,0.014684133132144,0.12015823066133
