time,EW,EW_br,FE,FE_br,Fy_top,J,KE,KE_br,PEW,SE,SE_br,max_disp_y,preset_ext_power,preset_ext_work_p
39.75,1.6608467405871,-0.0062666088993579,0.11562402798652,0.048420299275736,99.576314010342,0.037695945021598,1.4765858914154,0.0078628423456771,1.6836301935242,0.087370457665166,0.0036911051812454,0.019297382572341,0.0878628440256,1.8883790610601
40,1.6803796545382,-0.0062328616795032,0.11672002060557,0.048760664434389,99.22631044572,0.03822222518793,1.4973413736947,0.007865681650764,1.7032495205123,0.085311197467663,0.0035684624924261,0.019550035063051,0.088183862390901,1.9103848993622
40.25,1.6998470383804,-0.0061977102788002,0.11781254092059,0.049083220323423,98.794702002184,0.038710170800259,1.5180048777028,0.0077197916157589,1.7229637861678,0.083430595510599,0.0034658395059207,0.019800765004275,0.088713413306961,1.9324970588244
40.5,1.7193031899987,-0.0061704936929763,0.11892387719054,0.04938099620119,98.384993861702,0.03921946995092,1.538675057346,0.0075525538299289,1.7428170100732,0.081665654710507,0.0033664313259218,0.020050977821438,0.089419815310862,1.9547637124017
40.75,1.7388430532521,-0.006141860360123,0.12007554696793,0.049653059191921,97.995104112457,0.039735616455442,1.559314916919,0.0072634246409251,1.7628492779041,0.079990253629187,0.0032940788135327,0.020302608702549,0.090176713410211,1.9772132784918
41,1.7585337356535,-0.0060920855158108,0.12126571112318,0.049894245833297,97.48414770011,0.040160538515175,1.580017588479,0.0069337884950515,1.7831015257622,0.078441170311388,0.0032305027187936,0.020557736404359,0.090932253590478,1.9998518993669
41.25,1.7783840424354,-0.0060153300092548,0.12249368558816,0.050105347985316,96.674984007056,0.040399717979433,1.6007600733047,0.0066204535643335,1.8036325385725,0.077135643499798,0.0031811013991374,0.020818259347004,0.091805209606916,2.0226940822666
41.5,1.7983822036358,-0.0059402032007473,0.12375289308705,0.050294954771932,95.515366742265,0.040467775926138,1.6215439884854,0.006395794768469,1.8245346407451,0.076118183496325,0.0031156788977935,0.021086114897528,0.0929804928626,2.0457922950752
41.75,1.8185616061047,-0.0059110044184689,0.12504054647834,0.050470929952248,94.144772608496,0.040497366074435,1.6423837555774,0.0062203629681639,1.8465908173297,0.075422981470618,0.003069625703937,0.021387964893915,0.094586522082221,2.0692381719433
42,1.8390269617882,-0.0059392164858921,0.12634766916298,0.050629492615893,92.798421087831,0.04063294201206,1.6634508000026,0.0061113387670693,1.8699793569629,0.075038177856809,0.0030355704226979,0.021684462156434,0.096587218646452,2.0931348895344
42.25,1.8599237178917,-0.0059952058904487,0.12767442210846,0.050774823323902,91.662958938522,0.040930970594407,1.6848983424559,0.0060835675524492,1.8940891428401,0.074982091738155,0.0030029143289655,0.021975610601446,0.098930411831286,2.1175745933441
42.5,1.8813996762286,-0.0060553492497643,0.12901966877958,0.050910543747554,90.849894828148,0.04138414012946,1.7067962993462,0.0061228299621559,1.9189269810724,0.075271574908995,0.002963015003289,0.022262333596262,0.10156628908286,2.1426366809584
42.75,1.9036051565171,-0.006126989188696,0.13038011156525,0.051036289199715,90.485414175055,0.042023107704268,1.7292015252695,0.0062245931155813,1.9444864999344,0.07597937156189,0.0029648918496176,0.022554744891819,0.10444593908434,2.1683882094793
43,1.9267172584304,-0.0062165965121173,0.13176318073663,0.051160387759627,90.758703637905,0.0429515403502,1.7521919112983,0.0064483426804918,1.9707607060929,0.077126526588542,0.0029666750519825,0.022876434048584,0.10750223256804,2.1948817309359
43.25,1.9509373166677,-0.0063128451871325,0.13317623675142,0.051288463582678,91.843219268158,0.044272876786013,1.7755518219541,0.0066734631635783,1.9977317245327,0.07881802554001,0.0029613854385476,0.023207163425325,0.11033627299055,2.2221115441307
43.5,1.9764349624079,-0.006412543433073,0.13462718939444,0.051428435412795,93.773702783306,0.046001606778348,1.7991519876216,0.0069643168727197,2.02531235492,0.08113803320806,0.0029601753909884,0.023546030270155,0.11252866609079,2.2499696615158
43.75,2.0032614658842,-0.0065204230198535,0.13611732148237,0.051585949356797,96.381237971931,0.048035763267268,1.8227967600577,0.0072818651242333,2.0533066546281,0.083973251417766,0.002929122589127,0.023891117391104,0.11384942954685,2.2782669234706
44,2.0312765338562,-0.0066275726858586,0.13763327558718,0.051753989789117,99.292062681893,0.050175596723416,1.8464454190402,0.0076079021491654,2.081523367133,0.087065393066374,0.0029083917652086,0.024239373992341,0.11414237251254,2.306765898728
44.25,2.0601236825446,-0.0067260014560159,0.13916325417065,0.051928871171929,101.96736587789,0.052154656062449,1.870184612945,0.007934737037402,2.1097424797476,0.089915091585476,0.0028671315038972,0.024586941517805,0.11347340542602,2.3352178709703
44.5,2.089277501674,-0.0068268301621449,0.140705666326,0.05210960641697,103.80309106368,0.053688471909527,1.8943020182362,0.0083634668360441,2.1377254573535,0.092024756072853,0.0027967617298439,0.024929871343536,0.11212058993804,2.3634171203908
44.75,2.1181639417513,-0.0069428873794749,0.14225823193684,0.052296604465598,104.3037295393,0.054554200818686,1.9189529437758,0.0088864996570075,2.1653649554348,0.093150044441654,0.0026921612938585,0.025264979877554,0.11056698783883,2.3912530676129
45,2.1463184940688,-0.0070706115837994,0.14381600948646,0.052487601749637,103.2875023209,0.054689715933588,1.9440797545727,0.0094111319067749,2.1926736624644,0.093434529162912,0.0025835813854739,0.025590520282169,0.10934761356385,2.4187423927882
45.25,2.173523351902,-0.0071846790505604,0.14538227834167,0.052678002999666,101.03453089203,0.054272473300898,1.9694316599991,0.009802382415068,2.2197827003712,0.09329943696898,0.002513888026092,0.025906438213248,0.10889846989722,2.4460231532209
45.5,2.1998674939856,-0.0072575673822076,0.14695331718137,0.052856616034028,98.267596949319,0.05370455542722,1.9949092400896,0.010122094795744,2.2469000296508,0.093070831243482,0.0024423610122368,0.026214159633729,0.10941606233145,2.4733124697495
45.75,2.2257052490508,-0.0073019850984695,0.14853271763895,0.053019855070473,95.895023389315,0.053445314392331,2.0204760884369,0.010373312017988,2.2742387353853,0.092965649793399,0.0023979005264652,0.026516037637213,0.11081138877962,2.5008409011384
46,2.2515363838261,-0.0073566808401417,0.15012525976569,0.053166544277929,94.610495102408,0.053769514001933,2.0462704459909,0.010575198980047,2.3019448683855,0.092989035286915,0.0023644283557511,0.026814684845102,0.11270617703626,2.5287805968653
46.25,2.2778626976401,-0.0074422989860362,0.15173734458397,0.053296698258176,94.622872622018,0.054661676851596,2.0724498857786,0.010762394713534,2.3300590240876,0.093162651264764,0.0023383313402437,0.027112408839737,0.1145718378514,2.5571903487263
