time,DJ,DJ1,DJ1_br,DJ2,DJ2_br,DJ_br,EW,EW_br,FE,FE_br,Fy,J,KE,KE_br,PEW,SE,SE_br,ce_int,max_disp_y
10,0.002223816824568,0.00013681922726375,-1.5630064188009e-07,0.0020869975973043,4.0706044172278e-08,-1.1559459770781e-07,0.21376179342617,8.1551607149379e-06,0.0091885653124283,0,100.10390428812,0.0021439435727314,0.099268353914735,1.1483026090077e-06,0.2145244391294,0.1116315898637,0.0014019758603874,0,0.0011445963146579
10.25,0.0023033174055081,0.00013109181309216,-1.4081717592354e-07,0.002172225592416,7.9796627208393e-08,-6.1020548715143e-08,0.21907843644176,8.0538052843542e-06,0.010390051901461,0,99.973820497792,0.0022457127459256,0.10151260451748,1.8248589285662e-06,0.21993230873976,0.11449321189212,0.001394736763033,0,0.0011795423338321
10.5,0.0023888095527465,0.00011927913667085,-8.5787696115511e-08,0.0022695304160757,9.8393267507726e-08,1.2605571392215e-08,0.22418705598996,7.9576725617465e-06,0.01172203059931,0,99.811813212996,0.0023431450674614,0.10411374602409,2.6308183930635e-06,0.22534782337451,0.11679069483138,0.0013772467808419,0,0.0012200239136162
10.75,0.0024379597043414,0.00010522602806983,-3.4547319279139e-08,0.0023327336762716,1.2943234200031e-07,9.4885022721175e-08,0.22890678465554,7.8806207235167e-06,0.01314319734958,0,99.709874715174,0.0024397786783407,0.10749461782355,3.3749923299132e-06,0.23078647991857,0.11803711484046,0.0013589648317123,0,0.0012689758103336
11,0.0024678543074942,9.6285349622792e-05,9.9501989017994e-09,0.0023715689578714,1.4759867003041e-07,1.5754886893221e-07,0.23308656710603,7.7903481889557e-06,0.014637350040609,0,99.831619612904,0.002543364672948,0.11214224364073,4.10453917881e-06,0.23625323459026,0.11780948664694,0.0013467986609253,0,0.0013293573706416
11.25,0.0024864509382525,0.00010173221014178,-3.1275386875549e-08,0.0023847187281107,1.626758025506e-07,1.3140041567505e-07,0.23684244287516,7.6563667498854e-06,0.01622470681709,0,100.25455827166,0.0026634054709411,0.11821082625477,5.000834094476e-06,0.24172612889164,0.11623793282903,0.0013377942370143,0,0.0014030147259243
11.5,0.0025032459919927,0.00012769516893611,-2.1641644504871e-07,0.0023755508230566,2.5938424008401e-07,4.2967795035306e-08,0.24074057245966,7.4536062277298e-06,0.01793967453247,0,100.83237584221,0.0028047622694912,0.12512231380617,6.3348052149177e-06,0.24715515950883,0.11423421001123,0.0013269177695979,0,0.0014893805892357
11.75,0.0025263747386424,0.00016959115813918,-5.742430079051e-07,0.0023567835805032,5.4833852168813e-07,-2.5904486216969e-08,0.24552670958378,7.1751977463572e-06,0.019801282774465,0,101.25927156023,0.0029611928013955,0.13181852852876,8.3049858006814e-06,0.25248370098126,0.11277987940876,0.0013143241107069,0,0.0015847743605382
12,0.0025474598826377,0.00020703932620441,-1.1703300874803e-06,0.0023404205564333,1.1261601453549e-06,-4.4169942125409e-08,0.25141869956827,6.832797672348e-06,0.021787931495712,0,101.22127541455,0.003112554121684,0.13779113478878,1.0901895694914e-05,0.25768088344949,0.11178768408493,0.0013031771172457,0,0.0016831098985035
12.25,0.0025357631750154,0.00021089623541914,-1.9866925504011e-06,0.0023248669395963,1.963407280259e-06,-2.328527014207e-08,0.25779537318307,6.4504195186148e-06,0.023849388921667,0,100.59890293552,0.0032307855892991,0.14363259611892,1.3941311160006e-05,0.26276912229008,0.11030859393832,0.0012947989902036,0,0.0017781901512831
12.5,0.0024672538585429,0.00016741518349131,-2.8443541150765e-06,0.0022998386750516,2.8381222454409e-06,-6.2318696356359e-09,0.26381972973107,6.0538387219335e-06,0.02596342999886,0,99.677377052521,0.0033006473878781,0.15005303906642,1.7235534696961e-05,0.26782510414062,0.10810686381786,0.001288489533005,0,0.0018665683530548
12.75,0.0023630327319214,9.9446785092853e-05,-3.5179712685746e-06,0.0022635859468285,3.4873259915979e-06,-3.0645276976767e-08,0.26915090188164,5.6560656771831e-06,0.028146529996439,0,99.089020311022,0.0033424450990306,0.15683163144888,2.0684174816908e-05,0.27293778440212,0.10591949452751,0.0012836575073196,0,0.0019490855559123
13,0.002276179887001,5.4489260168336e-05,-3.8623646288001e-06,0.0022216906268327,3.7950543935238e-06,-6.7310235276352e-08,0.27390720866655,5.2475206008804e-06,0.030407562853949,0,99.350814370554,0.003404831732064,0.16347402720271,2.424424076471e-05,0.27814252904136,0.10401471687427,0.0012800085116599,0,0.0020297209126144
13.25,0.002238968467207,6.4226960377396e-05,-3.8638257947857e-06,0.0021747415068296,3.7997901580027e-06,-6.4035636783022e-08,0.27841473597142,4.8008098308077e-06,0.032746728552479,0,100.3310480018,0.0035222130616848,0.17008885396369,2.7936810289751e-05,0.28338558582152,0.10198658896343,0.0012768377419295,0,0.0021123314689873
