time,DJ1,DJ2,DJint,EW,FE,Fy,J,KE,PEW,SE,max_disp_y
2.75,-1.2394012294755e-05,1.6642926705203e-05,4.2489144104478e-06,0.056299389624819,0,100.41112782944,2.5916936132421e-07,0.026650073319947,0.057553078477653,0.028157244559623,0.00030984726441737
3,-1.2997179466255e-05,1.4150171366011e-05,1.1529918997564e-06,0.061722653662138,0,100.21435075235,-1.6320498598426e-08,0.029350438245534,0.062907910392447,0.030823390905512,0.00033784509075307
3.25,-4.7974695089058e-06,3.3814957640706e-06,-1.4159737448352e-06,0.067091319051335,0,99.707193762372,2.8669184856848e-07,0.032053484905593,0.068230950351493,0.033457203971579,0.0003667475253382
3.5,-1.439031674853e-06,3.6248283615799e-08,-1.4027833912372e-06,0.072463697131698,0,99.756838948189,-2.9062294065822e-06,0.034760513797565,0.073574046835059,0.036109120509715,0.00039511611716262
3.75,-4.3284336780395e-06,7.5836338327305e-06,3.255200154691e-06,0.077876275326586,0,100.15832920718,-3.4610742651839e-06,0.037470593200195,0.078944725966841,0.038787861793831,0.00042432600785607
4,-9.7065822787415e-06,1.5980672053986e-05,6.2740897752446e-06,0.083294114689312,0,100.15956731392,-1.0179789032562e-06,0.040184091316992,0.084309547999564,0.041457169084318,0.00045238848758038
4.25,-1.1915001308626e-05,1.5455282563689e-05,3.5402812550633e-06,0.088693246031431,0,99.838116002462,4.2917732077393e-07,0.042901247154461,0.089662053879344,0.044111763003395,0.00048117963289109
4.5,-8.1777292858689e-06,8.2830565602073e-06,1.0532727433832e-07,0.094093272129864,0,99.806777328592,1.1132371895965e-06,0.045620343506587,0.095021325070839,0.046774064093085,0.00050943634354329
4.75,-2.641595289278e-06,2.8162574408405e-06,1.7466215156252e-07,0.099506942282994,0,100.04332947199,7.0332849168035e-07,0.048338957859911,0.10039059159993,0.049449489124114,0.00053853795510684
5,1.9732316353462e-06,3.8569312062416e-06,5.8301628415878e-06,0.10492220460256,0,100.07233358772,2.3024998406808e-06,0.051053963650463,0.10575992434173,0.052130929719074,0.00056710367089348
5.25,1.0911641916631e-05,1.4101493744943e-05,2.5013135661574e-05,0.11033639828419,0,99.899987896638,1.9683460961188e-05,0.0537635373543,0.11113144940852,0.054820112355284,0.0005955938681716
5.5,3.0750261255342e-05,4.4387900785409e-05,7.5138162040751e-05,0.11576068572924,0,99.878189611367,7.798186906532e-05,0.056475221200501,0.1165123700475,0.057507267573034,0.00062481666537109
5.75,5.5813359920455e-05,0.00011831690296819,0.00017413026288864,0.1211927600682,4.2953744312881e-07,100.00847817,0.00018949164559155,0.059215632766592,0.12189775532789,0.060158228265819,0.00065312609139896
6,7.2368198733746e-05,0.00025939651927287,0.00033176471800661,0.12662143981155,1.7141302835246e-05,100.05100167656,0.00033256350408742,0.061963036732352,0.1272808239508,0.062849557452998,0.00068168971021931
6.25,7.6887290213268e-05,0.00046015972485522,0.00053704701506849,0.13204850844592,0.00016240805607778,99.98251187459,0.00047049777531068,0.064583174675761,0.13266546733798,0.065735248988286,0.00071055728770168
6.5,8.0786331329254e-05,0.00067875561238597,0.00075954194371522,0.13748291140837,0.00047627073476928,99.938672789236,0.00059197494481864,0.067047692986784,0.13805657168701,0.068691518297755,0.00073858973291571
6.75,8.8693128514384e-05,0.0008686722639027,0.00095736539241708,0.14292374472107,0.000753451553896,99.958090224237,0.00070922845961726,0.06957207068539,0.14345140280756,0.07148416767839,0.00076685254156214
7,9.1486925293618e-05,0.00099902281368499,0.0010905097389786,0.14836470951397,0.000925882899583,99.982982341957,0.0008239123598172,0.072173990845883,0.1488466125732,0.074335613430822,0.00079573046741637
7.25,8.8611107592086e-05,0.0010701421744521,0.0011587532820442,0.15380567941838,0.0011074450627599,99.9789360494,0.00093082934158899,0.074611484363399,0.15424377437964,0.077410083498509,0.00082437801725776
7.5,8.7759664589839e-05,0.0011249287273721,0.0012126883919619,0.15925043088548,0.0014538372212485,99.963879526168,0.0010363290174453,0.076979447483399,0.15964502917257,0.08039182994078,0.00085307505388712
7.75,8.6978868529626e-05,0.0012168612080455,0.0013038400765752,0.16469999992307,0.0020423030763112,99.962039418319,0.0011444439020425,0.079423411155257,0.16504999776155,0.083335495386453,0.00088187409882381
8,8.3721620736626e-05,0.0013642468998786,0.0014479685206152,0.17015319417634,0.0027674367231531,99.973639621332,0.0012532616245899,0.081774644954862,0.1704581401076,0.086421680668942,0.00091065815580953
8.25,8.1344476872618e-05,0.0015315870561829,0.0016129315330555,0.17560902430129,0.0034274847428069,99.981980529012,0.0013635786505904,0.084064998368545,0.17586933235801,0.089478632081486,0.00093899806037097
8.5,8.3307864937822e-05,0.0016695162607992,0.0017528241257371,0.18106542366276,0.0039800753296895,99.967622212495,0.001475598560338,0.086368508551157,0.18128211894825,0.092576570475394,0.00096753427355841
8.75,9.1392914588713e-05,0.0017614261352964,0.0018528190498851,0.18651937800198,0.0045558956908062,99.918063700766,0.0015887681750255,0.08860237937818,0.18669461146134,0.095746222302677,0.00099612865288633
9,0.00010292389122489,0.0018343890559883,0.0019373129472132,0.19196760855707,0.0052706956682965,99.822354492068,0.0017009171779601,0.090807254274286,0.19210595408886,0.098891796308466,0.0010248751848806
9.25,0.00011550735585166,0.0019231817466664,0.002038689102518,0.19740302272154,0.0061172761133487,99.636013110434,0.0018122353240972,0.092986661419565,0.19751486858759,0.10206469457798,0.0010539178539775
