time,EW,EW_br,FE,FE_br,Fy,J,KE,KE_br,PEW,SE,SE_br,max_disp_y
14,0.29344626910146,4.4017603928366e-05,0.031919939952082,0,100.24323314003,0.0039438420126424,0.18685340733233,9.5689461424813e-05,0.2984129838962,0.10190912534092,0.0029619790941133,0.0023665338646315
14.25,0.29862073903731,3.6042068377167e-05,0.033398116779089,0,100.19757775607,0.0040398865979074,0.19312043701137,0.00010818035695762,0.30340785449365,0.10008754705005,0.0029271956586791,0.0024458015467975
14.5,0.30352163015411,2.5885446342733e-05,0.034793700606086,0,100.17427260309,0.0041408954904344,0.19933949054319,0.00012228999859784,0.30838423385446,0.09825744556401,0.0028612844043535,0.0025229931160798
14.75,0.30836287815683,1.0368316197793e-05,0.036098986098895,0,100.19043981953,0.0042704216210474,0.20552576549399,0.00013949491957589,0.31334279030851,0.096387676354994,0.0027396789408355,0.0026005966004153
15,0.31336439024546,-1.7402884772481e-05,0.037299290211535,0,100.22223996912,0.0044136901541872,0.21169656397383,0.000163424143974,0.31828055399667,0.094526407618033,0.0025333132599575,0.0026798748724548
15.25,0.31849393859605,-6.7298561886445e-05,0.038360019833244,0,100.23071685182,0.0045379609800614,0.21783285691344,0.00020117831118626,0.32319441015194,0.092698828178409,0.0022180582889721,0.0027605335852465
15.5,0.32355952927673,-0.00014538262399506,0.039240299617078,0,100.20185592826,0.0046370980864023,0.22394439629276,0.00026250130590079,0.32808470802909,0.090895095045597,0.0017914485475182,0.0028418068278876
15.75,0.32847719516259,-0.00024133014272904,0.039933695502684,0,100.16132080438,0.0047437452623116,0.23004129552027,0.00035321623130915,0.33295532330519,0.089115767976171,0.0012899639679122,0.0029233414038721
16,0.3333305649182,-0.00032020390781397,0.040500242017368,0,100.14306566861,0.0048943038512729,0.23612880037564,0.0004624341863239,0.3378101549666,0.087351469070365,0.00079210073927187,0.0030050912805207
16.25,0.33822218073954,-0.00033587618493264,0.041058583494553,0,100.14823434035,0.0050939461175759,0.24221388647246,0.00055379185504521,0.34265031255044,0.085597384034884,0.000394191996988,0.0030868772646795
16.5,0.34314736656694,-0.0002705206724429,0.041775980127817,0,100.15031150935,0.0053229108802423,0.24829160753104,0.0005807961988132,0.34747520137217,0.083851366961751,0.0001616948559034,0.0031683946889504
16.75,0.3480412169503,-0.00016685331760845,0.042789674878781,0,100.13492307679,0.0055628126599172,0.25435933151022,0.00053150757081595,0.35228527277423,0.082102441150494,8.5496256219545e-05,0.0032495179219279
17,0.35288495539346,-0.00010325819621286,0.044076111671813,0,100.11390697138,0.0058027436239407,0.26042892689406,0.00046267991127529,0.35708252304735,0.08033067597633,8.7349207422927e-05,0.0033303501950934
17.25,0.35771251895983,-0.00011997460641241,0.045471345445113,0,100.10102325031,0.0060312126506154,0.26653341365414,0.00046365519697314,0.36186881516461,0.078499467420325,8.7258562421698e-05,0.0034110116293731
17.5,0.36254594312727,-0.00018066361983638,0.046824990080585,0,100.09258532582,0.0062417578220081,0.27271286225174,0.00056258125841658,0.36664495573802,0.076575603685397,7.4307711780547e-05,0.003491571805736
17.75,0.36737180339735,-0.00022325681270898,0.04809161086539,0,100.07670248194,0.0064431021433646,0.27898043460784,0.00068954660703647,0.37141160848852,0.07455382958712,9.3582424010399e-05,0.0035721969566587
18,0.37217639049231,-0.00023352842266725,0.049245556461262,0,100.04892047157,0.0066484858384057,0.2853127576133,0.00076633463647343,0.37617050460341,0.072472488720229,0.00015766672555797,0.0036531848515906
18.25,0.37696795878305,-0.00024317371718679,0.050266742768224,0,100.01098191352,0.0068585189269885,0.29165667520151,0.00080524763421099,0.38092470757067,0.070392393970618,0.0002131027565218,0.0037347654430817
18.5,0.38175936069523,-0.0002698088605337,0.051181175099032,0,99.959592362771,0.0070662525495051,0.29795500152664,0.00086534174624725,0.38567850116592,0.068371176828549,0.00021999366972038,0.0038169418647961
18.75,0.38655246619224,-0.00029423787236835,0.052009929072018,0,99.881621185864,0.0072700674125017,0.30418832599758,0.0009421031186638,0.39043795590392,0.066455425443973,0.00020872817645606,0.0038995795689638
19,0.39134863893574,-0.00029366364931543,0.052987960220326,0,99.754696417732,0.0074689284345516,0.31035998890694,0.00097667649992335,0.39521245925997,0.064551466126477,0.00021935624676425,0.0039825897364572
19.25,0.39616190236715,-0.00026652884631254,0.054107627425258,0,99.543620831574,0.007655967510938,0.31634416958088,0.00095043104982119,0.40001728549227,0.062997219871284,0.00024929501791597,0.0040659797541589
19.5,0.40101674082396,-0.00022308865240792,0.05520510116103,0,99.194894660779,0.0078265219728275,0.32217581045544,0.00089494774157378,0.40487772451206,0.061621687101878,0.00029155855854023,0.0041497945362915
19.75,0.40594403334092,-0.00017401073325637,0.05630304256843,0,98.636524286621,0.0079814842685392,0.32797010134356,0.0008323971307383,0.40983513687546,0.060444344144761,0.00035459436053797,0.004234114358197
20,0.41098814808424,-0.00012841199190025,0.057469406661382,0,97.780462677129,0.0081201999153762,0.333647317981,0.00076363206602326,0.41495474259047,0.059536374083167,0.00043374728923507,0.0043191551049792
20.25,0.41621831864687,-8.9883076004038e-05,0.058682202617409,0,96.526353933422,0.0082396015075335,0.33932322015276,0.00068816464568172,0.42033491570904,0.058769443132299,0.00051646952346028,0.0044053881339038
20.5,0.42173458636222,-5.7547526171904e-05,0.059952297146071,0,94.781386623757,0.0083363763539642,0.34516739027804,0.00060523029453099,0.42611735676249,0.058166221794193,0.00059663029074604,0.0044936220306308
20.75,0.42766804779687,-3.0811447382288e-05,0.061278980337807,0,92.514095123815,0.0084060986131664,0.35129066421907,0.00051702713987271,0.43249518861289,0.057799498026979,0.00066088112657533,0.0045850522629894
21,0.43417868293482,-7.9696154779727e-06,0.062617340737736,0,89.841347780824,0.0084503049473543,0.35789068027413,0.00043271020334796,0.439712340161,0.057681126873968,0.00069413415635109,0.0046812704783343
21.25,0.44145360364108,1.3206533679534e-05,0.06396712289743,0,87.12286861019,0.0084907606060827,0.36518925152006,0.00035784986797977,0.44804485222622,0.057877583060134,0.00069604629675172,0.0047841759614912
21.5,0.44970983914346,3.4548145379274e-05,0.065303632593215,0,85.009136347985,0.0085786883386281,0.37339195307453,0.00029142366105278,0.45775544306854,0.058462605170831,0.00067540590471523,0.0048957242974351
21.75,0.45920157782123,5.8499070254509e-05,0.066659312609921,0,84.361116106038,0.0087905021499295,0.38259035931231,0.00023296097892412,0.46901973960639,0.059635578002714,0.00064318800090077,0.0050174952082234
22,0.47020781576763,8.4335896056599e-05,0.068057537568386,0,85.977582419797,0.0091999603152163,0.39257592460566,0.00018378637594847,0.48183799084342,0.061778165164709,0.00061002376925903,0.0051501476855211
22.25,0.48294431436269,0.00010756947402008,0.069514107034415,0,90.170073329176,0.0098292414144822,0.40283098061331,0.00014509432206624,0.4959655836618,0.065263119321449,0.00058162124062006,0.0052929313326662
22.5,0.49737045156282,0.000125195980277,0.071007805323465,0,96.374600090087,0.010607822925129,0.41278978659804,0.00011698565072921,0.51090643263556,0.070063393597639,0.0005597988470161,0.0054434852011282
22.75,0.51299105941695,0.00013720637927934,0.07253990616476,0,103.06360352245,0.01137309708377,0.42226943878742,9.8133825661097e-05,0.52600133095973,0.075399515299924,0.00054539439124291,0.0055981230027311
23,0.52887314233256,0.0001450396116909,0.074130144420103,0,108.13626744212,0.011924005626678,0.43167372309356,8.6433197512753e-05,0.54060586065155,0.079990759961651,0.00053835485496248,0.005752656657338
23.25,0.54399945908167,0.00015021951567849,0.075782009373172,0,109.74327449473,0.012110075113913,0.44159330623543,7.9629771887651e-05,0.55430319155111,0.082943141337283,0.00053711371151618,0.005903572559488
23.5,0.55776338998587,0.00015329391468202,0.077523726229085,0,107.23469754307,0.011919645478745,0.4521375674886,7.604971284002e-05,0.56706084436811,0.084431601821872,0.00053938724526579,0.006049128564558
23.75,0.57022263703757,0.00015435198723073,0.079311100800085,0,101.72392987895,0.011520000662963,0.46278499884829,7.4921078204986e-05,0.57924301158253,0.085536983063606,0.00054487059242085,0.0061898386678417
24,0.58196293804363,0.00015382171096251,0.081079321185069,0,95.797299589568,0.011205386979021,0.47312393235833,7.5821299252067e-05,0.59144529930066,0.087010695797416,0.00055691458307184,0.0063280051356597
24.25,0.59378352522561,0.00015261193128168,0.082851941914323,0,92.299096272259,0.01125220782942,0.4833596412354,7.8363621063166e-05,0.60421221437743,0.088939947917119,0.00058121317183895,0.0064664304042173
24.5,0.60640133206413,0.0001515358160735,0.084625485461151,0,92.760112372501,0.011754223707215,0.49383432585033,8.2410018829309e-05,0.61777869707005,0.091362461082453,0.00062312947622599,0.0066069475216359
24.75,0.62015218212786,0.00015009957776434,0.086443824636398,0,96.458228861034,0.012550913629919,0.50448256137142,8.8230327680072e-05,0.63198291285927,0.094387948485215,0.00068662580348308,0.0067495989792369
25,0.63477790806968,0.00014607917500286,0.088461155507604,0,100.85072037539,0.013315807525208,0.51505189219585,9.6428394206145e-05,0.64640495672952,0.09774636641362,0.00077668525963692,0.0068929657709539
25.25,0.64958834469881,0.00016045006162265,0.090731366718508,0,103.22744630962,0.013761737128955,0.52556686206024,0.00010793199814807,0.66064422498878,0.10083538381338,0.00090130186242292,0.0070354355570755
25.5,0.66397567259948,0.00018592798844421,0.093216821757214,0,102.50143615245,0.013829245088765,0.53620302310603,0.00012402612378771,0.67455440158558,0.10337874659647,0.0010738222348973,0.0071765531677906
25.75,0.67781453699817,0.00020414055621808,0.095998916580964,0,99.833495706759,0.013722043793659,0.54698674507829,0.0001460425670546,0.6882840114827,0.10557993448913,0.0013145428558154,0.0073175083273786
26,0.69143481169714,0.00022012334131625,0.099152973782759,0,97.586983825813,0.013751330765471,0.5578841888735,0.00017522413832865,0.70211076854823,0.10771142191131,0.0016461273003003,0.0074604185121151
26.25,0.70529526057413,0.00019334190263545,0.1027462077673,0,97.423217412733,0.014095625783112,0.56892511392253,0.0002092367852782,0.71620879573024,0.1098798726421,0.002089507691101,0.0076069532383378
26.5,0.71962473901683,0.00019677945383525,0.10682368275102,9.6923121041213e-06,99.097687618968,0.014667359225563,0.58014048875038,0.00024060457758353,0.73053029679042,0.11201967831242,0.0026598180778418,0.0077573342696147
26.75,0.73426717647237,0.00017007562494009,0.11133940588503,0.00017849347938183,100.93365574952,0.015206058812634,0.59154476826105,0.00025661925171422,0.74487958224786,0.11391130615484,0.0033347932110983,0.0079104294840126
27,0.74886340750213,0.00018253675978238,0.11612730204543,0.00082768565335451,101.44549627317,0.015519999364313,0.60317536477129,0.00024374712456819,0.75909379692192,0.11535188459336,0.0040556516789335,0.0080716298815105
27.25,0.76319270012707,0.00023310516731232,0.12082574469974,0.0021030493653846,100.5648637237,0.015651141841893,0.6150196612782,0.00020076511813005,0.77316440918937,0.11643029146001,0.0047415787281418,0.0082340659691908
27.5,0.77732680209245,0.00027823817878566,0.12506791948432,0.0038648887629524,99.413753181192,0.015806283794959,0.62699571817494,0.00014370326190688,0.78720548344906,0.11738523206341,0.0052997320584755,0.0083988326602781
27.75,0.79149322126219,0.00029691469560707,0.12860462470787,0.005808012450153,99.052415916454,0.016133864098001,0.63904044371666,0.0001009094365477,0.80132409170207,0.11839477035439,0.0056734755752692,0.0085651360048068
28,0.80583476408798,0.00028297784762967,0.13145759064736,0.0077632359662369,99.547077885245,0.016585076826557,0.65113773867091,9.4541914172531e-05,0.81552821064155,0.11950632236821,0.0058658181001062,0.0087314618801028
28.25,0.82029640417712,0.00025215000270942,0.13387068646355,0.0096989218057637,100.17065637403,0.016995202624988,0.66324637994628,0.0001191560013903,0.82974839233534,0.12066834377791,0.0059506462263315,0.0088966498477847
28.375,0.82752376496363,0.00023566841676529,0.1350217782943,0.010672171387157,100.36568517422,0.017146377102386,0.67260066463981,0.0001440892111767,0.83684346359331,0.12122952019255,0.0059814671554481,0.0089794699723498
28.625,0.84188081415911,0.00021685287733326,0.13751652959339,0.012781407311607,100.13236007412,0.017364697647058,0.68148252294889,0.00015272207613226,0.8509983011411,0.12228264018712,0.0061027696831824,0.0091445170368949
28.875,0.85611974524312,0.00020136538371208,0.14051086072346,0.015220432586474,99.744137782983,0.017570157481579,0.69367633043676,0.0001586780684787,0.86514948824699,0.12324216317439,0.0063493278516897,0.0093119305152946
29.125,0.87032174447431,0.00016404380425728,0.14411614722829,0.018121227773739,99.582929434069,0.017857722318008,0.70591888373556,0.00018691470073191,0.87935315546466,0.12423270598259,0.006749881186483,0.0094991085256401
29.375,0.88456422456682,0.000108728741004,0.14816212825255,0.021496252452161,99.705576529319,0.018238891109392,0.71815550529221,0.00026716110031949,0.89363224595078,0.12530084684887,0.0072971588297676,0.0096900231990565
29.625,0.89886650720378,5.6026791180178e-05,0.15239001320066,0.025294911673215,99.818182778224,0.018672917749625,0.73040982507876,0.0003923389411581,0.90797668469404,0.12638044250695,0.0079568507407495,0.0098833189560371
29.875,0.91320649808535,2.2043885253245e-05,0.15659532436741,0.029449250574445,99.656567177607,0.019114106964236,0.74271182340532,0.00053451754279614,0.92237066261601,0.1274530651128,0.008673603807492,0.010077779839297
30.125,0.92755570169279,-5.7288567900705e-06,0.16071684754814,0.033884361489659,99.242438489275,0.019515369492157,0.7550739182661,0.00068976404418472,0.93681181724554,0.12850633049128,0.0093759227924674,0.0102726382209
30.375,0.94189026469254,-5.1407470670758e-05,0.16478244954701,0.038530057986721,98.79322537526,0.019821952458868,0.767422420028,0.00089392608388399,0.95131241544448,0.12965302433734,0.010014511457578,0.010467617825584
30.625,0.95618821835543,-0.00012542906879071,0.16890698066874,0.043362472260264,98.474330509876,0.020002954441924,0.7797485774236,0.0011912185622845,0.96589733364128,0.13083085593232,0.010576384120656,0.010662761433278
30.875,0.97043319108444,-0.00020619307225809,0.17325830036427,0.048369528445652,98.287845691098,0.020094122257499,0.79210915286715,0.0016033926108663,0.98060650621227,0.13202104366882,0.011065484703286,0.010858257523966
31.125,0.9846239516219,-0.00025515167244535,0.17792733331417,0.053483494071506,98.150434936664,0.020183588029885,0.80465679199087,0.0021146031110936,0.99549152529556,0.13301361974934,0.011454681118336,0.0110544377448
31.375,0.99877244327133,-0.00025092200151077,0.18289325422639,0.05849857128768,97.992035603667,0.020334041975341,0.81756718624791,0.002651927375685,1.0105999872331,0.13373800224715,0.011715514101432,0.011251946086431
31.625,1.0128826068785,-0.00023903992713019,0.1880847398837,0.063285852172494,97.764935943598,0.020528122432226,0.83095434122723,0.0031237038644863,1.0259615002666,0.13410689658668,0.011889830749449,0.011451933426321
31.875,1.0269445942077,-0.00018939036934231,0.1935303270934,0.067927875892979,97.431117276563,0.02071578373971,0.84495948043517,0.0034908718406019,1.0415921479687,0.13401305846266,0.012061750003543,0.011656091512127
32.125,1.0409819014683,-0.00023416202724724,0.1991575204253,0.072616894790307,97.01037212843,0.020918393344202,0.85968868180957,0.0037482777835325,1.0575108279998,0.13339124263894,0.012266110981404,0.011866409437363
32.375,1.0551237297476,-0.00025906879882787,0.20487781594461,0.077521913860366,96.634895501685,0.02125755478846,0.87523592431899,0.0039209042987249,1.073743641862,0.13224214794465,0.01248584858153,0.012084676028136
32.625,1.0696308560857,-0.00023550329109467,0.2107123015334,0.082653464286276,96.507876924808,0.021860950684272,0.89145880582845,0.0040136545060486,1.0903073043744,0.13086887945019,0.012674818236837,0.012311899231429
32.875,1.084834328944,-0.00029426847092784,0.21656908408797,0.08793186485822,96.779255233619,0.02275473417665,0.90802166995035,0.0040875457087767,1.1071891402876,0.12964241104396,0.012826417760268,0.012547884015995
33.125,1.10101311077,-0.00033520147410242,0.22255605072516,0.09332179495934,97.451692230612,0.023857504517017,0.92448898756537,0.004159783111359,1.1243435335206,0.12895284853856,0.012988973450977,0.012791153750874
33.375,1.1182673251462,-0.0003695773138336,0.22845928624512,0.098696830475834,98.380565483358,0.025040801343045,0.94069956530841,0.0042827620180902,1.1417036746369,0.12861717890946,0.013058127786508,0.013039254837913
33.625,1.1364400588073,-0.00039975135778842,0.23443837211757,0.10417798227154,99.330252870389,0.026154973411255,0.95694711833596,0.0044776733788153,1.1591951992147,0.12823386492122,0.013082177616495,0.013289343658703
