time,Jint,external_work,fracture_energy,kinetic_energy,max_disp_y,preset_ext_power,preset_ext_work,preset_ext_work_p,strain_energy
1.8e-05,0.00635425208661,0.38867928456886,0.02094813552344,0.29184927887906,0.0036496076023212,37245.718839231,0.39273977331187,0.50439008528333,0.069704765805105
1.85e-05,0.0067992537357538,0.39964995362282,0.021540748640156,0.30565591424996,0.0038146988287983,38798.82561892,0.404087718499,0.52340122139787,0.066500001288168
1.9e-05,0.0072294201126071,0.41104899278432,0.02201339701307,0.31981664622282,0.0039836171663264,40037.909732194,0.41570203902357,0.54311040523565,0.063368764746071
1.95e-05,0.0076561247884307,0.42317883667274,0.022461358398383,0.3341378489037,0.0041547095519698,39901.965696231,0.42767781199213,0.56309537409276,0.060611440552571
2e-05,0.0080760735087281,0.43576428955728,0.022972654338304,0.34835976115876,0.0043269146932596,39486.516119929,0.44013417141459,0.5829424945468,0.058496171902539
2.05e-05,0.0084765241415902,0.44868126930316,0.023584480916518,0.36227138371611,0.0045031266422223,40001.128186362,0.45328848551533,0.60281440562337,0.057350984726567
2.1e-05,0.0088573251809214,0.46236441745277,0.024266445994235,0.37600778682921,0.0046880383040368,41248.495482027,0.46750859942633,0.62312681154047,0.057137381591642
2.15e-05,0.0092367926478636,0.47747302218656,0.024989321326308,0.39022237927043,0.0048848265135381,42422.606562363,0.48329852928914,0.64404458705156,0.057572976305404
2.2e-05,0.0096251656284087,0.49445996863864,0.025768418394148,0.40570530532942,0.005095833110263,43519.605861602,0.50125185740025,0.66553014015756,0.058497601864474
2.25e-05,0.010021538473934,0.51365189429896,0.026662376347857,0.42309455150656,0.0053259811462437,45735.542385996,0.52197712435385,0.68784392721946,0.059938075499258
2.3e-05,0.010464196369188,0.53552582598447,0.02772702577724,0.44275996450486,0.0055912103197724,51640.788154192,0.54594245331176,0.7121880098545,0.062123727599238
2.35e-05,0.011018356967809,0.56060247901474,0.028984151183804,0.46454166721396,0.0058781170015113,58243.304792112,0.57324484671756,0.73965903309108,0.065670368328659
2.4e-05,0.011696022878712,0.58904922349683,0.030396078347086,0.48753822216339,0.006180613571833,63267.927145275,0.60341685611984,0.77003684107543,0.071353169596866
2.45e-05,0.012455046166288,0.62038413017345,0.031897407341735,0.51062922119687,0.0064906901813549,65604.49936177,0.63540268776561,0.80225494770219,0.079105269453362
2.5e-05,0.013227603922026,0.65340364830929,0.033460667321106,0.5334024571376,0.0068047679202617,64843.175065001,0.66777597932921,0.83486686630888,0.087364421856739
2.55e-05,0.013894496973031,0.6863845804938,0.035107021389555,0.55643780368442,0.00712316047431,61682.043675392,0.6991866806869,0.86649817099398,0.09384308247201
2.6e-05,0.014330682273501,0.71774604421466,0.036870065538352,0.58040701871919,0.0074286385892696,57893.378794711,0.72889674211529,0.8963920266115,0.097473143240447
2.65e-05,0.014530481875252,0.74691258087772,0.038755319455187,0.60498108628755,0.0077213927582685,55608.577415108,0.75712740838529,0.92476751566396,0.099346218691327
2.7e-05,0.01465552055465,0.7746219011058,0.040777635007405,0.62938357717813,0.0080092547241544,56167.858431748,0.78494717541058,0.95271162462567,0.10105427395303
2.75e-05,0.014955326972826,0.80241107475823,0.04294826269316,0.65380798907107,0.0083038643950231,59259.193915703,0.81366956863568,0.98156838771254,0.10303579643334
2.8e-05,0.015617890158529,0.83176484729056,0.045294087649599,0.67909736553268,0.0086282533431649,63041.613221706,0.84407584552594,1.0121435894969,0.10539946598896
2.85e-05,0.016630642281896,0.86331809430946,0.047825235719356,0.70527626787629,0.0089636568619503,65335.05892147,0.87596392304813,1.0442377575327,0.10846765079803
2.9e-05,0.017741468039841,0.89638638124187,0.05053186264704,0.73179781932751,0.0092993354487784,65137.713555774,0.90835978664729,1.076855950652,0.11164496875239
2.95e-05,0.018604288830684,0.92940163929663,0.053349433636317,0.75874526816383,0.0096484407024587,63330.696733013,0.94026685379488,1.1089730532242,0.11354602427757
3e-05,0.019059981215591,0.96118290259159,0.056208677268109,0.78643508553462,0.010011307197951,61931.643094458,0.97139840064227,1.1402886381811,0.11389008587743
3.05e-05,0.019305068551921,0.99181333334551,0.059035607476416,0.8145627403902,0.010380724221968,62440.353843605,1.0023219019035,1.1713816374156,0.11385520199969
3.1e-05,0.019737592418632,1.022348698063,0.061769820554846,0.84282855616806,0.01075913195738,64683.422537973,1.0339228962668,1.203162581511,0.11441774517405
3.15e-05,0.020571852999942,1.0538591956405,0.064386448247056,0.87136242546413,0.011147165508759,67187.510914905,1.0666853366645,1.2361303148742,0.11593043107083
3.2e-05,0.021601651515677,1.0865983311566,0.066924823440253,0.90026672304737,0.011542083921442,68694.180926248,1.100433784775,1.2701007378345,0.11814475168832
3.25e-05,0.022411335134664,1.1199288932547,0.069495630288528,0.92975125689139,0.011940229091443,69315.829882434,1.1347201062576,1.3046032405366,0.12008612983045
3.3e-05,0.022846025554506,1.1531261585317,0.072193705671623,0.96043382599262,0.012341243328792,70229.922785644,1.1694068712894,1.3394896787037,0.12073388437981
3.35e-05,0.023200386697884,1.1861967744179,0.07504680918935,0.99299893019823,0.012750102715809,72689.51577596,1.2048450829768,1.3752195383441,0.1198299142004
3.4e-05,0.023895716758218,1.2198794872745,0.077976306250257,1.0278102435387,0.013175149222228,77295.162943476,1.2415159392493,1.4127157080239,0.11779227549647
3.45e-05,0.025049637153598,1.2550043878012,0.080860663995663,1.064648665896,0.013623882421505,82695.526488216,1.2795707285696,1.4527133803818,0.11544091775498
3.5e-05,0.026443188601094,1.2919235309696,0.083630213848214,1.1027738766403,0.014099698429713,86887.438807972,1.3187417084507,1.4951091217059,0.11346516788185
3.55e-05,0.027836660302245,1.3305136212296,0.086290334873121,1.1414287983056,0.014601085993151,89359.540360382,1.3586257598992,1.539170866498,0.11211642558888
3.6e-05,0.02918552678552,1.3705495039422,0.088879811803487,1.1801697613846,0.015122474966341,90084.190196504,1.3989563967065,1.5840317991372,0.11128859927867
3.65e-05,0.030540323908503,1.411836603711,0.091430842765234,1.2191524519548,0.015655583240758,89322.608531545,1.4395986629338,1.6288834988192,0.11032631262667
3.7e-05,0.03182885260142,1.4539781237419,0.093927282496089,1.2589154075878,0.016191323025542,87608.317486324,1.4803941082277,1.6731162303237,0.10855586110005
3.75e-05,0.032824972579796,1.4962331540969,0.096337886729292,1.2995019888998,0.016722687299671,85780.814975163,1.5211350232729,1.7164635134391,0.10616614539115
3.8e-05,0.033390467040113,1.5378141690245,0.098634033926683,1.3404088415627,0.017247662455679,84864.043060961,1.5617213055483,1.7591247279481,0.1037968295703
3.85e-05,0.033730547680508,1.5783982332138,0.10077321859623,1.3811221776592,0.017769994411674,85610.724173126,1.6022892313095,1.8017434197566,0.10168591113759
3.9e-05,0.034320647310589,1.6183492885787,0.1027212480385,1.422179608606,0.018296595811539,87977.699704439,1.6431271657372,1.845140525726,0.099276877476218
3.95e-05,0.035529528958103,1.658475369817,0.10447581466802,1.4643394672966,0.018832913627558,91001.841329791,1.684443038892,1.8898854109846,0.096149430179379
4e-05,0.037305488167967,1.699516943952,0.10610592712527,1.5077783424482,0.019379216034434,93367.056287631,1.7262110786917,1.9359776353889,0.09255548544995
4.05e-05,0.039207937924652,1.7416781178464,0.10768595485359,1.5518774870654,0.019930131156853,94302.968067838,1.7682368670246,1.9828951414778,0.088936321445135
4.1e-05,0.040747473651814,1.78453096058,0.109274681055,1.5962821943099,0.020477723393988,94065.193858776,1.8103690445801,2.0299871819594,0.085216361916121
