time,Fx,external_work,fracture_energy,kinetic_energy,max_d,max_disp_x,nucleation_energy,strain_energy
3.15e-05,24172.262989603,9277.2277961963,0,3854.9163746449,0,0.5115,4897.1065614696,5360.9060750845
3.2e-05,24230.321545151,9477.2646657707,0,3938.985855801,0,0.51975,5014.0179607602,5476.9257685772
3.25e-05,24351.811193435,9678.2660931814,0,4026.4632146756,0,0.528,5132.4146176063,5590.3178831692
3.3e-05,24559.887665713,9880.9712873763,0,4118.6921546568,0,0.53625,5247.0256767776,5700.3766087313
3.35e-05,24857.905080382,10086.126234564,0,4216.7958513829,0,0.5445,5364.1318634289,5806.6979134291
3.4e-05,25239.272963373,10294.397711342,0,4322.1123716494,0,0.55275,5481.6738744581,5908.6747263573
3.45e-05,25698.296578251,10506.399448445,0,4436.9347081292,0,0.561,5585.9249585148,6004.7289279775
3.5e-05,26232.781141061,10722.747089896,0,4563.524850529,0,0.56925,5673.6906131513,6093.3016864755
3.55e-05,26837.936055695,10944.04141978,0,4702.9460204758,0,0.5775,5747.3192497205,6173.9957354016
3.6e-05,27496.172367433,11170.743678553,0,4855.4573528753,0,0.58575,5808.4296138188,6247.0583055516
3.65e-05,28168.121191529,11402.978676955,0,5021.1162400139,0,0.594,5859.5471580951,6312.5913589675
3.7e-05,28789.248388321,11640.329038387,0,5199.2115746494,0,0.60225,5904.4506485687,6370.9260430735
3.75e-05,29274.181975689,11881.677790323,0,5387.5816755303,0,0.6105,5940.1303712267,6423.1627040583
3.8e-05,29527.282423958,12125.131864836,0,5582.9519925418,0,0.61875,5965.4059787443,6470.760908399
3.85e-05,29455.672299628,12368.031777176,0,5781.1326878847,0,0.627,5983.8656766139,6515.3523755872
3.9e-05,28982.588854086,12607.061496935,0,5976.4938699785,0,0.63525,6001.2598765713,6559.3671663856
3.95e-05,28062.888346241,12838.506069069,0,6162.061380359,0,0.6435,6017.383763924,6606.1497808241
4e-05,26703.725222188,13058.705548728,0,6331.2475599376,0,0.65175,6028.9770200222,6658.6063896791
4.05e-05,24988.962201446,13264.713119813,0,6480.2571793444,0,0.66,6036.3905198922,6717.3964515585
4.1e-05,23098.28262235,13455.095972609,0,6609.5557759933,0,0.66825,6038.7101411285,6780.2720823231
4.15e-05,21306.516183558,13630.716338948,0,6723.9764990475,0,0.6765,6038.0151139278,6842.8160641963
4.2e-05,19949.00262956,13795.21926116,0,6831.186749532,0,0.68475,6030.8879535869,6900.5396047347
4.25e-05,19346.406235395,13954.893181013,0,6938.6823128592,0,0.693,6016.9940081188,6951.8518809124
4.3e-05,19698.035950738,14117.639734534,0,7051.5934189345,0,0.70125,6003.1875210714,6999.3803409911
4.35e-05,20974.499349646,14291.053566998,0,7173.3544505064,0,0.7095,6001.8737652117,7047.5498507324
4.4e-05,22859.243424818,14480.042644456,0,7308.1878110697,0,0.71775,6016.4205093822,7097.7875382429
4.45e-05,24788.473328497,14684.83234563,0,7461.9702001355,0,0.726,6038.9498698212,7145.4954230695
4.5e-05,26108.141017672,14900.30711131,0,7638.3428257063,0,0.73425,6061.3639377992,7182.8736640633
4.55e-05,26310.355618342,15117.273070221,0,7831.8760974334,0,0.7425,6090.8832570176,7206.5806085697
4.6e-05,25255.963143524,15325.470593424,0,8026.6364994573,0,0.75075,6129.9789161695,7221.984995782
4.65e-05,23270.713357476,15517.325570043,0,8205.4822819568,0,0.759,6182.2014268399,7237.7609500243
4.7e-05,21042.381300904,15690.873303012,0,8362.1201388509,0,0.76725,6245.2771162316,7257.1249237146
4.75e-05,19337.666132372,15850.401166306,0,8502.9339867314,0,0.7755,6311.9360329137,7277.1062700717
4.8e-05,18659.341819248,16004.304941854,0,8638.6579143873,0,0.78375,6375.5647980551,7295.1166621809
4.85e-05,19017.63137994,16161.081229808,0,8777.8705377881,0,0.792,6440.4629725681,7311.5463985435
