time,avg_disp_y_impactor,avg_vel_impactor,max_disp_bego,max_vel_bego
2.34e-05,-0.14162681396443,1217.5474398688,-0.042076075752156,-3681.7030610503
2.35e-05,-0.14152136415404,1255.0358365074,-0.041873177205739,-3822.4301815245
2.36e-05,-0.14141290007028,1292.0909730906,-0.041716664782669,-4168.3067669114
2.37e-05,-0.1413054190553,1328.0488753917,-0.041551804521095,-4372.3872610905
2.38e-05,-0.14119756809537,1361.9333572899,-0.041401915335841,-4334.4003082974
2.39e-05,-0.14108297945315,1393.0061757801,-0.041271205501753,-4026.3119406833
2.4e-05,-0.1409539281705,1421.4581158803,-0.04111877771857,-4303.8333162845
2.41e-05,-0.1408066304407,1448.4539203481,-0.040942430240206,-4493.6421102394
2.42e-05,-0.14064413789668,1475.2901921514,-0.040756963891945,-4568.412553379
2.43e-05,-0.14047416949842,1502.3615324232,-0.040592258802334,-4494.1825949381
2.44e-05,-0.14030346458041,1528.8672409457,-0.04043295457423,-4719.8033825165
2.45e-05,-0.14013317156929,1553.4875332195,-0.040269760960581,-4925.7052542828
2.46e-05,-0.13995866247265,1575.3848746748,-0.040132141221066,-4864.3250512071
2.47e-05,-0.13977334421554,1594.7036366775,-0.039988545727478,-4876.8254430875
2.48e-05,-0.1395731562307,1612.3016261872,-0.039810279505282,-4840.8318257622
2.49e-05,-0.13935873523827,1629.1207007576,-0.039605418604704,-4699.7409412035
2.5e-05,-0.13913478962535,1645.7987928687,-0.039389257574996,-5206.8628316402
2.51e-05,-0.13890830632004,1662.7287428134,-0.039195005355824,-5334.2195381269
2.52e-05,-0.13868699825876,1680.2463378778,-0.039021509520508,-5361.3149924144
2.53e-05,-0.13847774408625,1698.5436344638,-0.038833055728422,-5344.0304040962
2.54e-05,-0.13828417795158,1717.3689713885,-0.038629585252681,-4998.9413212963
2.55e-05,-0.13810422307687,1736.0322107404,-0.038413736691164,-4873.4918664712
2.56e-05,-0.13793025548676,1754.0219684345,-0.038191585059972,-4906.1053977933
2.57e-05,-0.137753600856,1771.7567598864,-0.037988487404503,-4734.7424362737
2.58e-05,-0.13757100936739,1790.5649741474,-0.037799507348587,-4860.6283727276
2.59e-05,-0.1373876150867,1811.6093518431,-0.037607436467985,-4829.5731135371
2.6e-05,-0.13721285415374,1834.6334807131,-0.037424919782452,-4611.0299680915
2.61e-05,-0.1370520302494,1857.8128009423,-0.037263333620741,-4344.8888348358
2.62e-05,-0.13690075426056,1879.0382836238,-0.037120202364913,-4341.9293050087
2.63e-05,-0.13674741474095,1897.5496674401,-0.036977198939533,-4164.1827227038
2.64e-05,-0.13658176941527,1914.4558905863,-0.036812020161086,-4204.8291385034
2.65e-05,-0.13640243084235,1931.7364451639,-0.03661505314995,-4196.3650705091
2.66e-05,-0.13621735376185,1950.6962726573,-0.03639754249636,-4116.3241814051
2.67e-05,-0.13603765594637,1971.1794436019,-0.036212862106044,-3927.3202010124
2.68e-05,-0.13587014824941,1991.975399845,-0.03604568832769,-3729.5690881615
2.69e-05,-0.1357138142536,2011.8085059995,-0.035882608194578,-3573.6111215845
2.7e-05,-0.13556153190373,2030.05902557,-0.035731038728943,-3774.2047403875
2.71e-05,-0.13540473325174,2046.8849473592,-0.035606352783596,-3871.6832299234
2.72e-05,-0.13523786063873,2062.938533455,-0.035457435313278,-3647.8698858637
2.73e-05,-0.13506062646728,2078.9686919983,-0.035276270177069,-3629.9377714549
2.74e-05,-0.1348774449446,2095.4183361408,-0.035073069541451,-4051.0003176981
2.75e-05,-0.13469442193252,2112.1129726984,-0.034887293479855,-4201.5103789705
2.76e-05,-0.13451534331338,2128.2437934121,-0.034691379645869,-4021.2204000875
2.77e-05,-0.1343389422469,2142.7756862372,-0.034498952835094,-3557.441672877
2.78e-05,-0.13415930493021,2155.0720224695,-0.034317512946372,-3330.1198963396
2.79e-05,-0.13396929251795,2165.2718997528,-0.034111647899553,-3306.0797954826
2.8e-05,-0.13376459704058,2174.2162832573,-0.03392128234999,-3413.5927918665
2.81e-05,-0.13354625790914,2182.5618865277,-0.033736038135331,-3581.4691755095
2.82e-05,-0.13331991908318,2190.6013416193,-0.033541613881098,-3697.2551335176
2.83e-05,-0.13309211967028,2198.7080737884,-0.03333046514021,-3818.2153791442
2.84e-05,-0.13286799197879,2206.573689494,-0.033098894757953,-4041.8773293005
2.85e-05,-0.1326504461513,2213.5818354511,-0.032912915551143,-4045.284425037
2.86e-05,-0.13243794153294,2219.7475395433,-0.032721945674224,-3832.0245475387
2.87e-05,-0.13222497968958,2224.4446602481,-0.032519046155087,-3805.1760355433
2.88e-05,-0.13200456906749,2227.9114938113,-0.032303352616127,-3849.5241561867
2.89e-05,-0.13177133017485,2230.9213963897,-0.032077396156216,-3845.3607676417
2.9e-05,-0.13152573772189,2233.9603064525,-0.031886381584683,-3764.2716046413
2.91e-05,-0.13127494235418,2237.2192091598,-0.031696096611729,-3621.4110768349
2.92e-05,-0.13102778328342,2240.5564864707,-0.03149699523372,-3465.6233430937
2.93e-05,-0.1307880792196,2243.5200228218,-0.031289818264258,-3302.7408469716
2.94e-05,-0.13055160118469,2245.5819056676,-0.031076797009877,-3090.9601479031
2.95e-05,-0.1303089594284,2246.4532679434,-0.03087693292385,-3010.577006516
2.96e-05,-0.1300521101991,2246.6198080114,-0.03068486075354,-3065.913881874
