time,Jint,Jint_box,Jint_box_over_Gc,Jint_over_Gc,bot_react,external_work,fracture_energy,strain_energy,top_react
25,0.00011538691580161,1.7475531869495e-05,0.0058251772898316,0.038462305267202,61.285204622369,0.035864233236615,0.031181730757699,0.030780673950342,-61.285204622369
25.5,0.00011950173852399,1.8901183521366e-05,0.0063003945071219,0.039833912841328,63.011717752133,0.038177847535359,0.031182130716662,0.033048784099018,-63.011717752133
26,0.00012332569188923,2.0441968862206e-05,0.0068139896207353,0.041108563963078,64.801697256231,0.040647925019626,0.031182588143577,0.035470684173306,-64.801697256231
26.5,0.00012687950359507,2.2104391441014e-05,0.0073681304803381,0.042293167865025,66.654586306421,0.043278257336727,0.031183108583891,0.03805019452898,-66.654586306421
27,0.00013018915031928,2.3895052749675e-05,0.0079650175832249,0.043396383439758,68.569743836749,0.04607231050854,0.031183696759219,0.040790817983467,-68.569743836749
27.5,0.00013328257747435,2.5819317129934e-05,0.0086064390433115,0.044427525824785,70.546461580261,0.049033244955054,0.031184357629013,0.043695759731576,-70.546461580261
28,0.00013619033379842,2.7883576787045e-05,0.0092945255956817,0.045396777932807,72.583988509155,0.052163936575106,0.031185129879719,0.046767945389685,-72.583988509155
28.5,0.00013898356533737,3.0134523724268e-05,0.010044841241423,0.046327855112458,74.681519427724,0.055466995830003,0.031186070810607,0.050010005096055,-74.681519427724
29,0.00014169793048063,3.2585537149784e-05,0.010861845716595,0.047232643493544,76.838206460772,0.058944786913037,0.031187157568166,0.053424304722475,-76.838206460772
29.5,0.00014432449728851,3.5205749511027e-05,0.011735249837009,0.048108165762837,79.053256363772,0.062599453535034,0.031188390192093,0.05701307524705,-79.053256363772
30,0.00014688249496525,3.7994220540668e-05,0.012664740180223,0.048960831655083,81.325852309592,0.066432936140887,0.031189773074211,0.060778321551801,-81.325852309592
30.5,0.00014939469400726,4.0955967791749e-05,0.013651989263916,0.049798231335754,83.655184622002,0.0704469906484,0.031191311307346,0.06472185854004,-83.655184622002
31,0.00015188294666527,4.4097614265753e-05,0.014699204755251,0.050627648888422,86.040452828064,0.074643206139047,0.0311930098584,0.068845332656816,-86.040452828064
31.5,0.00015436544663113,4.7424631459021e-05,0.01580821048634,0.051455148877042,88.480865426104,0.079023020872898,0.031194873309822,0.073150238201594,-88.480865426104
32,0.00015685812547154,5.0942612035557e-05,0.016980870678519,0.052286041823847,90.975645206158,0.08358773748893,0.031196905969318,0.077637932473618,-90.975645206158
32.5,0.00015937468142906,5.4657102413903e-05,0.018219034137968,0.053124893809685,93.524030199595,0.08833853698609,0.031199112632421,0.08230964907313,-93.524030199595
33,0.00016192293236771,5.8569756090347e-05,0.019523252030116,0.053974310789235,96.125270242769,0.09327649042699,0.031201497787807,0.087166509558001,-96.125270242769
33.5,0.00016451280685394,6.2685983640971e-05,0.020895327880324,0.054837602284646,98.778635681999,0.09840257160034,0.031204062254302,0.09220953521242,-98.778635681999
34,0.00016715138997417,6.7009754406818e-05,0.022336584802273,0.05571712999139,101.48341538017,0.10371766727233,0.031206806736588,0.097439662198518,-101.48341538017
34.5,0.00016984078353071,7.1541213817849e-05,0.023847071272616,0.056613594510236,104.23891146546,0.10922258550198,0.031209730584465,0.10285774599704,-104.23891146546
35,0.00017258133579698,7.6279616577615e-05,0.025426538859205,0.057527111932327,107.04444296064,0.11491806379246,0.031212833371882,0.10846457069552,-107.04444296064
