time,Fy,Jint,max_disp_y,max_psie,max_s1
2.8e-05,99.476521659274,0.016328319051429,0.0086210834768714,0.0009603831279094,2.9081945559941
2.85e-05,101.97430036483,0.017250305534793,0.0089504919452937,0.00089246228453019,2.8907958774323
2.9e-05,102.10640877853,0.017795672081978,0.0092728112630639,0.00083913474432906,2.9668694853311
2.95e-05,100.00822455644,0.01802788037692,0.0095984198352155,0.00080164281758278,2.9836800131728
3e-05,97.574071375023,0.018288469439704,0.0099485189094924,0.00077396950838265,3.0338818283891
3.05e-05,96.693387236516,0.018888253662001,0.010312406847256,0.00078326951317093,3.0772043004018
3.1e-05,97.562005194833,0.019804187866616,0.010691615243221,0.00082822843902193,3.0583183736907
3.15e-05,98.711238675986,0.020713789284296,0.011084441424589,0.00086897293682295,3.0530259178903
3.2e-05,98.6642539673,0.021356900930415,0.011488381482471,0.00089366499277109,3.0791479305154
3.25e-05,97.442164061991,0.021828271809032,0.0119029070413,0.00090125096682355,3.0659163940852
3.3e-05,96.368205699084,0.0224697296103,0.012329939938872,0.00089324152100392,3.0869570667215
3.35e-05,96.536754075594,0.02350487596721,0.012772020916453,0.00087224616279667,3.1149036904165
3.4e-05,97.741064805826,0.024842579343413,0.013230244930123,0.00084175383149603,3.1159915412731
3.45e-05,98.95612589599,0.026227089081844,0.013703508352378,0.00080619805570329,3.1160364461265
3.5e-05,99.570491050036,0.027494850646345,0.01418875623084,0.00077099406697005,3.1434565976237
3.55e-05,100.04964029654,0.028805819579207,0.014681361212907,0.00073866613153032,3.139985875753
3.6e-05,100.50522246036,0.029921603361182,0.015175894423183,0.00070500555779246,3.1384116084138
3.65e-05,100.6974869122,0.030791481671444,0.015668139973313,0.00069021092035809,3.1377354306896
3.7e-05,100.35390850336,0.031379519959747,0.016157810141382,0.00074409147113094,3.1378508407131
3.75e-05,99.466190230193,0.031841273470672,0.016649683709052,0.00081665839291827,3.1378840841071
3.8e-05,98.699318339859,0.032573252223199,0.017151432736171,0.00088768286743778,3.0406490868253
3.85e-05,98.674430743115,0.033829329262545,0.017669142486674,0.00092851567321909,2.9953332610747
3.9e-05,99.336847906904,0.035523857464212,0.018203594367557,0.00094385246804344,2.9618555056865
3.95e-05,100.14919711188,0.037305273035432,0.01874969736525,0.00095332589600731,2.9521516519403
4e-05,100.3931959324,0.038754716778179,0.019299066724834,0.00095921883084068,2.8871465774599
4.05e-05,99.807539405971,0.039720725697758,0.019844051423884,0.00097013876149729,2.8217551119903
4.1e-05,98.451659385544,0.04030752850213,0.020381336860678,0.00097575516194851,2.8716004232185
4.15e-05,96.814387037021,0.040894604701798,0.020913762691374,0.00096301909591673,2.9236250810628
4.2e-05,95.512112018125,0.041824627411508,0.021449635737928,0.0009577885354418,2.9494386700093
4.25e-05,94.841733114402,0.043204149313719,0.021999839362016,0.00096854534704287,2.9363437572642
4.3e-05,94.751869496349,0.044893781732998,0.022574222203815,0.00097870761500893,2.8980115870189
4.35e-05,94.861789268407,0.046653430927163,0.023178997867954,0.0009822451402655,2.860217898949
4.4e-05,94.974600123544,0.048435335262414,0.023815747430438,0.00096627438118165,2.8916769718695
4.45e-05,95.310224087434,0.050397030929308,0.024481272552273,0.00097801030105121,2.8797576803224
4.5e-05,96.265333580082,0.052676802141071,0.025167500933092,0.00098429449275342,2.9296408235902
4.55e-05,97.927135532825,0.055204738565413,0.025861797641988,0.0010027124577834,2.8750602651756
4.6e-05,99.812235759356,0.057834493086534,0.026548804756219,0.0010138172902127,2.9142700690412
4.65e-05,101.1415484602,0.060043177976104,0.027214197538746,0.0010196414280153,2.9120668786507
4.7e-05,101.36633826871,0.061487931997116,0.027849111719751,0.001027393990033,2.9306601856087
4.725e-05,100.95923532951,0.06189280546181,0.028154301571329,0.0010267926142013,2.9178245569131
4.7375e-05,100.56390112224,0.062026256826819,0.028303974734772,0.0010236414501304,2.9103639064229
4.7625e-05,99.93013579414,0.062209299509851,0.028598462810366,0.0010108626621869,2.9357313793276
4.8125e-05,98.698469709464,0.062478272798564,0.029174843491758,0.00098649558282093,3.0236010566535
4.8625e-05,97.586671756892,0.062872273975646,0.029744652146618,0.0009535974344879,2.9707369318218
4.9125e-05,97.086924410687,0.063578215076208,0.030319911334189,0.0009349238159823,3.0418528818247
4.9625e-05,97.253625207524,0.064629595246145,0.030908199927218,0.00094842760171662,2.9629456217213
5.0125e-05,97.954353755371,0.065964454271426,0.03151083447626,0.00097156381924499,2.9998107000735
5.0625e-05,98.863919563389,0.067403007584606,0.032123621482909,0.00098641018666099,2.9959412066832
5.0875e-05,99.392101616516,0.068081815518774,0.032431975320164,0.00098963795167638,2.9623546733917
5.1e-05,99.573287888659,0.068387455421055,0.032586194944975,0.00098828965504911,2.9342692702333
5.125e-05,99.613125504751,0.068881558257599,0.032894087811276,0.0009903528386458,2.9272874039586
5.175e-05,99.033970207632,0.069312878006418,0.033507463969946,0.0010084976793897,3.0148970222686
5.2e-05,98.226041690952,0.06925145319724,0.03381335960713,0.0010153953738628,2.986781377465
5.2125e-05,97.663057103384,0.069164546175965,0.033966387238093,0.0010192428898785,2.9636454564072
5.2375e-05,96.865974985402,0.068948930036774,0.034273594604182,0.0010229864527949,2.9573745924586
5.2875e-05,95.573166368633,0.068742315764833,0.034898044364237,0.0010304553841552,3.0548713136005
5.3375e-05,94.82048642069,0.069244308791009,0.035542181751614,0.0010095974850627,2.935237591961
5.3875e-05,95.067562962968,0.07062692402997,0.036210320734588,0.00097411351340772,2.9877077960448
5.4125e-05,95.607677576249,0.071588476832627,0.036553311480031,0.00096783589439214,2.9332103931849
5.425e-05,95.97377600553,0.072104318920159,0.036726760646351,0.00096231616246835,2.9058734603804
5.45e-05,96.453936079495,0.073135796196044,0.037076540812735,0.00094548760739271,2.9054508178238
5.5e-05,97.21439683709,0.075026553122158,0.037781659316277,0.00092704055821396,2.9353367768224
5.55e-05,97.791184091805,0.076658752563426,0.038486156162414,0.00091259984989672,2.8785916303247
5.6e-05,98.138784883061,0.078228612167506,0.039181806221468,0.00094266920237791,2.8979224678654
5.65e-05,98.565200379817,0.080037080267641,0.039865004582382,0.00093962582458329,2.9397884228881
5.7e-05,99.260701722814,0.082209516886924,0.040537060884477,0.0008973661717227,2.9606905903406
5.75e-05,100.04189468542,0.084504355518111,0.041202526795238,0.00092084620182023,2.9664310043152
5.8e-05,100.43474089863,0.086435120353932,0.041866973685383,0.00090895342813158,2.8972178201817
5.85e-05,100.0862460611,0.087684166996983,0.042535372446742,0.00091214748344105,2.8887807490964
5.9e-05,99.099953642861,0.088401124682367,0.043211383434839,0.0008987398442583,2.9419846122053
5.95e-05,97.985867078768,0.089095970533749,0.043897101433782,0.0008875437280387,2.830218852849
6e-05,97.311759553256,0.090265567564508,0.044592769825768,0.00089148549329721,2.8269174548746
6.05e-05,97.331726404148,0.092047803533066,0.045296503414756,0.00093802120159058,2.8748484543222
6.075e-05,97.631773336588,0.093107188294691,0.045650471149724,0.00094796580838338,2.778892054205
6.125e-05,98.162917742287,0.095203898534389,0.046358697718816,0.00095225770363136,2.7731462639702
6.175e-05,98.536043938767,0.096686594728524,0.047063632375365,0.00096053017126753,2.7370956808375
6.225e-05,98.440137624655,0.097427385856973,0.04776171137856,0.00098363712636854,2.7099367806552
6.275e-05,97.851834197852,0.097900026002905,0.048452112324848,0.0010238899272854,2.6988473125991
6.325e-05,96.880917868581,0.098235606699135,0.049137736395163,0.0010734348320484,2.6469239427248
6.375e-05,95.746576811203,0.098333263489696,0.049824955116394,0.0011134655824902,2.6357605616997
6.425e-05,94.802559093726,0.098519318569455,0.050521933911498,0.0011211429270425,2.5813414386701
6.475e-05,94.43804884957,0.099450597046427,0.051235908716384,0.0011238456799006,2.504047531338
6.525e-05,94.840186287564,0.10108938628132,0.051970553833735,0.0011168499060068,2.4253608191687
6.575e-05,95.852417814205,0.10316769278457,0.052724811165709,0.0011028346337525,2.3808412780939
6.625e-05,97.085122243366,0.10539999538992,0.053493856511943,0.0010962204891684,2.5449103483672
6.675e-05,98.144051299878,0.10739357329916,0.054271613535008,0.001094466770987,2.9221486699154
6.725e-05,98.802826973985,0.10885044689575,0.055053302504896,0.0011078079281071,3.2827051203351
6.775e-05,99.09532094165,0.10990434455394,0.055836626040604,0.0011067589361831,3.1581783414577
6.825e-05,99.253486792093,0.11101214312311,0.056621225572551,0.0011106133889859,2.8707797571189
6.875e-05,99.424359512728,0.11228151958103,0.057407185601228,0.0011096867742578,2.5947902773514
6.925e-05,99.454802503737,0.1133323133702,0.058193831001938,0.0011149041090068,2.4185432801195
6.975e-05,99.071598913251,0.11367732090196,0.058979662034809,0.001106920287224,2.4127918035803
7.025e-05,98.239230754842,0.1133616169371,0.059763402558545,0.0011485422187508,2.4233455417059
7.075e-05,97.265531597152,0.11294365088185,0.060545386079712,0.0011942007770061,2.422552434376
7.125e-05,96.609170402118,0.11303768061318,0.061328278338221,0.0012438123781501,2.4062322405003
7.175e-05,96.584764887574,0.11396197058943,0.062116530790626,0.0012967382323889,2.3802784707987
7.225e-05,97.133530748461,0.1155394073162,0.062914762528016,0.0013517876432212,2.3375709140585
7.275e-05,97.822196081062,0.11714209397843,0.063726010572423,0.001407358406511,2.2534107205422
7.325e-05,98.116626556913,0.11810866948276,0.064550958152115,0.0014617247536374,2.1262386910016
7.375e-05,97.730140606135,0.11821026264759,0.065388654696458,0.0015133993021726,2.0095954171251
7.425e-05,96.781301670789,0.11775946349069,0.066238235334525,0.0015614658940547,1.9383721079361
7.475e-05,95.684627914788,0.11734233109333,0.067100433321215,0.0016057504790701,1.916537593464
7.525e-05,94.902074516108,0.11745577812513,0.067977773485021,0.0016468711126542,1.9162885509895
7.575e-05,94.725420383033,0.11834868865166,0.06887317625208,0.0016860573300879,1.9210160369065
7.625e-05,95.186123690116,0.11997130943388,0.069787725977445,0.0017257646828866,1.9152729028265
7.675e-05,96.101397880451,0.12206481995912,0.070718925390125,0.0017718454379755,1.9102260649046
7.725e-05,97.187880747062,0.12428385051691,0.071660547595143,0.0018135258027116,1.9105794216017
7.775e-05,98.159993235707,0.12627954157124,0.072604331518764,0.0018541982230353,1.8985529121603
7.825e-05,98.804877485011,0.12779146679549,0.073542722695501,0.0019056531808467,1.8511597797971
7.875e-05,99.056907133024,0.12876063426691,0.074471247063689,0.0019623549625033,1.7796888703151
7.925e-05,99.022697210663,0.12935090969754,0.075389334508567,0.0020240880558237,1.7099399789133
7.975e-05,98.892687399115,0.12981129851489,0.076299382617501,0.0020901073748872,1.6017519639539
8.025e-05,98.788961634715,0.13026489304744,0.077204925687454,0.0021595320515776,1.4723108973772
8.075e-05,98.682085925516,0.13062748172116,0.078109181073763,0.0022316026708948,1.3485389261937
8.125e-05,98.450449106685,0.13074509661459,0.079014706554957,0.0023055270286675,1.2465714362941
8.175e-05,98.030157108128,0.13062043932811,0.079923889101475,0.0023802962254025,1.1655733032128
8.225e-05,97.525607314552,0.13051732791816,0.080839331415763,0.0024547132270766,1.0886553195512
8.275e-05,97.171114561896,0.13082041698609,0.081763405127815,0.0025276502887173,1.0250387945846
8.325e-05,97.15042906478,0.13172121979906,0.082697077290879,0.0025983760585112,1.0433493511478
8.375e-05,97.416997914388,0.13298449948872,0.083638890736928,0.0026668861948522,1.0859359628385
8.425e-05,97.682565041893,0.13402162363998,0.084585092022857,0.0027559997403256,1.1057438340164
8.475e-05,97.609070622732,0.13427395688758,0.085531264427302,0.0028415698440631,1.115323405974
8.525e-05,97.063826306157,0.1336651023332,0.086474845563066,0.002921168645258,1.2413725595493
8.575e-05,96.240342204579,0.1326536261413,0.087417196705456,0.0029945600001039,1.365499841334
8.625e-05,95.552485217861,0.13196621979127,0.088363909964943,0.0030623509898986,1.4857512591476
8.675e-05,95.382227680695,0.13218686693877,0.089322867968895,0.0031258867673168,1.593847102358
8.725e-05,95.86048117237,0.13345318830596,0.09030081209818,0.0031996129905273,1.6873678844155
8.775e-05,96.817860036071,0.13542792267908,0.091300114847198,0.0032952915915609,1.7660015454745
8.825e-05,97.908721759132,0.13753362783554,0.092317464141242,0.0034000115105833,1.8279183137347
8.875e-05,98.801605236315,0.13927004799508,0.093345162276672,0.0034990743957284,1.8740623661811
8.925e-05,99.315139929211,0.14041387274229,0.094374298816575,0.0035897133831897,1.9112596627463
8.975e-05,99.443647224847,0.14101917469445,0.095398071938806,0.0036715136258434,1.9454427838045
9.025e-05,99.295427814921,0.14128430575002,0.09641360419758,0.0037525676481165,1.9757037875529
9.075e-05,99.007457974516,0.14140348047027,0.097421616096872,0.0038361081257511,2.0010745994655
9.125e-05,98.688690667707,0.14150377154734,0.098424578302988,0.0039370566592693,2.0174182067148
9.175e-05,98.402580918206,0.14164135669456,0.099424680402833,0.0040396768125681,2.0250840964759
9.225e-05,98.170695500391,0.14182019605942,0.10042278656314,0.004137205028208,2.0291988738225
9.275e-05,97.984688149696,0.14201509365895,0.10141873539743,0.0042295313663791,2.0381987347499
9.325e-05,97.828278833108,0.14221428074824,0.10241246342155,0.0043583422685561,2.0648070101724
9.375e-05,97.699839328867,0.14246036743225,0.10340501701834,0.004486013683508,2.1202918718383
9.425e-05,97.616974537225,0.14285192684274,0.10439875357482,0.0046081771347599,2.2099749670349
9.475e-05,97.604173357099,0.14345660166458,0.10539669668064,0.0047250200558584,2.3309068584134
9.525e-05,97.58259598429,0.14406173957989,0.10640162418035,0.0048484804746568,2.4732719419938
9.575e-05,97.442006210582,0.14440140093951,0.10741559456711,0.0049780810955744,2.6211312908868
9.625e-05,97.0844969589,0.14422541179072,0.10844016434267,0.0051084305069988,2.756125145107
9.675e-05,96.540603302484,0.14362953705106,0.10947686985011,0.0052386916451397,2.8551803896818
9.725e-05,96.016837774753,0.14307894474146,0.11052721121792,0.0053678317300198,2.894308682759
9.775e-05,95.822302338995,0.14320129728683,0.11159172551607,0.0054949702898061,2.9048280468185
9.825e-05,96.191747043533,0.14441651068022,0.11266856804607,0.0056309421627475,2.9109152478785
9.875e-05,97.105228431871,0.1466028920246,0.11375268986169,0.005762238402107,2.9141470655187
9.925e-05,98.272447918376,0.1491663744014,0.11483660702574,0.005886832772777,2.9105801060035
9.975e-05,99.284625817586,0.15136577914395,0.11591284667553,0.0060054371288751,2.9338516380236
0.0001,99.746158952248,0.15215455170274,0.11644650942684,0.0060628003347582,2.9312851285676
