"bounds_dummy","d","disp_x","GlobalElementId","K","ObjectId","PedigreeElementId","ce","delta","psie_active","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0.0212,213,3.3333,0,213,15.144,4.1452,0.2,1,0.106,0.106,0,0
0,0,0.0214,215,3.3333,0,215,15.144,4.1452,0.2,1,0.107,0.107,0,0
0,0,0.0216,217,3.3333,0,217,15.144,4.1452,0.2,1,0.108,0.108,0,0
0,0,0.0218,219,3.3333,0,219,15.144,4.1452,0.2,1,0.109,0.109,0,0
0,0,0.022,221,3.3333,0,221,15.144,4.1452,0.2,1,0.11,0.11,0,0
0,0,0.0222,223,3.3333,0,223,15.144,4.1452,0.2,1,0.111,0.111,0,0
0,0,0.0224,225,3.3333,0,225,15.144,4.1452,0.2,1,0.112,0.112,0,0
0,0,0.0226,227,3.3333,0,227,15.144,4.1452,0.2,1,0.113,0.113,0,0
0,0,0.0228,229,3.3333,0,229,15.144,4.1452,0.2,1,0.114,0.114,0,0
0,0,0.023,231,3.3333,0,231,15.144,4.1452,0.2,1,0.115,0.115,0,0
0,0,0.0232,233,3.3333,0,233,15.144,4.1452,0.2,1,0.116,0.116,0,0
0,0,0.0234,235,3.3333,0,235,15.144,4.1452,0.2,1,0.117,0.117,0,0
0,0,0.0236,237,3.3333,0,237,15.144,4.1452,0.2,1,0.118,0.118,0,0
0,0,0.0238,239,3.3333,0,239,15.144,4.1452,0.2,1,0.119,0.119,0,0
0,0,0.024,241,3.3333,0,241,15.144,4.1452,0.2,1,0.12,0.12,0,0
0,0,0.0242,243,3.3333,0,243,15.144,4.1452,0.2,1,0.121,0.121,0,0
0,0,0.0244,245,3.3333,0,245,15.144,4.1452,0.2,1,0.122,0.122,0,0
0,0,0.0246,247,3.3333,0,247,15.144,4.1452,0.2,1,0.123,0.123,0,0
0,0,0.0248,249,3.3333,0,249,15.144,4.1452,0.2,1,0.124,0.124,0,0
0,0,0.025,251,3.3333,0,251,15.144,4.1452,0.2,1,0.125,0.125,0,0
0,0,0.0252,253,3.3333,0,253,15.144,4.1452,0.2,1,0.126,0.126,0,0
0,0,0.0254,255,3.3333,0,255,15.144,4.1452,0.2,1,0.127,0.127,0,0
0,0,0.0256,257,3.3333,0,257,15.144,4.1452,0.2,1,0.128,0.128,0,0
0,0,0.0258,259,3.3333,0,259,15.144,4.1452,0.2,1,0.129,0.129,0,0
0,0,0.026,261,3.3333,0,261,15.144,4.1452,0.2,1,0.13,0.13,0,0
0,0,0.0262,263,3.3333,0,263,15.144,4.1452,0.2,1,0.131,0.131,0,0
0,0,0.0264,265,3.3333,0,265,15.144,4.1452,0.2,1,0.132,0.132,0,0
0,0,0.0266,267,3.3333,0,267,15.144,4.1452,0.2,1,0.133,0.133,0,0
0,0,0.0268,269,3.3333,0,269,15.144,4.1452,0.2,1,0.134,0.134,0,0
0,0,0.027,271,3.3333,0,271,15.144,4.1452,0.2,1,0.135,0.135,0,0
0,0,0.0272,273,3.3333,0,273,15.144,4.1452,0.2,1,0.136,0.136,0,0
0,0,0.0274,275,3.3333,0,275,15.144,4.1452,0.2,1,0.137,0.137,0,0
0,0,0.0276,277,3.3333,0,277,15.144,4.1452,0.2,1,0.138,0.138,0,0
0,0,0.0278,279,3.3333,0,279,15.144,4.1452,0.2,1,0.139,0.139,0,0
0,0,0.028,281,3.3333,0,281,15.144,4.1452,0.2,1,0.14,0.14,0,0
0,0,0.0282,283,3.3333,0,283,15.144,4.1452,0.2,1,0.141,0.141,0,0
