time,max_disp_z,min_disp_z
6.5e-06,0.00015275494228822,-0.0065
6.6e-06,0.00016868452067432,-0.0066
6.7e-06,0.0001673617796284,-0.0067
6.8e-06,0.00014779041365845,-0.0068
6.9e-06,0.0001467935415617,-0.0069
7e-06,0.00016114891129459,-0.007
7.1e-06,0.00017323672604645,-0.0071
7.2e-06,0.00016735166477716,-0.0072
7.3e-06,0.00015062097228787,-0.0073
7.4e-06,0.00014920463761846,-0.0074
7.5e-06,0.00016733462344247,-0.0075
7.6e-06,0.00017516150440558,-0.0076
7.7e-06,0.00016483169573883,-0.0077
7.8e-06,0.00015917518609471,-0.0078
7.9e-06,0.00015842732734239,-0.0079
8e-06,0.00017107092023472,-0.008
8.1e-06,0.00017448165072863,-0.0081
8.2e-06,0.00016742537391635,-0.0082
8.3e-06,0.00016776237535897,-0.0083
8.4e-06,0.00016854718875543,-0.0084
8.5e-06,0.00017227418634351,-0.0085
8.6e-06,0.00017127876802527,-0.0086
8.7e-06,0.00016971644334964,-0.0087
8.8e-06,0.00017340770762611,-0.0088
8.9e-06,0.0001755709649635,-0.0089
9e-06,0.00017635652516126,-0.009
9.1e-06,0.0001759365033219,-0.0091
9.2e-06,0.00017677025222208,-0.0092
9.3e-06,0.00017877261772904,-0.0093
9.4e-06,0.00017957200035314,-0.0094
9.5e-06,0.0001792180146696,-0.0095
9.6e-06,0.00018092833502892,-0.0096
9.7e-06,0.00018296847235378,-0.0097
9.8e-06,0.00018387719010766,-0.0098
9.9e-06,0.00018368544284518,-0.0099
1e-05,0.00018358439745289,-0.01
1.01e-05,0.00018562404350116,-0.0101
1.02e-05,0.00018656565109749,-0.0102
1.03e-05,0.00018655225471546,-0.0103
1.04e-05,0.00018721677479499,-0.0104
1.05e-05,0.00018951811975926,-0.0105
1.06e-05,0.00019107958681874,-0.0106
1.07e-05,0.00019187161223452,-0.0107
1.08e-05,0.000191781356734,-0.0108
1.09e-05,0.00019281696016,-0.0109
1.1e-05,0.00019353393627881,-0.011
1.11e-05,0.00019302165926673,-0.0111
1.12e-05,0.00019128568518073,-0.0112
1.13e-05,0.00018835656490707,-0.0113
1.14e-05,0.00018574440809571,-0.0114
1.15e-05,0.00018412550680507,-0.0115
1.16e-05,0.000182010719956,-0.0116
1.17e-05,0.00018356444342927,-0.0117
1.18e-05,0.00018457608230215,-0.0118
1.19e-05,0.00018663704964731,-0.0119
1.2e-05,0.00018811126318715,-0.012
1.21e-05,0.00019015966458883,-0.0121
1.22e-05,0.00019148911807682,-0.0122
1.23e-05,0.00019168764063973,-0.0123
1.24e-05,0.00019073218397245,-0.0124
1.25e-05,0.00018862230474264,-0.0125
1.26e-05,0.00019590453049439,-0.0126
1.27e-05,0.00021182668196768,-0.0127
1.28e-05,0.00022839705440075,-0.0128
1.29e-05,0.00024452338623872,-0.0129
1.3e-05,0.00026005650389025,-0.013
1.31e-05,0.00027491512474285,-0.0131
1.32e-05,0.00028907318372254,-0.0132
1.33e-05,0.0003046456504923,-0.0133
1.34e-05,0.00032789307044637,-0.0134
1.35e-05,0.00035042686678139,-0.0135
1.36e-05,0.00037222322586618,-0.0136
1.37e-05,0.00039329311922409,-0.0137
1.38e-05,0.00041368084006658,-0.0138
1.39e-05,0.00043345860886844,-0.0139
1.4e-05,0.00045466008017651,-0.014
1.41e-05,0.00048201020099794,-0.0141
1.42e-05,0.00050840559432555,-0.0142
1.43e-05,0.00053384558142973,-0.0143
1.44e-05,0.00055824721820919,-0.0144
1.45e-05,0.00058150073942805,-0.0145
1.46e-05,0.00060350428399806,-0.0146
1.47e-05,0.00062414926080699,-0.0147
1.48e-05,0.00064333449287716,-0.0148
1.49e-05,0.00066098522905175,-0.0149
1.5e-05,0.00067707261953638,-0.015
1.51e-05,0.00069162852592538,-0.0151
1.52e-05,0.0007047514021652,-0.0152
1.53e-05,0.00071660107771761,-0.0153
1.54e-05,0.00072738279589193,-0.0154
1.55e-05,0.00073815996171828,-0.0155
1.56e-05,0.00074948776465825,-0.0156
1.57e-05,0.00076012458781776,-0.0157
1.58e-05,0.00076972421756304,-0.0158
1.59e-05,0.00077830537074859,-0.0159
1.6e-05,0.00078589787221323,-0.016
1.61e-05,0.00079254147720328,-0.0161
1.62e-05,0.00079824227261537,-0.0162
1.63e-05,0.00080364347217582,-0.0163
1.64e-05,0.00080812989614976,-0.0164
1.65e-05,0.00081160108750691,-0.0165
1.66e-05,0.00081403109157672,-0.0166
1.67e-05,0.00081542832185779,-0.0167
1.68e-05,0.00081583382329112,-0.0168
1.69e-05,0.00081527138781179,-0.0169
1.7e-05,0.00081378636175568,-0.017
1.71e-05,0.00081227223960356,-0.0171
1.72e-05,0.00081000504271632,-0.0172
1.73e-05,0.00080683212111764,-0.0173
1.74e-05,0.00080271558799141,-0.0174
1.75e-05,0.00079987290021664,-0.0175
1.76e-05,0.00079810382207069,-0.0176
1.77e-05,0.00079559380171036,-0.0177
1.78e-05,0.00079229526527024,-0.0178
1.79e-05,0.00078817175622941,-0.0179
1.8e-05,0.00078320198153741,-0.018
1.81e-05,0.00077738032643447,-0.0181
1.82e-05,0.00077071423722814,-0.0182
1.83e-05,0.00076380448180222,-0.0183
1.84e-05,0.00075632397874833,-0.0184
1.85e-05,0.00074789885872551,-0.0185
1.86e-05,0.00073845545154756,-0.0186
1.87e-05,0.00072795879962625,-0.0187
1.88e-05,0.000716414500802,-0.0188
1.89e-05,0.00070386164302184,-0.0189
