time,tip_velocity,tip_x,tip_y,tip_z
1.72e-05,1288470.5080065,29.343750000002,0.01562499999997,0
1.725e-05,988211.76880351,29.390625000002,0.03124999999994,0
1.73e-05,1288470.5080065,29.453125000002,0.01562499999997,0
1.735e-05,988211.76880337,29.500000000003,0.03124999999994,0
1.74e-05,1288470.5080065,29.562500000003,0.01562499999997,0
1.745e-05,988211.76880351,29.609375000003,0.03124999999994,0
1.75e-05,1250000.0000012,29.671875000003,0.03124999999994,0
1.755e-05,1288470.5080065,29.734375000003,0.01562499999997,0
1.76e-05,988211.76880357,29.781250000003,0.03124999999994,0
1.765e-05,1250000.0000012,29.843750000003,0.03124999999994,0
1.77e-05,1288470.5080064,29.906250000003,0.01562499999997,0
1.775e-05,988211.76880351,29.953125000003,0.03124999999994,0
1.78e-05,1288470.5080064,30.015625000003,0.01562499999997,0
1.785e-05,988211.76880344,30.062500000003,0.03124999999994,0
1.79e-05,1250000.0000013,30.125000000003,0.03124999999994,0
1.795e-05,1288470.5080065,30.187500000003,0.01562499999997,0
1.8e-05,1250000.0000013,30.250000000003,0.01562499999997,0
1.805e-05,988211.76880351,30.296875000003,0.03124999999994,0
1.81e-05,1250000.0000013,30.359375000003,0.03124999999994,0
1.815e-05,1288470.5080065,30.421875000003,0.01562499999997,0
1.82e-05,1250000.0000013,30.484375000004,0.01562499999997,0
1.825e-05,988211.76880344,30.531250000004,0.03124999999994,0
1.83e-05,1250000.0000013,30.593750000004,0.03124999999994,0
1.835e-05,1288470.5080064,30.656250000004,0.01562499999997,0
1.84e-05,1250000.0000013,30.718750000004,0.01562499999997,0
1.845e-05,1250000.0000013,30.781250000004,0.01562499999997,0
1.85e-05,988211.76880351,30.828125000004,0.03124999999994,0
1.855e-05,1250000.0000013,30.890625000004,0.03124999999994,0
1.86e-05,1250000.0000013,30.953125000004,0.03124999999994,0
1.865e-05,1250000.0000016,31.015625000004,0.03124999999994,0
1.87e-05,1288470.5080077,31.078125000004,0.01562499999997,0
1.875e-05,1250000.0000026,31.140625000004,0.01562499999997,0
1.88e-05,1250000.0000026,31.203125000004,0.01562499999997,0
1.885e-05,1250000.0000026,31.265625000005,0.01562499999997,0
1.89e-05,1250000.0000026,31.328125000005,0.01562499999997,0
1.895e-05,988211.76880458,31.375000000005,0.03124999999994,0
1.9e-05,1250000.0000026,31.437500000005,0.03124999999994,0
1.905e-05,1288470.5080081,31.500000000005,0.046874999999909,0
1.91e-05,1288470.5080076,31.562500000005,0.03124999999994,0
1.915e-05,1250000.0000027,31.625000000005,0.03124999999994,0
1.92e-05,1250000.0000026,31.687500000005,0.03124999999994,0
1.925e-05,1250000.0000026,31.750000000006,0.03124999999994,0
1.93e-05,1288470.5080081,31.812500000006,0.046874999999909,0
1.935e-05,1682864.0022317,31.890625000006,0.01562499999997,0
1.94e-05,1126734.7735838,31.937500000006,0.046874999999909,0
1.945e-05,1250000.0000027,32.000000000006,0.046874999999909,0
1.95e-05,1250000.0000068,32.062500000006,0.046874999999909,0
1.955e-05,1682864.0022367,32.140625000007,0.01562499999997,0
1.96e-05,1250000.000007,32.203125000007,0.01562499999997,0
1.965e-05,1288470.5080124,32.265625000008,0.03124999999994,0
1.97e-05,1250000.0000068,32.328125000008,0.03124999999994,0
1.975e-05,1250000.0000071,32.390625000008,0.03124999999994,0
1.98e-05,1250000.0000068,32.453125000009,0.03124999999994,0
1.985e-05,1250000.0000068,32.515625000009,0.03124999999994,0
