time,Fx,tip_velocity,tip_x,tip_y,tip_z
8.75e-06,91.406931725591,0,27,0,0
8.8e-06,91.930295557431,0,27,0,0
8.85e-06,92.453606130001,0,27,0,0
8.9e-06,92.97686706875,0,27,0,0
8.95e-06,93.500081870876,0,27,0,0
9e-06,94.023253845429,0,27,0,0
9.05e-06,94.546386078044,0,27,0,0
9.1e-06,95.069481421664,0,27,0,0
9.15e-06,95.592542512001,0,27,0,0
9.2e-06,96.115571804118,0,27,0,0
9.25e-06,96.63857162455,0,27,0,0
9.3e-06,97.161544231955,0,27,0,0
9.35e-06,97.684491878429,0,27,0,0
9.4e-06,98.207416863537,0,27,0,0
9.45e-06,98.730321573986,0,27,0,0
9.5e-06,99.253208503709,0,27,0,0
9.55e-06,99.77608025131,0,27,0,0
9.6e-06,100.29893949346,0,27,0,0
9.65e-06,100.82178893341,0,27,0,0
9.7e-06,101.3446312241,0,27,0,0
9.75e-06,101.86746886694,0,27,0,0
9.8e-06,102.39030409238,0,27,0,0
9.85e-06,102.91313873399,0,27,0,0
9.9e-06,103.43597411113,0,27,0,0
9.95e-06,103.95881093255,0,27,0,0
1e-05,104.48164922614,0,27,0,0
1.005e-05,105.00448829214,0,27,0,0
1.01e-05,105.5273266757,0,27,0,0
1.015e-05,106.05016215981,0,27,0,0
1.02e-05,106.57299178735,0,27,0,0
1.025e-05,107.09581192248,0,27,0,0
1.03e-05,107.61861835191,0,27,0,0
1.035e-05,108.14140641459,0,27,0,0
1.04e-05,108.66417114378,0,27,0,0
1.045e-05,109.18690741199,0,27,0,0
1.05e-05,109.70961007874,0,27,0,0
1.055e-05,110.23227414264,0,27,0,0
1.06e-05,110.75489489483,0,27,0,0
1.065e-05,111.27746806644,0,27,0,0
1.07e-05,111.79998996233,0,27,0,0
1.075e-05,112.32245757289,0,27,0,0
1.08e-05,112.84486865579,0,27,0,0
1.085e-05,113.36722178284,0,27,0,0
1.09e-05,113.88951635638,0,27,0,0
1.095e-05,114.41175260594,0,27,0,0
1.1e-05,114.93393157287,0,27,0,0
1.105e-05,115.45605508224,0,27,0,0
1.11e-05,115.97812569751,0,27,0,0
1.115e-05,116.50014665688,0,27,0,0
1.12e-05,117.02212179607,0,27,0,0
1.125e-05,117.54405546522,0,27,0,0
1.13e-05,118.06595244713,0,27,0,0
1.135e-05,118.58781788017,0,27,0,0
1.14e-05,119.10965718609,0,27,0,0
1.145e-05,119.63147600378,0,27,0,0
1.15e-05,120.15328013224,0,27,0,0
1.155e-05,120.67507548323,0,27,0,0
1.16e-05,121.19686803864,0,27,0,0
1.165e-05,121.71866380643,0,27,0,0
1.17e-05,122.24046877357,0,27,0,0
1.175e-05,122.76228885819,0,27,0,0
1.18e-05,123.28412986196,0,27,0,0
1.185e-05,123.80599742173,0,27,0,0
1.19e-05,124.32789695916,0,27,0,0
1.195e-05,124.84983362778,0,27,0,0
1.2e-05,125.37181225703,0,27,0,0
1.205e-05,125.89383729343,0,27,0,0
1.21e-05,126.41591274072,0,27,0,0
1.215e-05,126.93804210057,0,27,0,0
1.22e-05,127.46022831568,0,27,0,0
1.225e-05,127.98247372042,0,27,0,0
1.23e-05,128.50478001063,0,27,0,0
1.235e-05,129.0271482414,0,27,0,0
1.24e-05,129.54957884707,0,27,0,0
1.245e-05,130.07207166203,0,27,0,0
1.25e-05,130.59462592543,0,27,0,0
1.255e-05,131.11724027636,0,27,0,0
1.26e-05,131.63991276814,0,27,0,0
1.265e-05,132.16264093034,0,27,0,0
1.27e-05,132.68542188371,0,27,0,0
1.275e-05,133.20825248424,0,27,0,0
1.28e-05,133.73112945663,0,27,0,0
1.285e-05,134.25404948377,0,27,0,0
1.29e-05,134.77700924371,0,27,0,0
1.295e-05,135.30000541273,0,27,0,0
1.3e-05,135.82303466763,0,27,0,0
1.305e-05,136.34609371425,0,27,0,0
1.31e-05,136.86917935062,0,27,0,0
1.315e-05,137.39228855389,0,27,0,0
1.32e-05,137.91541857243,0,27,0,0
1.325e-05,138.43856700967,0,27,0,0
1.33e-05,138.96173189599,0,27,0,0
1.335e-05,139.48491175179,0,27,0,0
1.34e-05,140.00810565098,0,27,0,0
1.345e-05,140.53131331027,0,27,0,0
1.35e-05,141.05453524261,0,27,0,0
1.355e-05,141.57777300069,0,27,0,0
1.36e-05,142.10102949776,0,27,0,0
1.365e-05,142.62430937407,1593443.5979159,27.078124999996,0.01562499999997,0
1.37e-05,143.14761940804,937499.99999957,27.124999999996,0.01562499999997,0
1.375e-05,143.67096902029,937499.99999957,27.171874999996,0.01562499999997,0
1.38e-05,144.19437091776,937499.99999943,27.218749999996,0.01562499999997,0
1.385e-05,144.71784187317,937499.9999995,27.265624999996,0.01562499999997,0
1.39e-05,145.24140360867,937499.99999957,27.312499999996,0.01562499999997,0
1.395e-05,145.76508386011,624999.99999964,27.343749999996,0.01562499999997,0
1.4e-05,146.28891799337,937499.99999957,27.390624999996,0.01562499999997,0
1.405e-05,146.81295218589,937499.9999995,27.437499999996,0.01562499999997,0
