time,Fx,Fy,max_d
4.7200000000001e-05,194.71389779147,256.90781787513,0.0043571167314696
4.7250000000001e-05,194.73112564827,256.91096207106,0.0043571167314696
4.7300000000001e-05,194.7479982839,256.91652642239,0.0043571167314696
4.7350000000001e-05,194.76203118469,256.92280928806,0.0043571167314696
4.7400000000001e-05,194.77158213234,256.92606704607,0.0043571167314696
4.7450000000001e-05,194.77639701956,256.92223920652,0.0043571167314696
4.7500000000001e-05,194.77770753336,256.9093332184,0.0043571167314696
4.7550000000001e-05,194.77791440141,256.88909639658,0.0043571167314696
4.7600000000001e-05,194.77996995967,256.8668438865,0.0043571167314696
4.7650000000001e-05,194.78660337609,256.84930404427,0.0043571167314696
4.7700000000001e-05,194.79955156035,256.84151325348,0.0043571167314696
4.7750000000001e-05,194.8189806407,256.84441037313,0.0043571167314696
4.7800000000001e-05,194.84328441515,256.854443304,0.0043571167314696
4.7850000000001e-05,194.86939174476,256.86540158331,0.0043571167314696
4.7900000000001e-05,194.89358316485,256.8714878882,0.0043571167314696
4.7950000000001e-05,194.91262508448,256.87002585593,0.0043571167314696
4.8000000000001e-05,194.92484691764,256.86247040289,0.0043571167314696
4.8050000000001e-05,194.93071915228,256.85331838071,0.0043571167314696
4.8100000000001e-05,194.93262647177,256.84756839153,0.0043571167314696
4.8150000000001e-05,194.9338605799,256.84802585256,0.0043571167314696
4.8200000000001e-05,194.93723984549,256.8537436462,0.0043571167314696
4.8250000000001e-05,194.94398009589,256.86030627794,0.0043571167314696
4.8300000000001e-05,194.95333928429,256.86180531864,0.0043571167314696
4.8350000000001e-05,194.9631703993,256.85358872259,0.0043571167314696
4.8400000000001e-05,194.97106037101,256.83451409223,0.0043571167314696
4.8450000000001e-05,194.97547387574,256.80765442333,0.0043571167314696
4.8500000000001e-05,194.97639231238,256.77911627904,0.0043571167314696
4.8550000000001e-05,194.97525533249,256.75551695872,0.0043571167314696
4.8600000000001e-05,194.97435219155,256.74129436804,0.0043571167314696
4.8650000000001e-05,194.97598367197,256.73706507223,0.0043571167314696
4.8700000000001e-05,194.98169099138,256.73968677577,0.0043571167314696
4.8750000000001e-05,194.9917344726,256.74384174329,0.0043571167314696
4.8800000000001e-05,195.00492308533,256.74430035177,0.0043571167314696
4.8850000000001e-05,195.01886710502,256.73786358878,0.0043571167314696
4.8900000000001e-05,195.03067216602,256.72430668107,0.0043571167314696
4.8950000000001e-05,195.03794379258,256.70617181779,0.0043571167314696
4.9000000000001e-05,195.03976838207,256.68767404691,0.0043571167314696
4.9050000000001e-05,195.03722810795,256.67316261202,0.0043571167314696
4.9100000000001e-05,195.03313044604,256.66559892588,0.0043571167314696
4.9150000000001e-05,195.03098042616,256.66549768592,0.0043571167314696
4.9200000000001e-05,195.0336146347,256.6707323641,0.0043571167314696
4.9250000000001e-05,195.04210927298,256.67740787841,0.0043571167314696
4.9300000000001e-05,195.05544042409,256.68157712759,0.0043571167314696
4.9350000000001e-05,195.07099215082,256.68107314298,0.0043571167314696
4.9400000000001e-05,195.08561062062,256.67649215334,0.0043571167314696
4.9450000000001e-05,195.09671337046,256.67068374495,0.0043571167314696
4.9500000000001e-05,195.10304691846,256.66692082621,0.0043571167314696
4.9550000000001e-05,195.10492799016,256.66676588616,0.0043571167314696
4.9600000000001e-05,195.10402005861,256.66893056541,0.0043571167314696
4.9650000000001e-05,195.1027824517,256.66987302464,0.0043571167314696
4.9700000000001e-05,195.10371889628,256.665796619,0.0043571167314696
4.9750000000001e-05,195.10855529688,256.65481563869,0.0043571167314696
4.9800000000001e-05,195.11755005221,256.63796074288,0.0043571167314696
4.9850000000001e-05,195.12922023497,256.6184780495,0.0043571167314696
4.9900000000001e-05,195.14072120347,256.59998505042,0.0043571167314696
4.9950000000001e-05,195.14887687511,256.58471529926,0.0043571167314696
5.0000000000001e-05,195.15151141031,256.57288222125,0.0043571167314696
5.0050000000001e-05,195.14849198776,256.56332844819,0.0043571167314696
5.0100000000001e-05,195.14194486774,256.55476342072,0.0043571167314696
5.0150000000001e-05,195.13547021481,256.54663317932,0.0043571167314696
5.0200000000001e-05,195.13267009235,256.53911947593,0.0043571167314696
5.0250000000001e-05,195.135644903,256.53250458225,0.0043571167314696
5.0300000000001e-05,195.14412011971,256.52657427724,0.0043571167314696
5.0350000000001e-05,195.15555096789,256.52057578982,0.0043571167314696
5.0400000000001e-05,195.16610628018,256.51370337754,0.0043571167314696
5.0450000000001e-05,195.1720860772,256.50563810389,0.0043571167314696
5.0500000000001e-05,195.1712188543,256.49667516162,0.0043571167314696
5.0550000000001e-05,195.163405341,256.4873803756,0.0043571167314696
5.0600000000001e-05,195.15071669758,256.47814445776,0.0043571167314696
5.0650000000001e-05,195.13669907794,256.46907560372,0.0043571167314696
5.0700000000001e-05,195.12521964007,256.46033692095,0.0043571167314696
5.0750000000001e-05,195.11920139361,256.45259660449,0.0043571167314696
