time,Fx,Fy,max_d
2.15e-06,35.668684280557,47.018022957348,0
2.2e-06,36.545603110066,48.123311341315,0
2.25e-06,37.420981753058,49.235775889126,0
2.3e-06,38.293649524784,50.368444021185,0
2.35e-06,39.159908127356,51.516801106304,0
2.4e-06,40.016631491983,52.664837828556,0
2.45e-06,40.865922132631,53.799964138166,0
2.5e-06,41.716058830839,54.922705631457,0
2.55e-06,42.576753981094,56.043472530033,0
2.6e-06,43.452199511959,57.17130378269,0
2.65e-06,44.337646552023,58.305955226053,0
2.7e-06,45.222423270003,59.440122451872,0
2.75e-06,46.09697041559,60.568256375916,0
2.8e-06,46.958484809306,61.692653886793,0
2.85e-06,47.811397907253,62.821073917677,0
2.9e-06,48.663301238792,63.958742159638,0
2.95e-06,49.520116952596,65.10278620752,0
3e-06,50.383860361847,66.244300481613,0
3.05e-06,51.253485963716,67.375958177284,0
3.1e-06,52.126777011965,68.498068932738,0
3.15e-06,53.001262094126,69.617914896882,0
3.2e-06,53.874001958272,70.743466302567,0
3.25e-06,54.741628396074,71.877295929851,0
3.3e-06,55.601667422514,73.015647237354,0
3.35e-06,56.454490833463,74.152595039972,0
3.4e-06,57.304097914916,75.285013157764,0
3.45e-06,58.156542870012,76.414126311366,0
3.5e-06,59.0166991263,77.543095486109,0
3.55e-06,59.885492439296,78.673601035191,0
3.6e-06,60.759519803049,79.804746433521,0
3.65e-06,61.633199273138,80.934811429635,0
3.7e-06,62.501924435124,82.063712025844,0
3.75e-06,63.364218860494,83.193566421301,0
3.8e-06,64.221867598597,84.326855862538,0
3.85e-06,65.078436869672,85.463998704273,0
3.9e-06,65.937394049293,86.602618006248,0
3.95e-06,66.800839985746,87.739177841071,0
4e-06,67.66912236612,88.871592885752,0
4.05e-06,68.541037041979,90.00069401565,0
4.1e-06,69.414279010384,91.129504929304,0
4.15e-06,70.286060792973,92.26106260778,0
4.2e-06,71.153950996004,93.396501628203,0
4.25e-06,72.016813779143,94.534679532164,0
4.3e-06,72.875456807608,95.673336091634,0
4.35e-06,73.732452470762,96.810607466051,0
