time,DJint,Jint,tip,tip_adv,tip_cum
54,0.00021210253314593,0.00051463639624474,10.75,0.25,11
55,0.00023012109725162,0.00061201899720045,11,0.25,11.25
56,0.00028649672352652,0.00067157204387444,11.25,0.25,11.5
57,0.00038950558414058,0.00071707425214736,11.5,0.25,11.75
58,0.00053511950712038,0.00078151997285315,11.75,0.25,12
59,0.0007028176394517,0.00085714733750924,12,0.25,12.25
60,0.00087972452753903,0.00092314600143116,12.25,0.25,12.5
61,0.0010600330306009,0.00099904825370793,12.5,0.25,12.75
62,0.0012238392194495,0.0011164301956474,12.75,0.25,13
63,0.0013449609245749,0.0012688858257383,13,0.25,13.25
64,0.001411527798694,0.0014198932801816,13.25,0.25,13.5
65,0.0014269634241719,0.0015378522534647,13.5,0.25,13.75
66,0.0014010608398976,0.001598356855671,13.75,0.25,14
67,0.001350443064022,0.0015807377727473,14,0.25,14.25
68,0.0013080239444861,0.0014989366366012,14.25,0.25,14.5
69,0.0013219149508127,0.001415517394515,14.5,0.25,14.75
70,0.0014067100226494,0.0013850316859165,14.75,0.25,15
71,0.0015195151391975,0.0014060078317807,15,0.25,15.25
72,0.0016232398822076,0.0014624112823976,15.25,0.25,15.5
73,0.0017138514531389,0.0015597334419932,15.5,0.25,15.75
74,0.0017942706145422,0.0016904033744756,15.75,0.25,16
75,0.0018568764240364,0.0018173863252195,16,0.25,16.25
76,0.0018864514885058,0.0019166225752801,16.25,0.25,16.5
77,0.0018839835889859,0.001991265382046,16.5,0.25,16.75
78,0.0018838866865872,0.0020434011323726,16.75,0.25,17
79,0.0019278706834029,0.0020617256994898,17,0.25,17.25
80,0.0020294273505489,0.0020533053344789,17.25,0.25,17.5
81,0.0021911599019514,0.0020858390983955,17.5,0.25,17.75
82,0.0023944168103025,0.0022314098353353,17.75,0.25,18
83,0.0025756128172064,0.0024848923316202,18,0.25,18.25
84,0.0027176485189725,0.0028015042677113,18.25,0.25,18.5
85,0.0028476082935271,0.0031408891629269,18.5,0.25,18.75
86,0.0029746990857642,0.0034423622714948,18.75,0.25,19
87,0.0031117571659683,0.0036449982897535,19,0.25,19.25
88,0.0032667897166466,0.0037352954224153,19.25,0.25,19.5
89,0.0034155707126686,0.0037428741631953,19.5,0.25,19.75
90,0.0035230951842589,0.0037028763708269,19.75,0.25,20
91,0.0035792381118593,0.0036442213889905,20,0.25,20.25
92,0.0036082174749674,0.003600704830032,20.25,0.25,20.5
93,0.0036515710931237,0.0036159871128859,20.5,0.25,20.75
94,0.003733018840498,0.0037123535331059,20.75,0.25,21
95,0.0038336925973887,0.0038569384074592,21,0.25,21.25
96,0.0039167834316723,0.0039945024673043,21.25,0.25,21.5
97,0.0039678009042991,0.0040921987256438,21.5,0.25,21.75
98,0.0040029641465907,0.0041466324876025,21.75,0.25,22
99,0.0040451283327539,0.0041671117106176,22,0.25,22.25
100,0.0041075183945792,0.0041685617984488,22.25,0.25,22.5
101,0.004202783525691,0.0041836247058241,22.5,0.25,22.75
102,0.0043239435062868,0.0042409957998895,22.75,0.25,23
103,0.0044206617425818,0.0043345904888452,23,0.25,23.25
104,0.0044510540071641,0.0044527276862498,23.25,0.25,23.5
105,0.0044537658537203,0.0046105197635435,23.5,0.25,23.75
106,0.0044892443247792,0.0047992987958494,23.75,0.25,24
107,0.0045340527666916,0.0049575115642693,24,0.25,24.25
108,0.0045409216369946,0.0050507842549824,24.25,0.25,24.5
109,0.0045582364687932,0.005135518176227,24.5,0.25,24.75
110,0.0046611132209165,0.0052594372115472,24.75,0.25,25
111,0.0048271820047704,0.0053773163474236,25,0.25,25.25
112,0.0050020871891507,0.0054617202027296,25.25,0.25,25.5
113,0.005198067456366,0.0055670211485627,25.5,0.25,25.75
114,0.0054303865935201,0.0057210706111202,25.75,0.25,26
115,0.0056415416751174,0.0058734685157811,26,0.25,26.25
116,0.0057816822319641,0.0059860201421087,26.25,0.25,26.5
117,0.0058918045670316,0.006085268539598,26.5,0.25,26.75
118,0.0060248577927576,0.0061934629839299,26.75,0.25,27
119,0.0061640913513904,0.006275523293271,27,0.25,27.25
120,0.0062779752369265,0.0063034978800548,27.25,0.25,27.5
121,0.0063855461462867,0.006317447165527,27.5,0.25,27.75
122,0.0065144404114007,0.0063710458537745,27.75,0.25,28
123,0.0066463189763927,0.0064648576269309,28,0.25,28.25
124,0.0067586642712235,0.006581583622375,28.25,0.25,28.5
125,0.0068689498522164,0.006738218367827,28.5,0.25,28.75
126,0.0069792376719332,0.0069517735630593,28.75,0.25,29
127,0.0070459896574456,0.0071974608784906,29,0.25,29.25
128,0.0070402486346246,0.0074293008263804,29.25,0.25,29.5
129,0.0069678618068647,0.0076117260567492,29.5,0.25,29.75
130,0.0068496075949084,0.0077317210773058,29.75,0.25,30
131,0.0067342789962629,0.007811775679026,30,0.25,30.25
132,0.0067056623849449,0.0079175584904389,30.25,0.25,30.5
133,0.0068061231853684,0.0080971235282464,30.5,0.25,30.75
134,0.0069480194663604,0.0082834171092116,30.75,0.25,31
135,0.0070345394214282,0.0083778193041354,31,0.25,31.25
136,0.0071647961691993,0.008452117770455,31.25,0.25,31.5
137,0.0074727319121124,0.0086478483403764,31.5,0.25,31.75
138,0.0078359567492627,0.0089027376059601,31.75,0.25,32
139,0.0080430891911579,0.0090517957182142,32,0.25,32.25
140,0.0081589573166467,0.009143687011129,32.25,0.25,32.5
141,0.0084119490731939,0.0093526745035849,32.5,0.25,32.75
142,0.0088013475140025,0.0096310400004513,32.75,0.25,33
143,0.0091577870994377,0.0097986129903257,33,0.25,33.25
144,0.0094007572682796,0.00984711808964,33.25,0.25,33.5
145,0.0095301314904514,0.0099046889179666,33.5,0.25,33.75
146,0.0095985301350352,0.010092490822389,33.75,0.25,34
147,0.0096629166785643,0.010418179527686,34,0.25,34.25
148,0.0097189153755203,0.010745321682886,34.25,0.25,34.5
149,0.0097733487642926,0.011000413547405,34.5,0.25,34.75
150,0.0099002345885855,0.01127333499505,34.75,0.25,35
151,0.010136663355276,0.011595157903928,35,0.25,35.25
152,0.010415320491403,0.011842090521929,35.25,0.25,35.5
153,0.010702492015045,0.011965163692048,35.5,0.25,35.75
154,0.011037009220835,0.012085704726549,35.75,0.25,36
155,0.011404886403709,0.012282024872774,36,0.25,36.25
156,0.011742896926316,0.012506488701458,36.25,0.25,36.5
157,0.012037197703686,0.012717306316678,36.5,0.25,36.75
158,0.012300056465448,0.012913319401536,36.75,0.25,37
159,0.012529256267888,0.013085387163304,37,0.25,37.25
160,0.012721691432674,0.013219073831201,37.25,0.25,37.5
