time,DJ1,DJ2,DJint,EW,FE,Fy_top,J,KE,PEW,SE,max_disp_y,preset_ext_power,preset_ext_work_p
4.625,-0.0014544833823941,0.0040584120754916,0.0026039286930975,-5.6594351086093e-08,0.015505514014435,414.87100401569,0.0089983704684995,0.073096864800831,0.49748445774118,0.94608274861933,0.0025,0,0
4.875,-0.0015619945025112,0.0037619439795158,0.0021999494770046,-4.7895408748443e-07,0.017079256916912,411.76549447538,0.0094672189360704,0.078447850856987,0.49748446774597,0.93902368826926,0.0025,0,0
5.125,-0.001155173074197,0.0029463976170246,0.0017912245428277,-3.0301075530626e-06,0.018680590422074,405.103473389,0.0098826086627166,0.083807264181568,0.49748449344577,0.93206441500604,0.0025517628338876,0,0
5.375,-0.00046645714350281,0.0018637785996457,0.0013973214561429,-1.4318685388524e-05,0.020322511085342,393.17595163351,0.010105762002783,0.088788816433974,0.49748454992496,0.92572617486798,0.0026927373424516,0,0
5.625,0.00018462609426575,0.00078855426057808,0.00097318035484382,-5.0536001610655e-05,0.022002877488004,375.68757925004,0.0099916572454403,0.092678826356743,0.49748465540913,0.92086492786043,0.0028163095015956,0,0
5.875,0.00071229471274623,-9.0945651434622e-05,0.00062134906131161,-0.00013355249997814,0.023729699214954,355.40974649428,0.0095542155198044,0.094934094921931,0.49748482110643,0.9175836791086,0.0029263888648867,0,0
6.125,0.0012758545136008,-0.00080965086638987,0.0004662036472109,-0.00026678270548758,0.025482497622658,338.19267904284,0.0091216954045047,0.096230451913287,0.49748503625028,0.91445671405298,0.0030280255778162,0,0
6.375,0.0019059272066072,-0.0014499837898708,0.00045594341673641,-0.00041316712768016,0.027275569769724,329.87397623396,0.0090259748660852,0.098111472907445,0.49748525978593,0.91012720160679,0.0031238878054155,0,0
6.625,0.002320509497426,-0.0020084714436665,0.00031203805375952,-0.00052428503445122,0.029113245274115,331.57296859192,0.0090456296324851,0.10070661993715,0.49748543237679,0.90564649317258,0.003215057841227,0,0
6.875,0.0024132231371765,-0.0024002683296094,1.2954807567116e-05,-0.00059728612631835,0.031000247922709,337.88980789054,0.00875776512991,0.10276708688416,0.49748550813485,0.90209075070871,0.0033032122582682,0,0
7.125,0.0024190503950623,-0.0026408355392803,-0.00022178514421799,-0.00067191954718038,0.032938490863805,341.00956979371,0.0082530540691086,0.10418001505784,0.49748548302843,0.89873864729725,0.0033904759653605,0,0
7.375,0.0023794836998052,-0.0027128579206105,-0.00033337422080531,-0.00077967533813399,0.034916126810839,337.44253312201,0.0077560359941368,0.1055394599836,0.49748539277439,0.89531959718089,0.0034787160807211,0,0
7.625,0.0021869113105019,-0.0026885640710306,-0.00050165276052871,-0.00092454285484754,0.036946401885752,330.28016927419,0.0072229295371492,0.10677289311075,0.49748528027114,0.89205103183736,0.0035674160306542,0,0
7.875,0.0019094485110287,-0.0025935318992807,-0.00068408338825192,-0.0010923999929571,0.039038018567304,324.56880085011,0.006657255725595,0.10788874933443,0.49748516435779,0.88876891268766,0.0036554640332773,0,0
8.125,0.0016381600316699,-0.0025187067300906,-0.00088054669842075,-0.0012570808644524,0.041195016257105,321.6642583065,0.0061340490745399,0.10878362717448,0.4974850380936,0.88583498540779,0.0037433795763485,0,0
8.375,0.00139794207104,-0.0025083129112883,-0.0011103708402483,-0.0013829927203907,0.043427756161513,319.16239875537,0.0056518789372275,0.10913617587321,0.49748488888274,0.88344730673307,0.003831250609854,0,0
8.625,0.0011849950471467,-0.0025293372636237,-0.0013443422164769,-0.0014361327849935,0.045734510918818,315.1621920429,0.0051777849459052,0.10889341219023,0.49748471137737,0.88155589918426,0.0039194626991666,0,0
8.875,0.0010047965863663,-0.0024701429114685,-0.0014653463251021,-0.0014086627169948,0.048122721292781,310.47929763646,0.0047372673375083,0.10807458560812,0.49748450253882,0.88014757648663,0.0040074423258703,0,0
9.125,0.00088167949628429,-0.0023490767859096,-0.0014673972896253,-0.0013322114677123,0.05059583995731,306.67411164707,0.0043963825560042,0.10667443515984,0.49748425549832,0.87922259530632,0.0040950385361651,0,0
9.375,0.00080637739525996,-0.0022880753863935,-0.0014816979911335,-0.0012500899583992,0.053147197624775,303.82843400731,0.0041463932507305,0.10469975889724,0.49748396689704,0.8787811749826,0.0041820372687635,0,0
9.625,0.00072419843758954,-0.0023483104094119,-0.0016241119718223,-0.0011759039384644,0.055783322039134,301.04713581537,0.0038720370376903,0.10216855759768,0.49748365011679,0.87879794266647,0.0042680044609377,0,0
9.875,0.00060376741831192,-0.002583433376577,-0.0019796659582651,-0.0011011155049462,0.05849697315735,297.92795688215,0.0034809586964244,0.099080332301571,0.49748333787604,0.87931363196478,0.0043514788854733,0,0
10.125,0.00046662852952953,-0.0027147244668211,-0.0022480959372916,-0.0010285037008993,0.06126464054498,294.63733667178,0.0030088290788223,0.095428901091315,0.49748306949822,0.88031215251902,0.0044291172006897,0,0
10.375,0.00034020434443264,-0.0026732103866108,-0.0023330060421781,-0.00096692313101302,0.064114733513103,291.21650841819,0.0025408111240676,0.091331364135412,0.49748287228217,0.88153209667537,0.0044950015314043,0,0
10.625,0.00023732389898978,-0.0026998129195195,-0.0024624890205297,-0.00091112530154217,0.066983180457068,287.56488705397,0.0021322207472546,0.08708165097871,0.49748275051046,0.88266008603186,0.0045408570320854,0,0
10.875,0.00016285596609397,-0.0027728442626705,-0.0026099882965765,-0.0008532188214541,0.069899795857988,283.78719671965,0.0018271328474118,0.083120262139353,0.49748269003986,0.88317800073087,0.0045578979898421,0,0
11.125,0.00010116554585005,-0.0030367671643266,-0.0029356016184766,-0.00079947785418959,0.072804937229214,280.07068547138,0.0016376087072697,0.079869022433752,0.49748267412901,0.88288457393463,0.0045401789455439,0,0
11.375,8.5831898842519e-06,-0.0032607315642227,-0.0032521483743385,-0.00076007671231099,0.075666381932784,276.39107651481,0.0014799035606011,0.077264517971486,0.4974826958514,0.88213249185324,0.0044885365258489,0,0
