time,DJ,DJ1,DJ2,EW,FE,Fy_top,J,KE,PEW,SE,max_disp_y,preset_ext_power,preset_ext_work_p
21,0.0016996083439873,0.0067057445637068,-0.0050061362197195,-0.0073027739058674,0.1824476947496,234.62820763434,0.0032140751913873,0.24392912744589,0.49519224665053,0.58349260484019,0.0029135656504174,0,0
21.25,0.0015240396239354,0.0067016430505944,-0.005177603426659,-0.0065507987481248,0.1862383489867,232.64405577779,0.0030974255864948,0.23231152440379,0.49519265694566,0.58807690129928,0.0029363193252801,0,0
21.5,0.001229119528964,0.006754844452746,-0.005525724923782,-0.0058397276249786,0.1901859040804,229.79955466281,0.0032159172947526,0.22796156526081,0.49519307745486,0.58405281542067,0.0029623104454238,0,0
21.75,0.0015471022114982,0.0068766422950382,-0.00532954008354,-0.0051370185909754,0.19420926888847,228.72540037805,0.0036342892968461,0.23232786784796,0.49519351101703,0.57100986942416,0.0029884071848333,0,0
22,0.0009612207795449,0.0070352220656018,-0.0060740012860569,-0.0044713142511271,0.19824398041824,229.9676905425,0.0043390765102088,0.24419512053165,0.49519396036953,0.55215310289198,0.0030120746585111,0,0
22.25,-0.00011288845428403,0.0071647781470099,-0.0072776666012939,-0.0039073134175424,0.20232036535275,232.17505998843,0.005205302690441,0.25906949365629,0.49519442494025,0.53338610216879,0.0030384374731595,0,0
22.5,-0.0012361394079024,0.0072135317946607,-0.0084496712025631,-0.00349125847869,0.20647821118204,233.89564339899,0.0060527309388768,0.27111883404681,0.49519490032217,0.51977086882014,0.0030695333247141,0,0
22.75,-0.0014705192227983,0.0071898646300495,-0.0086603838528477,-0.0032167200238815,0.21072845809203,234.82880978696,0.0067733466468492,0.27765183137682,0.4951953802957,0.51108169502048,0.0030995518973722,0,0
23,-0.000673390724691,0.0071392697246011,-0.0078126604492921,-0.0030401360703889,0.21501635585096,235.51708231318,0.0073872104596195,0.28149175159964,0.49519585978901,0.50230177053252,0.0031295555261698,0,0
23.25,-0.00086779595723052,0.0070817823224963,-0.0079495782797269,-0.0029144455222849,0.2193579629192,236.32121299427,0.0079468627343752,0.28754663408556,0.49519633673926,0.48949210804355,0.0031632027056497,0,0
23.5,-0.0012150877357516,0.0070057797196924,-0.008220867455444,-0.0028065390841503,0.22378536629824,237.00722358862,0.0084162515111811,0.29734591367602,0.49519681186355,0.47387548738892,0.0031991511822727,0,0
23.75,-0.001124704653064,0.0069263412117997,-0.0080510458648637,-0.0027046572861893,0.22825192661078,237.21330385469,0.0086882091555504,0.3079320868023,0.49519728700848,0.45913467133492,0.0032503224494504,0,0
24,-0.001026815734596,0.006918863406289,-0.007945679140885,-0.0026136880227588,0.23270624765539,236.97555601801,0.0087163249248782,0.31731069685004,0.49519776340869,0.44548365603552,0.0032884826612884,0,0
24.25,-0.0014134522684623,0.0070713191141369,-0.0084847713825992,-0.0025326272782476,0.23713775057976,236.58675468286,0.0085835593422771,0.32717923477731,0.49519824033614,0.42986888057454,0.0033150506102354,0,0
24.5,-0.0018739089437373,0.0074165425442016,-0.0092904514879388,-0.0024441247167145,0.24166606654455,235.98883427239,0.0084220366471741,0.3397023597945,0.4951987136636,0.41126016718523,0.0033692093277875,0,0
24.75,-0.00065611750962735,0.0079390204313979,-0.0085951379410252,-0.0023343940629445,0.2463026689915,234.43224958644,0.0083081351432417,0.35406134810169,0.495199174358,0.39129681329773,0.0034210865594584,0,0
25,-0.00063532226756402,0.0086256143879369,-0.0092609366555009,-0.002214626683788,0.25096095220863,230.70454299963,0.0082652966294057,0.36916367625644,0.49519960833416,0.37044428981879,0.003454528297143,0,0
25.25,-0.00095067026875748,0.0094531306779295,-0.010403800946687,-0.0021125822788812,0.25559409600553,223.48864545614,0.0083139027407677,0.38564855713944,0.49519999927591,0.34807941942529,0.0034729918981277,0,0
25.5,-0.0023651132485361,0.010339258330731,-0.012704371579267,-0.0020419443415476,0.26022624648529,211.32758727277,0.0084659322936613,0.40377358921518,0.49520033404676,0.32479619341439,0.0034938417880777,0,0
