time,DJint,DJint_2,Jint,dt,external_work,kinetic_energy,strain_energy,tip,tip_adv,tip_cum,top_react
46.962500000002,0.0032501734236933,0.00069597146650712,0.0032555636251671,0.0125,0.067689337061511,0.00040113201010997,0.024162711157084,20.95,0.0125,10.9625,66.493832639835
46.975000000002,0.0032489338098668,0.00068130154556279,0.0032545825532856,0.0125,0.067729187067464,0.00039033235010652,0.024196411797368,20.9625,0.0125,10.975,66.463274761807
46.987500000002,0.0032475461334459,0.00066850457106312,0.003253452782573,0.0125,0.067769019911389,0.00038234595866067,0.024229899694929,20.975,0.0125,10.9875,66.429780903791
47.000000000003,0.0032459966446583,0.00063691770499807,0.0032521591818396,0.0125,0.067808833687073,0.0003759696271225,0.024264525278761,20.9875,0.0125,11,66.393106507949
47.012500000003,0.0032442686182933,0.00060131639178559,0.0032506838506958,0.0125,0.067848626194829,0.00036923058262348,0.024301510368736,21,0.0125,11.0125,66.35295194649
47.025000000003,0.0032423499389347,0.00058143829068291,0.0032490137393646,0.0125,0.067888395010015,0.0003619346256269,0.024339908128269,21.0125,0.0125,11.025,66.309087227589
47.037500000003,0.0032402389349191,-0.0020191158245135,0.0032471464036837,0.0125,0.067928137650186,0.00038381526459106,0.024134935090137,21.025,0.0125,11.0375,66.261451205773
47.050000000003,0.0032379463280175,-0.00092043433445886,0.003245091805568,0.0125,0.067967851778208,0.00043890646228565,0.024079155717823,21.0375,0.0125,11.05,66.210188677047
47.062500000003,0.0032354926627934,0.00048030530667995,0.0032428695923447,0.0125,0.068007535366148,0.00044179048538231,0.024094557070335,21.05,0.0125,11.0625,66.155612447585
47.075000000003,0.0032329023118981,0.00070040509808778,0.0032405030228636,0.0125,0.068047186761428,0.00043000850321588,0.024122665729598,21.0625,0.0125,11.075,66.09810664647
47.087500000003,0.0032301964364016,0.0007014757573446,0.0032380119686344,0.0125,0.068086804636035,0.00041690925516307,0.024155575275199,21.075,0.0125,11.0875,66.038010246228
47.100000000003,0.0032273876170426,0.00068821903785318,0.0032354077147886,0.0125,0.068126387845384,0.00040608179722242,0.02418891832701,21.0875,0.0125,11.1,65.975526448971
47.112500000003,0.003224478164538,0.00067606657995993,0.0032326915322808,0.0125,0.068165935257445,0.00039851984720566,0.024221700421036,21.1,0.0125,11.1125,65.9106921409
47.125000000003,0.0032214626737283,0.00064474954672481,0.0032298575128003,0.0125,0.06820544562267,0.00039244271769708,0.024255947638791,21.1125,0.0125,11.125,65.843417638524
47.137500000003,0.0032183337645838,0.0006095319981132,0.0032268985211841,0.0125,0.06824491753824,0.00038546157805667,0.024293100124891,21.125,0.0125,11.1375,65.77358014955
47.150000000003,0.0032150887454113,0.00059061190525404,0.0032238129256857,0.0125,0.068284349523161,0.00037763575336733,0.024331732160579,21.1375,0.0125,11.15,65.701134237587
47.162500000003,0.0032117345811916,-0.0019959919700771,0.0032206094528919,0.0125,0.068323740177189,0.00039915145464374,0.024127614368989,21.15,0.0125,11.1625,65.626195899567
47.175000000003,0.0032082891995235,-0.0009002834809751,0.0032173082162619,0.0125,0.06836308836287,0.00045425907293918,0.024071484951903,21.1625,0.0125,11.175,65.549066412396
47.187500000003,0.0032047785914089,0.00049657616897165,0.003213937441293,0.0125,0.068402393339593,0.00045744755138658,0.024086413509556,21.175,0.0125,11.1875,65.470185244363
47.200000000003,0.0032012308129931,0.00071785659655597,0.003210527088876,0.0125,0.068441654796398,0.00044549116274199,0.024114631660962,21.1875,0.0125,11.2,65.390029528258
47.212500000003,0.0031976692046072,0.00072042724128642,0.003207101789427,0.0125,0.068480872769668,0.00043177809091582,0.024147888259827,21.2,0.0125,11.2125,65.308999135551
47.225000000003,0.0031941074339082,0.00070803830759029,0.0032036757631619,0.0125,0.068520047476571,0.00042049961283791,0.024181171410473,21.2125,0.0125,11.225,65.227332023484
47.237500000003,0.0031905482484318,0.00069608668585577,0.0032002516334871,0.0125,0.068559179127441,0.00041299209369803,0.024213369677237,21.225,0.0125,11.2375,65.145082311845
47.250000000003,0.0031869863963135,0.00066445266994037,0.0031968235621118,0.0125,0.068598267788152,0.00040716497850161,0.024247022157402,21.2375,0.0125,11.25,65.062169230721
47.262500000003,0.003183414591194,0.00062861642053024,0.0031933835100538,0.0125,0.068637313344607,0.00040009279088695,0.02428405425426,21.25,0.0125,11.2625,64.978478389146
47.275000000003,0.0031798302385409,0.00060920761216235,0.0031899282499625,0.0125,0.068676315583033,0.00039172298600098,0.024322935465982,21.2625,0.0125,11.275,64.893977166147
47.287500000003,0.0031762403331317,-0.0019652505490601,0.0031864644546246,0.0125,0.068715274355554,0.00041252255142954,0.024119996786286,21.275,0.0125,11.2875,64.808800073337
47.300000000003,0.003172662616052,-0.00087379414735486,0.0031830098962893,0.0125,0.068754189766882,0.00046719760084161,0.024063832181256,21.2875,0.0125,11.3,64.723270289949
47.312500000003,0.0031691225114022,0.00051814478424749,0.0031795902689404,0.0125,0.068793062308342,0.0004705484006543,0.024078202211148,21.3,0.0125,11.3125,64.63784743128
47.325000000003,0.0031656469987571,0.00073999253373944,0.0031762328279238,0.0125,0.068831892884582,0.00045862255329854,0.024106202105073,21.3125,0.0125,11.325,64.553020331918
47.337500000003,0.0031622577631297,0.00074391079153318,0.0031729592608816,0.0125,0.068870682719106,0.00044444345633974,0.024139719752096,21.325,0.0125,11.3375,64.469185421196
47.350000000003,0.0031589662298797,0.00073260995553925,0.003169780481754,0.0125,0.068909433170993,0.00043247890293577,0.024173290550276,21.3375,0.0125,11.35,64.386556878045
47.362500000003,0.003155772354595,0.00072137545426656,0.0031666952899866,0.0125,0.068948145528542,0.00042455876042411,0.024205362031615,21.35,0.0125,11.3625,64.305142264708
47.375000000003,0.0031526676081928,0.00069001248967178,0.0031636933747612,0.0125,0.06898682085416,0.00041870344553999,0.024238566874874,21.3625,0.0125,11.375,64.224792554758
47.387500000003,0.0031496410222835,0.00065382657391,0.0031607615254936,0.0125,0.069025459935934,0.00041161723318488,0.024275312162781,21.375,0.0125,11.3875,64.145308188414
47.400000000003,0.0031466860129547,0.00063354393934948,0.0031578907213457,0.0125,0.069064063362446,0.00040286583527171,0.024314348507918,21.3875,0.0125,11.4,64.066562512754
47.412500000003,0.0031438054014424,-0.001934772158684,0.0031550814455504,0.0125,0.069102631692143,0.00042289096585209,0.024112429655524,21.4,0.0125,11.4125,63.988597436492
47.425000000003,0.0031410127253564,-0.00084705525989862,0.0031523452412152,0.0125,0.069141165653584,0.00047682411900359,0.024056593316178,21.4125,0.0125,11.425,63.911656035843
47.437500000003,0.0031383293491818,0.00054088250901626,0.0031497019602357,0.0125,0.069179666301683,0.00048001378751203,0.024070646818532,21.425,0.0125,11.4375,63.836140458255
47.450000000003,0.0031357784935007,0.00076244611247937,0.0031471738047886,0.0125,0.069218135072664,0.00046818897602091,0.02409824648179,21.4375,0.0125,11.45,63.762512183671
47.462500000003,0.003133378465737,0.0007669383497612,0.003144778465627,0.0125,0.069256573720019,0.00045385501326846,0.024131767176101,21.45,0.0125,11.4625,63.691173754911
47.475000000003,0.0031311376338115,0.00075639168106171,0.0031425239517966,0.0125,0.069294984159142,0.00044130017073143,0.02416573963225,21.4625,0.0125,11.475,63.622377201747
47.487500000003,0.003129052962693,0.00074599250622811,0.0031404069975242,0.0125,0.069333368281692,0.00043267761809718,0.024198155903801,21.475,0.0125,11.4875,63.556192585124
47.500000000003,0.0031271125424653,0.00071535298664978,0.0031384155312839,0.0125,0.06937172780979,0.00042643725965753,0.024231291263792,21.4875,0.0125,11.5,63.492546080802
