time,DJint,DJint_2,DJint_box,DJint_box_2,Jint,Jint_box,bot_react,external_work,fracture_energy,kinetic_energy,strain_energy,top_react
5,-7.7643716627202e-05,0.00010095842740451,-3.4655434148768e-05,3.1148309989945e-05,-7.7109951487782e-06,-2.1693431545287e-05,45.216252226719,0.053946402223118,0.031180183188201,0.0025643210117488,0.0070124312517719,-45.216252226719
5.5,1.496247617524e-05,-2.6268939763926e-05,-3.8554101631267e-05,2.9707985632866e-05,4.3076624451823e-05,-3.5437925631197e-05,62.567867918299,0.054143259147479,0.031180183325282,0.00099656752884923,0.0083071704673318,-62.567867918299
6,6.1300630087849e-05,-6.7823384765009e-05,-5.1032618742123e-05,3.3638454474386e-05,6.2765472927164e-05,-5.0493033347534e-05,69.727565501838,0.054373268540851,0.031180183408401,0.0001553862646296,0.0085403281441843,-69.727565501838
6.5,3.2254788327974e-05,-5.1554428441267e-05,-5.5883721613446e-05,3.8426722263551e-05,5.4699856151571e-05,-4.7951299394783e-05,61.150862787429,0.054587797082996,0.031180183447592,0.00087610135154187,0.0072288981370753,-61.150862787429
7,-6.5304068351978e-05,5.7792284291364e-05,-4.3004895666693e-05,3.6477267555756e-05,1.1338000701989e-05,-2.5542698589246e-05,40.567386228041,0.054743440924531,0.031180183499774,0.0021632730231588,0.0060060128931015,-40.567386228041
7.5,-0.0001853622345349,0.00018194419719182,-2.4443830531613e-05,3.6941479997388e-05,-7.1944393910865e-05,2.145961723456e-06,19.349535094343,0.054830416219785,0.031180183499856,0.0023590416404086,0.0062176900952394,-19.349535094343
8,-0.00025598292723898,0.00023643209153768,-1.1866983806919e-05,8.9576136320205e-06,-0.00017612642810612,1.5674559398141e-06,7.7098504244718,0.054875378481457,0.031180183500539,0.0013833391996861,0.0072749381983355,-7.7098504244718
8.5,-0.00023895830570965,0.00023731508524636,-9.0848162598485e-07,3.8204294375637e-06,-0.00021443501290972,-8.797156198052e-08,7.6032844694175,0.054917618441758,0.031180183506516,0.00035091730816984,0.0079782309474557,-7.6032844694175
9,-0.00017571618892622,0.00019692625032237,7.2164307825771e-07,6.7821957473737e-06,-0.0001746953645339,1.7123720916885e-06,14.485006255994,0.054986030542205,0.031180183506516,0.00011691048138242,0.0077617335288725,-14.485006255994
9.5,-0.00010088320136852,0.00013049595585796,-1.216973944669e-06,7.7673690305492e-06,-9.2313356977511e-05,2.8489549249965e-06,23.81646573983,0.055096224290464,0.031180183506516,0.00064371931260044,0.007026743386327,-23.81646573983
10,-2.7145968286293e-05,5.2168213321151e-05,-4.5598117167943e-06,6.0483837602394e-06,-4.6733322427809e-06,5.0281666163098e-07,33.963764394183,0.055258362651925,0.031180183506516,0.0011347906738924,0.006718152314911,-33.963764394182
10.5,4.6848813588423e-05,-3.0212070975357e-05,-5.8346143054055e-06,4.2449914335747e-06,6.9380829505049e-05,-2.7077399537538e-06,44.102672710866,0.055478361010127,0.031180183506516,0.00096822421164313,0.0072063264169951,-44.102672710866
11,0.00011334884777377,-0.0001025432787428,-3.9175248294768e-06,2.5497841317191e-06,0.00012394560812653,-2.64727448131e-06,52.092503386684,0.055751645791023,0.031180183506516,0.00038763691435849,0.0079524419324689,-52.092503386684
11.5,0.00014916249043337,-0.00014121531561516,-1.64902247149e-06,2.1724360564464e-06,0.00015239449492706,9.704569189574e-07,55.222568586713,0.056059710485445,0.031180183506516,6.3276042578001e-05,0.0082847305136174,-55.222568586713
12,0.00013191291343975,-0.00012709821747026,-1.364888022782e-06,2.2488251714933e-06,0.00014324320980225,3.9215754031107e-06,52.198448884463,0.056374456199825,0.031180183506516,0.00029499411268914,0.0081011606019179,-52.198448884463
12.5,6.0269191949724e-05,-6.0946471187332e-05,-1.1923976668313e-06,9.6028249198054e-07,8.8986758393939e-05,3.2711618871914e-06,44.15990186183,0.056668136208156,0.031180183506516,0.00077666551735419,0.0078528096337788,-44.15990186183
13,-4.0525557745571e-05,3.6684260804503e-05,1.7092526276819e-06,-2.2922462935083e-07,1.7100088722295e-06,3.7375783702683e-06,34.26524783864,0.056924792267693,0.031180183506516,0.00098573263110631,0.0080073976107002,-34.26524783864
13.5,-0.0001324512710617,0.00013013416813525,4.1791305028074e-06,-2.082042964077e-07,-9.1103423813486e-05,5.3449935021605e-06,26.295959862498,0.057148214441096,0.031180183506516,0.00073488408291623,0.008562797235621,-26.295959862498
14,-0.0001797064802424,0.00018625261280093,3.9087806233516e-06,1.9332907086965e-06,-0.00015245903666605,5.5976292931723e-06,22.984564320544,0.057361824715888,0.031180183506516,0.00031108648525071,0.0091259186161587,-22.984564320544
14.5,-0.00016673729530888,0.00018645010730082,1.7024879566967e-06,4.4650128726301e-06,-0.00015543527119789,3.6603711305133e-06,24.978174869117,0.057600256286124,0.031180183506516,9.7941563986665e-05,0.0094006190249634,-24.978174869117
15,-0.00010261468868206,0.00013355318020909,-1.0761038983003e-07,5.5488618636669e-06,-9.990857946357e-05,1.1353878897469e-06,30.986810240796,0.057897595219528,0.031180183506516,0.00017597957680229,0.0094780425329788,-30.986810240796
15.5,-1.197908749645e-05,4.7861346749942e-05,-6.2149388512183e-07,5.091738631039e-06,-1.0249846171414e-05,-2.1113621990169e-07,38.769979319652,0.058278172906392,0.031180183506516,0.00031996763998677,0.0096723545927079,-38.769979319652
16,7.8585527551237e-05,-4.3736153985486e-05,-2.4943837272084e-07,3.8513044103104e-06,8.1909506170618e-05,-6.7164593536654e-08,46.132555309234,0.058752464090662,0.031180183506516,0.00030521427642048,0.010162589239891,-46.132555309234
16.5,0.00014806860201014,-0.00011687308507803,6.2568935517924e-07,2.3659775897918e-06,0.00015300816280191,1.045232900649e-06,51.434701976178,0.059317058397549,0.031180183506516,0.00015135672584867,0.010833570338273,-51.434701976178
17,0.00018135066966399,-0.0001535303925444,1.9782200129463e-06,8.3543743086444e-07,0.00019065199823879,2.7610577138512e-06,53.720048831606,0.059956890390172,0.031180183506516,6.2809731179597e-05,0.011447660206162,-53.720048831606
17.5,0.00016907376580679,-0.00014355616785346,3.7212121568115e-06,-5.4071340486936e-07,0.00018907420966201,4.8777794390113e-06,52.783086830934,0.060649425724561,0.031180183506516,0.00017502851302037,0.011916385315917,-52.783086830934
18,0.00011163155188169,-8.7507360104441e-05,5.6659581708646e-06,-1.575785841196e-06,0.00014743256789161,7.1168691615761e-06,49.261665395302,0.061371463627761,0.031180183506516,0.00040775513905304,0.012369592495675,-49.261665395302
18.5,2.3855739545786e-05,5.5357568997982e-07,7.6862355784721e-06,-2.2233680710961e-06,7.3965244614824e-05,9.1548152459097e-06,44.564428257475,0.062107924262965,0.031180183506516,0.00056456417618902,0.012987931749674,-44.564428257475
19,-6.6351062759047e-05,9.4726795269442e-05,9.4629234345605e-06,-2.3313343231218e-06,-1.0377756010306e-05,1.0578051852906e-05,40.471928898872,0.062859687657141,0.031180183507246,0.00053621657779738,0.013815833637243,-40.471928898872
