time,Jint,Jint_box,bot_react,disp_upper,external_work,kinetic_energy,strain_energy,top_react
12,0.00024624384080289,-3.8601363816153e-05,28.280764700335,2.9073417125774e-05,0.0084295795025525,6.2120842568755e-05,0.0049563645574791,-28.280764700335
12.5,0.00025715130266234,-4.0399785194354e-05,28.53416060535,2.9229550639233e-05,0.0085362659478616,7.0757538993804e-05,0.0050622040147455,-28.53416060535
13,0.00026902381559965,-4.2358016414303e-05,28.79645861075,2.9387806460138e-05,0.008649300237155,8.0796149211489e-05,0.00517429146552,-28.79645861075
13.5,0.00028197466454338,-4.4494693102064e-05,29.068236298821,2.95482014846e-05,0.0087693350765382,9.2466345879255e-05,0.0052932647268417,-29.068236298821
14,0.00029613057916091,-4.6830792850985e-05,29.350118940851,2.9710751642055e-05,0.0088971040596584,0.00010602766700946,0.0054198404538389,-29.350118940851
14.5,0.00031163263164075,-4.9389885340885e-05,29.642782987126,2.9875472441728e-05,0.0090334293633295,0.00012176932010505,0.0055548217360749,-29.642782987126
15,0.00032863691888312,-5.2198387354875e-05,29.946959547953,3.0042379754768e-05,0.0091792287756671,0.00014000798548669,0.0056991050998289,-29.946959547953
15.5,0.00034731494852908,-5.5285814894888e-05,30.263437794824,3.0211490868009e-05,0.009335521467007,0.00016108290090584,0.0058536863519186,-30.263437794824
16,0.00036785366285277,-5.8685022429751e-05,30.593068202948,3.0382825836636e-05,0.0095034318319593,0.00018534749225137,0.0060196646145997,-30.593068202948
16.5,0.00039045507017969,-6.2432417249215e-05,30.936765552117,3.0556409147812e-05,0.0096841907194261,0.00021315691343227,0.0061982438785128,-30.936765552117
17,0.00041533551357521,-6.6568135213716e-05,31.295511602911,3.0732271685238e-05,0.0098791334690231,0.00024485112053321,0.0063907314828673,-31.295511602911
17.5,0.00044272468888868,-7.1136163190557e-05,31.670357369634,3.0910452956036e-05,0.010089694426499,0.00028073356556556,0.0065985331586479,-31.670357369634
18,0.00047286461795094,-7.6184393448225e-05,32.062424918963,3.1091003508669e-05,0.010317398038957,0.00032104625372165,0.0068231446660474,-32.062424918963
18.5,0.0005060088667237,-8.1764596455899e-05,32.472908631853,3.1273987437567e-05,0.010563847219161,0.00036594270945557,0.0070661406140229,-32.472908631853
19,0.00054242234339841,-8.7932300963233e-05,32.903075872776,3.145948484217e-05,0.010830710353367,0.0004154612171331,0.0073291617133709,-32.903075872776
19.5,0.00058238198798734,-9.4746573767026e-05,33.354267011648,3.1647594091267e-05,0.011119708992018,0.0004695013569047,0.0076139023781225,-33.354267011648
20,0.00062617855373317,-0.00010226969583793,33.827894737985,3.18384337431e-05,0.011432608751982,0.00052780713654764,0.0079221011055872,-33.827894737985
20.5,0.00067411948524328,-0.00011056673595269,34.325442593951,3.2032143990969e-05,0.011771216114146,0.00058995975273635,0.008255536275739,-34.325442593951
21,0.00072653265104347,-0.0001197050270759,34.848462635983,3.2228887542581e-05,0.012137383507141,0.00065538213446053,0.0086160297946972,-34.848462635983
21.5,0.00078377044561751,-0.00012975355397598,35.398572118952,3.2428849895004e-05,0.012533024302363,0.00072335601664121,0.0090054603251306,-35.398572118952
22,0.0008462136016263,-0.00014078226268749,35.977449088881,3.2632239028083e-05,0.012960138194951,0.00079305060940949,0.0094257867667414,-35.977449088881
22.5,0.0009142739953842,-0.00015286130347968,36.58682677609,3.2839284598392e-05,0.013420846097464,0.0008635603129544,0.0098790813425528,-36.58682677609
23,0.00098839580312379,-0.00016606021927218,37.228486703674,3.305023676427e-05,0.013917432369659,0.0009339477237084,0.010367570343391,-37.228486703674
23.5,0.001069054549535,-0.00018044709143175,37.904250466541,3.3265364803937e-05,0.01445239118159,0.001003287625354,0.010893679516963,-37.904250466541
24,0.001156753833658,-0.00019608765509483,38.615970190241,3.3484955700309e-05,0.015028473223049,0.0010707078280185,0.011460080434711,-38.615970190241
24.5,0.0012520197632027,-0.00021304439697014,39.365517740595,3.3709312859019e-05,0.015648728893497,0.001135423505843,0.012069734008628,-39.365517740595
25,0.0013553933314601,-0.00023137565014394,40.154772817713,3.3938755104415e-05,0.016316544492797,0.0011967628570487,0.012725927638478,-40.154772817713
25.5,0.0014674211085836,-0.00025113470264448,40.985610125111,3.4173616067572e-05,0.0170356686671,0.0012541831978975,0.0134323031429,-40.985610125111
26,0.0015886446912546,-0.00027236893910625,41.859885851707,3.4414244046552e-05,0.017810227291679,0.0013072777616758,0.014192873518319,-41.859885851707
26.5,0.0017195893766451,-0.00029511903734578,42.779423738876,3.4661002387201e-05,0.0186447259414,0.0013557743472169,0.01501202752572,-42.779423738876
