time,DJ,DJ_box,DJint,DJint_2,DJint_box,DJint_box_2,Jint,Jint_box,bot_react,external_work,fracture_energy,kinetic_energy,strain_energy,top_react
8.5,0.00022518423616783,0.00017116406014025,6.2137205654763e-05,0.00016304703051306,-4.3903228348511e-06,0.0001755543829751,0.00019572967327672,6.8854439828061e-05,-13.718313428769,0.059173500774144,0.031137410146642,0.0014952846723556,0.0063654040243005,13.718313428769
9,0.00019292367230426,0.0001431750646308,0.00011643603084495,7.6487641459305e-05,6.6467899617613e-05,7.6707165013183e-05,0.00026676979773199,0.00014409495096418,-20.246393879887,0.05927384068706,0.031137715307062,0.0010338183095006,0.0065449805640156,20.246393879887
9.5,0.00014642495663684,0.00011095540228188,0.00016865099915335,-2.2226042516512e-05,0.00011871886402507,-7.7634617431917e-06,0.00028805172321308,0.00017561640020483,-27.770169448671,0.059398424917429,0.031138256953653,0.0009889262990958,0.0064467218330164,27.770169448671
10,0.00011131210160434,9.0023953216189e-05,0.00022389013095105,-0.00011257802934672,0.0001371308654867,-4.710691227051e-05,0.00028202049880421,0.00016432623655983,-35.435640975878,0.059549439823924,0.031138797046347,0.00097966546373653,0.0064929618181969,35.435640975878
10.5,8.6344634333403e-05,6.9259637211062e-05,0.00025568088625244,-0.00016933625191904,0.00010018449527027,-3.0924858059209e-05,0.00027131919201867,0.00011362114716831,-42.785619753651,0.059727724323562,0.031138918249141,0.00080116019873656,0.0067353609458379,42.785619753651
11,3.0858214368312e-05,1.137116335415e-05,0.00020271377485618,-0.00017185556048787,-1.1396360327772e-05,2.2767523681921e-05,0.00022210907138725,7.5680716434268e-06,-48.06502681208,0.059927112757709,0.031138930627,0.00067374606138996,0.0068334083477743,48.06502681208
11.5,-3.0819286940028e-05,-4.7539238555383e-05,8.7410841425266e-05,-0.00011823012836529,-0.00012666510453272,7.912586597734e-05,0.000148653205554,-9.5290505727272e-05,-48.922726718027,0.06013071207858,0.031138936055375,0.00090595096764484,0.0065275102550316,48.922726718027
12,-6.9318663525521e-05,-7.5524089469226e-05,-6.5915589461923e-05,-3.4030740635988e-06,-0.00020198714638548,0.00012646305691625,6.3372039224683e-05,-0.0001476905174163,-44.316970081311,0.060314476687731,0.031138938872677,0.0014726780205456,0.0059582053121221,44.316970081311
12.5,-5.4191472870275e-05,-4.8102223473036e-05,-0.00022946269553924,0.00017527122266896,-0.00022576504947893,0.00017766282600589,-2.0720312859894e-05,-0.00013394168068292,-35.485818294754,0.060456756527241,0.031138939026328,0.002028216357878,0.0055258383703819,35.485818294754
13,6.5409853949848e-05,8.0569686641923e-05,-0.000312932219262,0.00037834207321184,-0.00013976598896205,0.00022033567560397,-4.4541662055782e-05,-1.5505602424021e-05,-25.361147562982,0.060546687196736,0.03113893925653,0.0021969243070977,0.0055380781896495,25.361147562982
