time,DJint,DJint_2,DJint_box,DJint_box_2,Jint,Jint_box,bot_react,external_work,fracture_energy,kinetic_energy,strain_energy,top_react
36.649999999999,0.0024624074066501,0.00060484744474893,0.0029234912785029,0.00013451462688814,0.0025037351044234,0.0029264580077056,-44.083277288987,0.091681384014787,0.044205995881545,0.003909654198204,0.025720124487641,44.083277288975
36.674999999999,0.002466431561469,0.00059698476184685,0.0029254743501429,0.00012874443524957,0.0025072512647961,0.0029283103850793,-44.165389796056,0.091745204174651,0.044277291395584,0.0038990512369215,0.025721832325043,44.165389796044
36.699999999999,0.0024706207197339,0.00059298514591934,0.0029273809345243,0.00012708779182379,0.0025109463613508,0.0029301011997545,-44.249988622767,0.09180911058415,0.044348636938303,0.0038884792862466,0.025723438137181,44.249988622754
36.724999999999,0.0024751166983727,0.00059441849735461,0.0029293409114107,0.00013111748978479,0.0025149476326056,0.0029319458777671,-44.336978199081,0.091873108214704,0.044419996545541,0.0038781130617247,0.025724871039098,44.336978199068
36.749999999999,0.002479975310972,0.00059325531278651,0.002931407667884,0.00013281070023175,0.0025193187450788,0.0029339053448272,-44.426255495905,0.091937201898998,0.044491328077093,0.0038678717413146,0.025726289548165,44.426255495892
36.774999999999,0.0024851849666555,0.00058818566064283,0.0029335859495159,0.00013085272372755,0.0025240579416297,0.0029359936743223,-44.517711602247,0.092001396310619,0.044562722883356,0.0038577619284457,0.025727710644252,44.517711602234
36.799999999999,0.002490649034437,0.00057252243371508,0.0029358050703172,0.0001185390019777,0.0025290659523527,0.002938137142709,-44.611233307766,0.092065695949828,0.044634237910911,0.003847638237823,0.0257291569817,44.611233307752
36.824999999999,0.0024962445780958,0.0005659096079544,0.002937967153606,0.0001154898249501,0.0025342146091534,0.0029402325217209,-44.706704620991,0.092130105135212,0.044705791289976,0.0038375537803426,0.025730544457467,44.706704620977
36.849999999999,0.0025018923774862,0.00056882295804873,0.0029400164717795,0.00012215502696133,0.0025394190080711,0.0029422185418938,-44.804008175586,0.092194628000803,0.04477734569922,0.0038277220870382,0.025731757646611,44.804008175571
36.874999999999,0.0025078834069837,0.00057237287606681,0.0029422694848643,0.00012961796854299,0.0025449944724607,0.0029444362426886,-44.903026428679,0.092259268497873,0.044848871746589,0.0038179943702729,0.025733024608519,44.903026428664
36.899999999999,0.0025150784413093,0.00056763462197848,0.0029456100396267,0.00012892705347767,0.0025518228526123,0.0029477906331976,-45.003642739875,0.092324030400943,0.044920501434876,0.003808403469786,0.025734283211586,45.00364273986
36.924999999999,0.0025225336207113,0.0005601615963362,0.0029491053612188,0.0001256154071064,0.0025589044498147,0.0029512928899444,-45.105742320825,0.092388917317468,0.044992212557429,0.0037988359021644,0.025735479519736,45.105742320809
36.949999999999,0.0025286253206007,0.00055499117413421,0.0029511305323322,0.00012470984200396,0.002564563967805,0.002953265938923,-45.209212972891,0.092453932700371,0.045063941242585,0.0037891813884877,0.025736856120095,45.209212972875
36.974999999999,0.0025347098005111,0.00055288506469212,0.0029530416464816,0.00012696629870734,0.0025702259712323,0.0029551335795413,-45.313945638628,0.092519079862681,0.045135662973958,0.0037797791513084,0.025738004130388,45.313945638612
36.999999999999,0.0025409114536156,0.00054186255735201,0.0029549782697737,0.00012039303060336,0.0025760626687125,0.0029570826613253,-45.419834922163,0.092584361994047,0.045207349611074,0.0037704860528922,0.025739211781457,45.419834922147
37.024999999999,0.0025473325637062,0.00052809536639134,0.0029570714609239,0.00011114088010486,0.0025821503743411,0.0029592179227717,-45.526779509666,0.092649782178683,0.045279155801051,0.0037611625128046,0.025740663153229,45.526779509649
37.049999999999,0.0025539070952914,0.00052722723686489,0.0029592831299235,0.00011482932145401,0.0025883847560738,0.0029614628429587,-45.634682521515,0.092715343414356,0.045351009627584,0.0037521653626895,0.02574175671879,45.634682521499
37.074999999999,0.0025605430706024,0.00052731632710436,0.0029615375961473,0.00011949714668297,0.0025946697915026,0.0029637377423982,-45.743451812107,0.092781048632121,0.045422859791024,0.0037434462067278,0.025742758784419,45.743451812091
37.099999999999,0.0025671738753698,0.00052353749420373,0.002963774770778,0.00012030816180103,0.0026009589459068,0.0029660027355745,-45.853000223,0.092846900716511,0.045494685423899,0.003734848634184,0.02574381606447,45.853000222983
37.124999999999,0.0025738771208094,0.00051817874972786,0.002966073425189,0.00011954445714141,0.0026073422257086,0.0029683490650414,-45.963245795187,0.092912902525907,0.045566483198196,0.0037263842636906,0.025744902628311,45.96324579517
37.149999999999,0.002580734743413,0.00050623115658328,0.0029685067874855,0.00011219750988121,0.0026138991467351,0.0029708474994465,-46.074111874034,0.092979056912597,0.045638385806762,0.0037179762724986,0.025746060570384,46.074111874017
37.174999999999,0.0025877627320653,0.00047436025497514,0.0029710683390045,8.4944503010182e-05,0.0026206426480153,0.0029734883473355,-46.185527087879,0.09304536674199,0.045710320197917,0.0037094120992214,0.025747447300428,46.185527087862
37.199999999999,0.0025949354159929,0.00047442201027671,0.0029737051902319,8.9661961456831e-05,0.0026275406129107,0.0029762121413284,-46.297425600843,0.093111834911855,0.045782224238029,0.0037010564153228,0.025748601346977,46.297425600826
37.224999999999,0.0026022271031958,0.00048556323275899,0.0029763792242322,0.00010551599685368,0.0026345589794515,0.0029789722925018,-46.409746662323,0.093178464369082,0.045854081787127,0.0036930857621891,0.025749649343761,46.409746662305
37.249999999999,0.002609601950712,0.00048634206209973,0.0029790655833326,0.00011106984362199,0.0026416621699221,0.0029817441187376,-46.522434385452,0.093245258124718,0.045925913261886,0.003685302644174,0.025750779053046,46.522434385435
37.274999999999,0.002617037155941,0.00048053688456914,0.0029817617192835,0.0001100945388529,0.0026488350141831,0.0029845325950794,-46.635437310391,0.093312219266563,0.045997844584798,0.0036776499753267,0.025751971564368,46.635437310373
37.299999999999,0.0026245602991924,0.0004742615560804,0.0029845047865298,0.00010869681320392,0.0026561094347601,0.0029873790875315,-46.748707816546,0.093379350968809,0.046069785911582,0.0036701361300888,0.025753095694743,46.748707816528
37.324999999999,0.0026321898472919,0.00046640934111856,0.0029873039438071,0.00010577302478555,0.0026635014774573,0.0029902902144559,-46.862201387651,0.093446656498283,0.04614168046989,0.0036628137700694,0.02575419946066,46.862201387633
37.349999999999,0.0026399179380098,0.00045879426183692,0.0029901325335235,0.00010315356375798,0.0026709977527355,0.0029932337261456,-46.975875801177,0.093514139217138,0.046213533701478,0.00365565959424,0.025755373350603,46.975875801159
37.374999999999,0.00264765751807,0.00045167445939109,0.0029928868592684,0.00010111773813661,0.0026785087851834,0.0029961035202741,-47.089689993771,0.093581802580967,0.046285352045222,0.0036486101334043,0.025756657945759,47.089689993753
