time,x,y,crack_length,vel_direct,vel_filtered
23.95,10.031,-1.2308e-18,0.019000000000000145,5.444000000000309e-18,5.444000000000309e-18
23.975,10.031,-1.4149e-18,0.019000000000000145,7.363999999999373e-18,7.363999999999381e-18
24.0,10.032,-1.6644e-18,0.01999999999999959,0.03999999999998011,0.03999999999998011
24.025,10.032,-2.011e-18,0.01999999999999959,1.3864000000000785e-17,1.3864000000000785e-17
24.05,10.032,-2.4326e-18,0.01999999999999959,1.6863999999998566e-17,1.6863999999998566e-17
24.075,10.032,-2.9006e-18,0.01999999999999959,1.8720000000001068e-17,1.8720000000001084e-17
24.1,10.032,-3.4279e-18,0.01999999999999959,2.1091999999998196e-17,2.109199999999821e-17
24.125,10.032,-4.0422e-18,0.01999999999999959,2.457200000000139e-17,2.457200000000139e-17
24.15,10.032,-4.734e-18,0.01999999999999959,2.7672000000001558e-17,2.7672000000001558e-17
24.175,10.032,-5.4903e-18,0.01999999999999959,3.025199999999743e-17,3.025199999999746e-17
24.2,10.032,-6.2867e-18,0.01999999999999959,3.1856000000001806e-17,3.1856000000001806e-17
24.225,10.032,-7.0913e-18,0.01999999999999959,3.218399999999727e-17,3.21839999999973e-17
24.25,10.032,-7.8805e-18,0.01999999999999959,3.156800000000181e-17,3.156800000000181e-17
24.275,10.032,-8.633e-18,0.01999999999999959,3.01000000000017e-17,3.01000000000017e-17
24.3,10.032,-9.3592e-18,0.01999999999999959,2.9047999999997524e-17,2.9047999999997524e-17
24.325,10.032,-1.0058e-17,0.01999999999999959,2.795200000000158e-17,2.795200000000158e-17
24.35,10.032,-1.0695e-17,0.01999999999999959,2.547999999999785e-17,2.547999999999791e-17
24.375,10.032,-1.1265e-17,0.01999999999999959,2.2800000000001268e-17,2.2800000000001268e-17
24.4,10.032,-1.1769e-17,0.01999999999999959,2.0160000000001138e-17,2.0160000000001138e-17
24.425,10.032,-1.2198e-17,0.01999999999999959,1.7159999999998528e-17,1.7159999999998528e-17
24.45,10.032,-1.2505e-17,0.01999999999999959,1.2280000000000697e-17,1.2280000000000697e-17
24.475,10.032,-1.2663e-17,0.01999999999999959,6.31999999999947e-18,6.31999999999947e-18
24.5,10.033,-1.271e-17,0.020999999999999037,0.03999999999998011,0.03999999999998011
24.525,10.033,-1.2693e-17,0.020999999999999037,6.800000000000073e-19,6.800000000000073e-19
24.55,10.033,-1.2641e-17,0.020999999999999037,2.0799999999997994e-18,2.0799999999997994e-18
24.575,10.033,-1.2548e-17,0.020999999999999037,3.72000000000025e-18,3.72000000000025e-18
24.6,10.033,-1.2431e-17,0.020999999999999037,4.67999999999961e-18,4.67999999999961e-18
