time,DJint,DJint_2,DJint_box,DJint_box_2,Jint,Jint_box,bot_react,disp_upper,external_work,kinetic_energy,strain_energy,top_react
6,-2.5468824513026e-05,7.3956662055841e-05,-6.5233774897071e-05,0.00022235306144068,-9.7371408274342e-06,-5.3048500731936e-05,42.539122849392,6.7645832795624e-06,0.053772914135942,0.0006085757823206,0.0074413083922361,-42.539122849392
6.5,-1.3854833801155e-05,4.4167837280977e-05,-0.00014440426689289,0.0001437723632636,1.2841841738017e-05,-0.00011956573606689,38.209445557194,1.3364306907467e-05,0.053807168377872,0.0013541036989894,0.0060307238591403,-38.209445557194
7,-3.9546472969555e-05,5.8720189830159e-05,-0.0001840281024126,8.143919354985e-05,1.0824967442201e-05,-0.00015115881069793,27.127689765044,2.2242636761572e-05,0.053846490211003,0.0024799603402029,0.0048254167230771,-27.127689765044
7.5,-5.6753350818316e-05,6.7191703671291e-05,-0.0002087539230466,2.6399168445644e-05,7.805185483704e-06,-0.00017022801895756,15.877127314538,3.3485443633804e-05,0.053891220486057,0.00269963282662,0.0048267708944873,-15.877127314538
8,-3.458821308426e-05,6.9592102623663e-05,-0.00020049413952114,-8.4968307598396e-06,6.4060469518199e-05,-0.0001481171099596,10.482073575647,4.4307464558473e-05,0.053943452742205,0.0020192756123338,0.005516002790096,-10.482073575647
8.5,-5.4189697462359e-06,6.5578927785491e-05,-0.00015274486146645,-1.4659035891808e-05,0.00016102697825795,-7.1732759009495e-05,12.199926592013,5.0586196406924e-05,0.054008139132599,0.0012540423440953,0.0060437090609144,-12.199926592013
9,9.3420343024033e-08,6.3046130909634e-05,-9.2622861701805e-05,8.0964188090958e-07,0.0002223541709562,1.9163923819382e-05,18.388662581751,4.9381234327638e-05,0.054092846929912,0.00093150999248759,0.0060839583786131,-18.388662581751
9.5,8.4256015278117e-06,4.5273572917486e-05,-5.0775088654684e-05,1.0459541750824e-05,0.00022386383485758,6.7883950430209e-05,26.220542078593,4.0827664681737e-05,0.054205527708445,0.0010031922120927,0.0058834413676044,-26.220542078593
10,5.7412151776382e-05,9.2299085575428e-07,-3.3332637615139e-05,2.6119657195494e-07,0.00020582030081367,5.9837853665393e-05,34.40347445752,2.845988257064e-05,0.054351038544223,0.001052802020795,0.0059041696965461,-34.40347445752
10.5,0.00013790260753762,-5.9299510097473e-05,-3.2039990924025e-05,-1.9111673066665e-05,0.000207645964758,2.2033852627038e-05,41.995575559905,1.7465309124351e-05,0.054528025155393,0.00084221557661742,0.006226227353662,-41.995575559905
11,0.00020666685649898,-0.00010537827687772,-4.0533361388125e-05,-2.8537141716298e-05,0.00023482107885129,-1.5240499362457e-05,47.208190221769,1.1811151380587e-05,0.05472724179171,0.00059011988134562,0.0064898763327492,-47.208190221769
11.5,0.00022580203198151,-0.00011141672676673,-5.9950731023206e-05,-1.9103102229191e-05,0.00027047232468851,-3.9745329424972e-05,48.014975354099,1.2451491567782e-05,0.054931792203791,0.00065728020800073,0.006359088322922,-48.014975354099
12,0.00017719694900465,-6.6324997917901e-05,-9.6106595376012e-05,9.2606965429466e-06,0.00029054209688251,-5.4618648281581e-05,43.606087330904,1.7747374336278e-05,0.055120184080305,0.0011215200032614,0.0058811093289443,-43.606087330904
12.5,6.7673749021513e-05,2.349979844517e-05,-0.00014939308450558,5.3184418452719e-05,0.000276587745918,-6.8279392442041e-05,35.167172902555,2.5135851711649e-05,0.055272634392074,0.001675690925616,0.0054484287224511,-35.167172902555
13,-6.7758111155279e-05,0.00013458691854706,-0.00020853679926397,0.00010434968822726,0.00022597799768456,-8.8605334573316e-05,25.494762620474,3.2405483026496e-05,0.055378453097873,0.0019052979472377,0.0054202345453729,-25.494762620474
13.5,-0.00017826336437607,0.00023154751040518,-0.00025567051058238,0.00014792525133089,0.00015056146880595,-0.0001197751042761,17.76485937725,3.7948725799825e-05,0.055440342785045,0.0016799550974599,0.0057781269903334,-17.76485937725
14,-0.00022283525895663,0.00028217764871239,-0.00027877098229438,0.00016953032725985,7.1758205416295e-05,-0.00015915316011109,14.141574988478,4.0588673396811e-05,0.055472970050821,0.0012302244933263,0.0062128576816362,-14.141574988478
14.5,-0.00019107372431609,0.00027306097361756,-0.00027915110994537,0.00016421784429537,1.6417501335205e-05,-0.00019804293560813,15.015901898679,3.9710790007708e-05,0.055497001090907,0.00085438221638683,0.006485347359977,-15.015901898679
15,-0.00010229269934543,0.00021431239398901,-0.00026420308564584,0.00013869108963151,8.0345226155586e-06,-0.0002242133457654,19.242794608656,3.567298314033e-05,0.055532443763865,0.00065003508913968,0.00660450216385,-19.242794608656
15.5,1.3407222834036e-05,0.00013131301721764,-0.00023610175729899,0.00010583046542584,5.5962479829896e-05,-0.0002243732197145,25.007814485028,2.9940924870144e-05,0.055594647281156,0.00053241638719238,0.0067049280900866,-25.007814485028
16,0.0001325417964397,5.0578209441519e-05,-0.00019348198111019,7.6368743800143e-05,0.00015067824030379,-0.00019190318793019,30.628312387587,2.4616856302875e-05,0.055693727814811,0.00041783782163727,0.0068506000926808,-30.628312387587
16.5,0.00024312035420898,-1.1049547457134e-05,-0.00014149365492386,5.3454174067328e-05,0.00026887305808616,-0.00013575018362296,34.919118179226,2.1577183778279e-05,0.055836070514696,0.00033323364915579,0.0069835676230257,-34.919118179226
17,0.00034154814948063,-4.8619252871675e-05,-9.3472742866232e-05,3.3512829357403e-05,0.00038537132305115,-7.7745452721077e-05,37.242763818177,2.1727854338195e-05,0.05602630112891,0.00035734825164507,0.0070362397305247,-37.242763818177
17.5,0.00042897376431412,-6.4823431510546e-05,-6.1471773040345e-05,1.1542086498987e-05,0.00048442779551614,-3.8120791895319e-05,37.510023270337,2.4762905601503e-05,0.05626890043693,0.00049442256043859,0.0070512245074403,-37.510023270337
18,0.00050867684538483,-6.531091060276e-05,-4.7353389937278e-05,-1.4383022002196e-05,0.00056347490842219,-2.3106409546406e-05,36.195480375457,2.9465276647598e-05,0.056569051035515,0.00063985165222696,0.0071654103258567,-36.195480375457
18.5,0.00058352155614035,-5.6865307497112e-05,-4.304467852435e-05,-4.2407210592925e-05,0.00062859973775608,-2.4477017396818e-05,34.236545208963,3.4295480645111e-05,0.056932276302194,0.00067645127196423,0.0074807029605222,-34.236545208963
19,0.00065409747370136,-4.6952931655976e-05,-3.7719025343742e-05,-6.8594779441048e-05,0.00068773465325203,-2.8087894879045e-05,32.728907641347,3.7941516924229e-05,0.057362795019647,0.0005924824711067,0.0079642455412409,-32.728907641347
19.5,0.00071858207906534,-4.2281577353533e-05,-2.5032565899394e-05,-8.8518639263322e-05,0.00074744921081327,-2.296744728252e-05,32.520373615366,3.9638290332037e-05,0.057861376699411,0.00049706589722033,0.0084787228672355,-32.520373615366
20,0.00077390950807949,-4.6626093131174e-05,-6.2847231625076e-06,-9.8339984092006e-05,0.00081337005100058,-5.9223705619382e-06,33.908477773392,3.9250621643155e-05,0.058423923825149,0.0005240833555795,0.0089015472629911,-33.908477773392
20.5,0.00081678005636568,-5.9621696159516e-05,1.0451702641095e-05,-9.6074793805653e-05,0.00089017617430866,1.8483786156424e-05,36.579651064979,3.7201917905004e-05,0.059041410166076,0.00072849708571008,0.0092081503628095,-36.579651064979
21,0.00084338757208955,-7.6910491478351e-05,1.3445042535603e-05,-8.2462322457446e-05,0.00097853876532434,4.058826448841e-05,39.781224779167,3.4306447046866e-05,0.059700741553809,0.0010695877795204,0.0094527961662753,-39.781224779167
21.5,0.00084848342396067,-9.0755930860976e-05,-8.6506649595047e-06,-6.0120297578593e-05,0.0010707244460016,4.9080046720206e-05,42.614291427802,3.1522251242356e-05,0.060385653540395,0.0014712055518631,0.0096953620641574,-42.614291427802
22,0.00082610313061615,-9.0941712672965e-05,-6.24716248173e-05,-3.1233165091825e-05,0.0011494865530502,3.4239304204362e-05,44.320745355589,2.9659435955476e-05,0.061077295855852,0.0018787623498899,0.009960346918165,-44.320745355589
22.5,0.00077340801470597,-6.6889556921384e-05,-0.00014641365192765,4.1950073940152e-06,0.0011935950503363,-9.3433261759193e-06,44.483855523762,2.9132684313083e-05,0.061755074785286,0.0022614213534427,0.010255322647797,-44.483855523762
23,0.00069573683153595,-1.1479040587806e-05,-0.00024982634953348,4.7820777236345e-05,0.001188436351755,-8.0812047336596e-05,43.116943931563,2.9862000293187e-05,0.062398744839697,0.0025807646236153,0.010605789717875,-43.116943931563
23.5,0.00060891601931492,7.4588067327738e-05,-0.00035631869752864,0.00010042066027819,0.0011355593020279,-0.00017264417064514,40.644993845355,3.1365818490759e-05,0.062992240844242,0.0027790044316206,0.011055810865423,-40.644993845355
24,0.00053675089412604,0.0001801864211919,-0.0004499631231716,0.00015914807694345,0.0010551597984026,-0.00027257555069552,37.790315793196,3.2994322797267e-05,0.063528594064248,0.0028072766144468,0.011632888598172,-37.790315793196
24.5,0.0005051937002254,0.00028494495531531,-0.00052068174985391,0.00021653347026889,0.00098024902737816,-0.00036724165611992,35.380327939999,3.4187857821848e-05,0.064014205568751,0.0026640691650321,0.012319139994793,-35.380327939999
25,0.00053616352641984,0.00036461788334211,-0.00056559641188983,0.00026208191305709,0.00094616865198266,-0.00044553881107712,34.119048619157,3.4653106107162e-05,0.064470480450646,0.0024021208371791,0.013062603107403,-34.119048619157
25.5,0.00064290465537397,0.00039890182104052,-0.00058647512998512,0.00028578548933022,0.00098047000376844,-0.00050017957007969,34.390937602912,3.4410098930051e-05,0.06493163975063,0.002096651073605,0.013817820345109,-34.390937602912
26,0.00082744604435919,0.00037841058829935,-0.00058627589688797,0.00028175430274251,0.0010964577371193,-0.00052770976157393,36.167522446951,3.3728196793466e-05,0.065439058948535,0.0018060737824197,0.014576014839327,-36.167522446951
26.5,0.0010804574090216,0.00030769412461484,-0.00056759422467751,0.00025013110110357,0.0012915068561856,-0.00052822569979534,39.05082959589,3.3002513107815e-05,0.066033916829608,0.0015579223560488,0.015360694626438,-39.05082959589
27,0.0013837342644009,0.00020313806900235,-0.00053338451491202,0.00019650532793677,0.0015498433684447,-0.00050536612387042,42.430629363138,3.2620206957532e-05,0.066750515098483,0.0013618351495771,0.016201691908601,-42.430629363138
27.5,0.0017147652817138,8.7060821770132e-05,-0.00048831663296551,0.00012947156588506,0.0018484448254403,-0.00046606242352702,45.688333564582,3.284856077173e-05,0.067612116895538,0.0012259118344681,0.017117264987242,-45.688333564582
28,0.0020518102297078,-1.921599841084e-05,-0.00043907141857682,5.7836748025627e-05,0.0021638151713334,-0.00041936330272327,48.371612915843,3.376334110898e-05,0.06862995213157,0.0011578314659955,0.018116911273778,-48.371612915843
28.5,0.0023777096779085,-0.00010072052910479,-0.00039318477583693,-1.1199830921938e-05,0.0024772086057419,-0.00037441969015619,50.288373475754,3.5230273670508e-05,0.069804851158082,0.0011554488643183,0.01921211700867,-50.288373475754
29,0.0026815154231588,-0.00015124118575305,-0.00035727555937959,-7.2466642551268e-05,0.0027768872760693,-0.00033848890074956,51.507096698427,3.6945780596199e-05,0.071130322949406,0.0012037405644258,0.020417282665384,-51.507096698427
29.5,0.0029582107481901,-0.0001727639201382,-0.00033580379641332,-0.00012228273690888,0.0030576269830576,-0.00031590075153185,52.282585294127,3.8528508259545e-05,0.07259588404449,0.0012848111765388,0.021739350169649,-52.282585294127
