time,DJ1,DJ2,DJint,EW,FE,Fy_top,J,KE,PEW,SE,max_disp_y,preset_ext_power,preset_ext_work_p
10,-0.0023865315013303,-9.4914489873999e-05,-0.0024814459912043,-0.0022996271511444,0.056460413711712,-30.758743112883,0.0013254654385265,0.1796797183465,0.49650822931451,0.79014067404186,0.0047257382861161,0,0
10.25,-0.002455779108092,-0.00028636630633828,-0.0027421454144303,-0.0022042087884652,0.058994072799724,-34.409771659838,0.00078153941521214,0.15926378439477,0.49650854449422,0.80739128451944,0.0048391058434448,0,0
10.5,-0.0024721570516327,-0.00057964951701744,-0.0030518065686502,-0.0020965634027056,0.061583177310248,-39.747532201615,0.00031514686480581,0.14076366341235,0.4965088498543,0.82113253583043,0.0049190324221204,0,0
10.75,-0.0023317750907684,-0.00072477251604642,-0.0030565476068148,-0.0019881179765475,0.064212026301422,-44.716191188879,0.00019728406857786,0.12824426726395,0.49650914508904,0.82617814691491,0.0049438931508971,0,0
11,-0.0020751155749589,-0.0010458712187261,-0.0031209867936851,-0.0018812101956847,0.066865480501649,-48.292089457534,0.00054676487560181,0.12666580820687,0.49650943320946,0.81830184689647,0.0049104425468576,0,0
11.25,-0.0018618909412842,-0.001480248263093,-0.0033421392043772,-0.0017666346514534,0.069527324896347,-51.477083811777,0.0011518085793118,0.1373045896469,0.49650971932902,0.7994617063845,0.004834860902158,0,0
11.5,-0.0017370760291803,-0.0019932919665909,-0.0037303679957712,-0.0016472385928812,0.072174492291981,-55.388390347339,0.001773577796929,0.15510992640813,0.49651000641278,0.77742138243298,0.0047229841286069,0,0
11.75,-0.0016413326272776,-0.0026567419177009,-0.0042980745449786,-0.0015419697076177,0.074790041516683,-59.826041101498,0.0023802910092118,0.17241140803407,0.49651029183855,0.75920758237998,0.0046163506399569,0,0
12,-0.0015587624783035,-0.0030882766800153,-0.0046470391583188,-0.0014637506160874,0.077360702245752,-64.116227101174,0.002993918897368,0.18500807517487,0.49651056967964,0.74602911733534,0.0045088112817333,0,0
12.25,-0.0014743989335271,-0.0036198471691122,-0.0050942461026393,-0.0014051792329418,0.079877068369206,-68.261710131707,0.0036040648446371,0.19438274566706,0.49651083738812,0.73411051109428,0.0044231327171672,0,0
12.5,-0.0013468821347791,-0.0042156946160046,-0.0055625767507837,-0.0013509281071927,0.08233870805254,-72.587630379188,0.0042215197410753,0.20457431673241,0.49651109946394,0.71969879815382,0.0043290892707355,0,0
12.75,-0.0011834957518445,-0.0047888715775508,-0.0059723673293953,-0.0012965824918252,0.084753606224363,-76.94463934871,0.0048415365355429,0.21747751300048,0.49651136354185,0.7028481266186,0.0042332190488921,0,0
13,-0.0010274899383141,-0.0052001362144714,-0.0062276261527856,-0.001245275660308,0.087137805273953,-80.957077957171,0.0054349221373653,0.23167019424886,0.49651163309027,0.68590943126242,0.004126133806395,0,0
13.25,-0.00091636269683582,-0.0055013536806143,-0.0064177163774501,-0.0012001462472886,0.089512158393982,-84.698859964799,0.0059821226909786,0.24563715487877,0.49651190459977,0.6692687224524,0.004021216599691,0,0
13.5,-0.00085632684385518,-0.0057036716425563,-0.0065599984864115,-0.0011667562107577,0.091898486751907,-88.55715612346,0.0064799432050641,0.26021422054671,0.49651217167032,0.65115537889903,0.0039237339788015,0,0
13.75,-0.00080868457982788,-0.005796252302171,-0.0066049368819989,-0.0011500321952212,0.094317962940037,-92.595247743976,0.006947642975759,0.27663850961268,0.49651243104397,0.63096724897501,0.0038204664071106,0,0
14,-0.00072610074066523,-0.0059836288415807,-0.0067097295822459,-0.0011483787790082,0.096783588621978,-96.45131614553,0.0074042659333965,0.29461436006783,0.49651268459355,0.60966475701784,0.0037259710365717,0,0
14.25,-0.00059045170942766,-0.0061525375456841,-0.0067429892551118,-0.0011553419533225,0.09929723698721,-99.721458613682,0.0078517485856433,0.3135321646743,0.496512936366,0.58730297296034,0.0036207000552032,0,0
14.5,-0.00042444767997974,-0.00651554421642,-0.0069399918963997,-0.0011651092357716,0.10185436704211,-101.97767733299,0.008283573376777,0.33381038534973,0.49651318862476,0.56324260284574,0.0035273265625935,0,0
14.75,-0.00026906446951894,-0.0068302930864805,-0.0070993575559995,-0.0011747959571415,0.10445047986337,-102.18592190468,0.0086980079569469,0.35557008639582,0.49651344075332,0.53790041390893,0.0034318170770489,0,0
